"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @NaredcoNational: The SC imposed a stay on construction in Maharashtra, Madhya Pradesh, Uttarakhand, and Chandigarh for not framing any","2018-09-05 04:01:57","TRUE","2","0","0","Environment","Madhya Pradesh","India",FALSE
"2","Realty majors suffer after SC ban

(2/2) Supreme Court order that directed a ban of all construction activities in  ","2018-09-04 14:14:21","FALSE","0","0","0","Environment","Madhya Pradesh","India",FALSE
"3","RT @NaredcoNational: The SC imposed a stay on construction in Maharashtra, Madhya Pradesh, Uttarakhand, and Chandigarh for not framing any","2018-09-04 11:40:45","TRUE","2","0","0","Environment","Madhya Pradesh","India",TRUE
"4","The SC imposed a stay on construction in Maharashtra, Madhya Pradesh, Uttarakhand, and Chandigarh for not framing a  ","2018-09-04 09:49:31","FALSE","2","4","0","Environment","Madhya Pradesh","India",FALSE
"5","And the same story continues...

Madhya Pradesh, Maharashtra, Orissa and Uttarakhand are fined Rs 3 lakh each by th  ","2018-09-04 04:54:10","FALSE","0","2","0","Environment","Madhya Pradesh","India",FALSE
"6","RT @CNBCTV18Live: Headlines @ 12 pm | Supreme Court bans construction activity in Maharashtra, Madhya Pradesh &amp; Uttarakhand. Ban to remain","2018-09-03 07:31:02","TRUE","2","0","1","Environment","Madhya Pradesh","India",FALSE
"7","RT @CNBCTV18Live: Headlines @ 12 pm | Supreme Court bans construction activity in Maharashtra, Madhya Pradesh &amp; Uttarakhand. Ban to remain","2018-09-03 06:42:37","TRUE","2","0","1","Environment","Madhya Pradesh","India",TRUE
"8","Headlines @ 12 pm | Supreme Court bans construction activity in Maharashtra, Madhya Pradesh &amp; Uttarakhand. Ban to  ","2018-09-03 06:37:02","FALSE","2","5","1","Environment","Madhya Pradesh","India",FALSE
"9","RT @ballalpavan: @AmhiDombivlikar  ","2018-09-03 03:11:49","TRUE","1","0","0","Environment","Madhya Pradesh","India",FALSE
"10","@AmhiDombivlikar  ","2018-09-03 02:31:12","FALSE","1","0","0","Environment","Madhya Pradesh","India",FALSE
"11","Real estate stocks will be in focus as the SC of India, in an interim order, banned all construction activity till  ","2018-09-03 02:10:07","FALSE","0","1","0","Environment","Madhya Pradesh","India",FALSE
"12","RT @SgraoN: This shall be the treatment at TelanganaRERA for AliensFraud type builders N RealEstateMafia NoHIRAOnlyRERA

 ","2018-09-02 18:23:49","TRUE","6","0","0","Environment","Madhya Pradesh","India",FALSE
"13","SC Supreme Court imposes ban all construction activities Maharashtra Uttarakhand Madhya Pradesh Chandigarh solid wa  ","2018-09-02 15:55:07","FALSE","0","1","2","Environment","Madhya Pradesh","India",FALSE
"14","RT @SgraoN: This shall be the treatment at TelanganaRERA for AliensFraud type builders N RealEstateMafia NoHIRAOnlyRERA

 ","2018-09-02 07:29:00","TRUE","6","0","0","Environment","Madhya Pradesh","India",TRUE
"15","RT @SgraoN: This shall be the treatment at TelanganaRERA for AliensFraud type builders N RealEstateMafia NoHIRAOnlyRERA

 ","2018-09-02 04:52:38","TRUE","6","0","0","Environment","Madhya Pradesh","India",TRUE
"16","RT @SgraoN: This shall be the treatment at TelanganaRERA for AliensFraud type builders N RealEstateMafia NoHIRAOnlyRERA

 ","2018-09-01 18:45:38","TRUE","6","0","0","Environment","Madhya Pradesh","India",TRUE
"17"," ","2018-09-01 17:08:50","FALSE","0","1","0","Environment","Madhya Pradesh","India",FALSE
