"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 12:52:36","TRUE","1","0","0","Environment","Madhya Pradesh","India",FALSE
"2","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 12:51:29","FALSE","1","0","0","Environment","Madhya Pradesh","India",FALSE
"3","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:54","FALSE","0","0","0","Environment","Madhya Pradesh","India",FALSE
"4","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:52","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"5","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:50","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"6","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-08-27 12:30:08","FALSE","0","0","-2","Environment","Madhya Pradesh","India",FALSE
"7","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-08-27 06:25:28","FALSE","0","0","0","Environment","Madhya Pradesh","India",FALSE
"8","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 12:52:36","TRUE","1","0","0","Environment","Madhya Pradesh","India",TRUE
"9","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 12:51:29","FALSE","1","1","0","Environment","Madhya Pradesh","India",TRUE
"10","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:54","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"11","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:52","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"12","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:50","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"13","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-08-27 12:30:08","FALSE","0","1","-2","Environment","Madhya Pradesh","India",TRUE
"14","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-08-27 06:25:28","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"15","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 12:52:36","TRUE","1","0","0","Environment","Madhya Pradesh","India",TRUE
"16","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 12:51:29","FALSE","1","1","0","Environment","Madhya Pradesh","India",TRUE
"17","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:54","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"18","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:52","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"19","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:50","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"20","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-08-27 12:30:08","FALSE","0","0","-2","Environment","Madhya Pradesh","India",TRUE
"21","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-08-27 06:25:28","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"22","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 12:52:36","TRUE","1","0","0","Environment","Madhya Pradesh","India",TRUE
"23","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 12:51:29","FALSE","1","0","0","Environment","Madhya Pradesh","India",TRUE
"24","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:54","FALSE","0","6","0","Environment","Madhya Pradesh","India",TRUE
"25","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:52","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"26","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-08-31 14:17:50","FALSE","0","0","0","Environment","Madhya Pradesh","India",TRUE
"27","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-08-27 12:30:08","FALSE","0","0","-2","Environment","Madhya Pradesh","India",TRUE
