"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @BTVI: BTVI Alert: Maharashtra Notified Their Solid Waste Management Policy To SC On Tuesday

SC Had Banned Construction In Maharashtra,","2018-09-05 12:53:40","TRUE","1","0","0","Environment","Maharashtra","India",FALSE
"2","BTVI Alert: Maharashtra Notified Their Solid Waste Management Policy To SC On Tuesday

SC Had Banned Construction I  ","2018-09-05 12:14:43","FALSE","1","2","0","Environment","Maharashtra","India",FALSE
"3","RT @livemint_m2m: The SC order to ban construction in the states of Maharashtra, MP, Uttarakhand and union territory of Chandigarh that fai","2018-09-05 11:29:51","TRUE","6","0","0","Environment","Maharashtra","India",FALSE
"4","RT @MirrorNow: SC today, lifted its ban imposed on all constructions in Maharashtra and Uttarakhand after state governments submitted, th","2018-09-05 11:01:10","TRUE","2","0","0","Environment","Maharashtra","India",FALSE
"5","RT @ETNOWlive: BREAKING | SC lifting ban on const activities a huge relief. Glad that Maharashtra Govt has prepared a solid waste mgmt pol","2018-09-05 10:57:05","TRUE","1","0","1","Environment","Maharashtra","India",FALSE
"6","RT @MirrorNow: SC today, lifted its ban imposed on all constructions in Maharashtra and Uttarakhand after state governments submitted, th","2018-09-05 10:49:19","TRUE","2","0","0","Environment","Maharashtra","India",TRUE
"7","SC today, lifted its ban imposed on all constructions in Maharashtra and Uttarakhand after state governments subm  ","2018-09-05 10:43:16","FALSE","2","2","0","Environment","Maharashtra","India",FALSE
"8","RT @News18Courtroom: SupremeCourt today lifted its ban
on all constructions in Maharashtra and Uttarakhand after state governments submitt","2018-09-05 10:32:42","TRUE","2","0","0","Environment","Maharashtra","India",FALSE
"9","BREAKING | SC lifting ban on const activities a huge relief. Glad that Maharashtra Govt has prepared a solid waste  ","2018-09-05 10:31:00","FALSE","1","4","1","Environment","Maharashtra","India",FALSE
"10","BreakingNews | Maharashtra to SC: Solid waste management policy already in place

ETMarkets  ","2018-09-05 10:18:29","FALSE","0","5","0","Environment","Maharashtra","India",FALSE
"11","RT @News18Courtroom: SupremeCourt today lifted its ban
on all constructions in Maharashtra and Uttarakhand after state governments submitt","2018-09-05 10:15:21","TRUE","2","0","0","Environment","Maharashtra","India",TRUE
"12","SupremeCourt today lifted its ban
on all constructions in Maharashtra and Uttarakhand after state governments subm  ","2018-09-05 10:14:39","FALSE","2","3","0","Environment","Maharashtra","India",FALSE
"13","ETRealty | Maharashtra deposits Rs 5 lakh fine in SC for not framing solid waste management policy  ","2018-09-05 10:00:24","FALSE","0","0","1","Environment","Maharashtra","India",FALSE
"14","RT @rubenmasc: Despite Maharashtra Govt claiming that Solid Waste Management policy was created in 2017, it has been unable to present the","2018-09-05 09:31:48","TRUE","7","0","-1","Environment","Maharashtra","India",FALSE
"15","RT @rubenmasc: Despite Maharashtra Govt claiming that Solid Waste Management policy was created in 2017, it has been unable to present the","2018-09-05 09:13:04","TRUE","7","0","-1","Environment","Maharashtra","India",TRUE
"16","RT @rubenmasc: Despite Maharashtra Govt claiming that Solid Waste Management policy was created in 2017, it has been unable to present the","2018-09-05 09:08:29","TRUE","7","0","-1","Environment","Maharashtra","India",TRUE
