"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule speaks with MahaInfoCentre after the meeting with Union Minister Shri @P","2018-09-05 13:12:54","TRUE","1","0","0","Environment","Maharashtra","India",FALSE
"2","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 13:11:04","TRUE","5","0","0","Environment","Maharashtra","India",FALSE
"3","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 13:09:52","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"4","Energy Minister of Maharashtra Shri @cbawankule speaks with MahaInfoCentre after the meeting with Union Minister  ","2018-09-05 12:59:51","FALSE","1","4","0","Environment","Maharashtra","India",FALSE
"5","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-05 12:34:11","TRUE","22","0","0","Environment","Maharashtra","India",FALSE
"6","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 12:05:32","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"7","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 11:45:37","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"8","RT @Greenassets_in: Maharashtra power utility starts converting agricultural feeders to solar  ","2018-09-05 11:06:25","TRUE","1","0","0","Environment","Maharashtra","India",FALSE
"9","Maharashtra power utility starts converting agricultural feeders to solar  ","2018-09-05 10:58:26","FALSE","1","2","0","Environment","Maharashtra","India",FALSE
"10","RT @namo_bharath: MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to solar by","2018-09-05 10:50:14","TRUE","5","0","0","Environment","Maharashtra","India",FALSE
"11","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 10:39:28","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"12","Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in  ","2018-09-05 10:37:21","FALSE","5","10","0","Environment","Maharashtra","India",FALSE
"13","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-05 09:56:17","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"14","Energy Power Maharashtra: MSEDCL books mobile tower operator for Rs 2 lakh power theft  ","2018-09-05 09:47:07","FALSE","0","0","0","Environment","Maharashtra","India",FALSE
"15","ETEnergyworld | Motor fuel prices frozen for a day, Maharashtra may look at GST  ","2018-09-05 06:00:29","FALSE","0","0","-1","Environment","Maharashtra","India",FALSE
"16","ETEnergyworld | Motor fuel prices frozen for a day, Maharashtra may look at GST  ","2018-09-05 06:00:27","FALSE","0","1","-1","Environment","Maharashtra","India",TRUE
"17","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-05 05:46:53","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"18","MAHAGENCO is looking to develop solar projects on its abandoned ash bunds, has invited expression of interest (EoI)  ","2018-09-05 05:12:41","FALSE","0","0","0","Environment","Maharashtra","India",FALSE
"19","Top Energy  Motor fuel prices frozen for a day, Maharashtra may look at GST  ","2018-09-05 04:53:03","FALSE","0","0","0","Environment","Maharashtra","India",FALSE
"20","Motor fuel prices frozen for a day, Maharashtra may look at GST ETEnergyworld   ","2018-09-05 04:39:15","FALSE","0","0","-1","Environment","Maharashtra","India",FALSE
"21","Maharashtra power utility starts converting agricultural feeders to solar TransformingIndia solarenergy  ","2018-09-05 04:34:29","FALSE","0","2","0","Environment","Maharashtra","India",FALSE
"22","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 17:33:13","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"23","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 17:32:39","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"24","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 16:26:44","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"25","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 16:09:54","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"26","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 15:59:09","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"27","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 15:26:25","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"28","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 15:12:10","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"29","RT @aparanjape: Maharashtra power utility starts converting agricultural feeders to solar
  ","2018-09-04 14:02:25","TRUE","1","0","0","Environment","Maharashtra","India",FALSE
"30"," ","2018-09-04 13:59:18","FALSE","0","0","0","Environment","Maharashtra","India",FALSE
"31","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 13:57:59","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"32","Maharashtra power utility starts converting agricultural feeders to solar
  ","2018-09-04 13:54:56","FALSE","1","1","0","Environment","Maharashtra","India",FALSE
"33","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 13:54:23","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"34","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 13:53:31","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"35","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 13:49:20","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"36","RT @ETEnergyWorld: ETEnergyworld | Reliance Infra pays Rs 2,640 crore outstanding electricity dues to Maharashtra govt  ","2018-09-04 12:59:51","TRUE","1","0","1","Environment","Maharashtra","India",FALSE
"37","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 12:57:50","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"38","ETEnergyworld | Reliance Infra pays Rs 2,640 crore outstanding electricity dues to Maharashtra govt  ","2018-09-04 12:30:25","FALSE","0","0","1","Environment","Maharashtra","India",FALSE
"39","ETEnergyworld | Reliance Infra pays Rs 2,640 crore outstanding electricity dues to Maharashtra govt  ","2018-09-04 12:30:25","FALSE","1","0","1","Environment","Maharashtra","India",TRUE
"40","RT @namo_bharath: MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to solar by","2018-09-04 12:20:43","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"41","RT @namo_bharath: MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to solar by","2018-09-04 12:14:02","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"42","RT @namo_bharath: MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to solar by","2018-09-04 12:08:54","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"43","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 12:06:06","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"44","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 12:05:39","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"45","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 12:00:31","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"46","RT @MukulAgarwal66: Maharashtra power utility starts converting agricultural feeders to solar | ET EnergyWorld   ","2018-09-04 11:58:30","TRUE","22","0","0","Environment","Maharashtra","India",TRUE
"47","RT @namo_bharath: MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to solar by","2018-09-04 11:46:43","TRUE","5","0","0","Environment","Maharashtra","India",TRUE
"48","MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to sol  ","2018-09-04 11:44:56","FALSE","5","7","0","Environment","Maharashtra","India",FALSE
"49","MSEDCL has started converting agricultural feeders to solar. It has decided to convert entire farm pump load to sol  ","2018-09-04 11:44:40","FALSE","0","0","0","Environment","Maharashtra","India",TRUE
