"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","After SC rebuke, Chandigarh notifies solid waste management policy
 ","2018-09-05 09:50:00","FALSE","1","1","-1","Environment","Punjab","India",FALSE
"2","RT @HTPunjab: After SC rebuke, Chandigarh notifies solid waste management policy
 ","2018-09-05 05:13:59","TRUE","2","0","-1","Environment","Punjab","India",FALSE
"3","RT @HTPunjab: After SC rebuke, Chandigarh notifies solid waste management policy
 ","2018-09-05 05:12:16","TRUE","2","0","-1","Environment","Punjab","India",TRUE
"4","After SC rebuke, Chandigarh notifies solid waste management policy
 ","2018-09-05 05:10:00","FALSE","2","13","-1","Environment","Punjab","India",TRUE
"5","SC construction ban: Chandigarh expedites process to notify solid waste rules  ","2018-09-03 16:22:53","FALSE","0","0","0","Environment","Punjab","India",FALSE
"6","SC construction ban: Chandigarh expedites process to notify solid waste rules 
 ","2018-09-03 09:30:00","FALSE","0","1","0","Environment","Punjab","India",FALSE
"7","RT @HTPunjab: SC construction ban: Chandigarh expedites process to notify solid waste rules 
 ","2018-09-03 05:00:48","TRUE","3","0","0","Environment","Punjab","India",FALSE
"8","RT @HTPunjab: SC construction ban: Chandigarh expedites process to notify solid waste rules 
 ","2018-09-03 04:50:50","TRUE","3","0","0","Environment","Punjab","India",TRUE
"9","SC construction ban: Chandigarh expedites process to notify solid waste rules 
 ","2018-09-03 04:50:00","FALSE","3","11","0","Environment","Punjab","India",TRUE
"10","In 2010, Lahore Waste Management Company was overseeing waste management operations in urban Punjab. In 2013, the e  ","2018-08-27 07:09:45","FALSE","0","2","-2","Environment","Punjab","India",FALSE
