"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-05 12:50:16","FALSE","0","0","2","Environment","Punjab","India",FALSE
"2","RT @IUPSDUBAI: Punjab to project investment opportunities in Agri, FoodProcessing, Manufacturing, Information Technology, Renewable Energy","2018-09-05 12:23:22","TRUE","1","0","0","Environment","Punjab","India",FALSE
"3","Punjab to project investment opportunities in Agri, FoodProcessing, Manufacturing, Information Technology, Renewabl  ","2018-09-05 12:09:48","FALSE","1","1","0","Environment","Punjab","India",FALSE
"4","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 20:00:01","FALSE","0","0","2","Environment","Punjab","India",TRUE
"5","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 18:00:00","FALSE","0","2","2","Environment","Punjab","India",TRUE
"6","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 16:00:00","FALSE","0","0","2","Environment","Punjab","India",TRUE
"7","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 14:00:02","FALSE","0","0","2","Environment","Punjab","India",TRUE
"8","RT @imran_korashi: @ImranKhanPTI, pl. consider vast waste lands spread from karachi/balochistan to southern punjab. these lands give us the","2018-09-04 13:58:09","TRUE","1","0","-1","Environment","Punjab","India",FALSE
"9","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 12:00:00","FALSE","0","0","2","Environment","Punjab","India",TRUE
"10","RT @hv2008: @PunjabGovtIndia finance minister @MSBADAL offers Punjabs excellent labour, at par with German, lowered power tariff from IN","2018-09-04 11:24:50","TRUE","1","0","1","Environment","Punjab","India",FALSE
"11","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 10:01:00","FALSE","0","1","2","Environment","Punjab","India",TRUE
"12","Italian contractor @MaireTecnimont have been awarded two lump sum contracts worth in the range of $225 million to b  ","2018-09-04 08:00:00","FALSE","0","1","2","Environment","Punjab","India",TRUE
"13","@PunjabGovtIndia finance minister @MSBADAL offers Punjabs excellent labour, at par with German, lowered power ta  ","2018-09-04 03:07:05","FALSE","1","2","1","Environment","Punjab","India",FALSE
"14","RT @PetroleumMin: Gas Authority of India Limited(@gailindia) to set up battery charging stations for e-vehicles 
 ","2018-09-03 13:08:23","TRUE","18","0","0","Environment","Punjab","India",FALSE
"15","RT @i_hjavaid: Power and line losses are main reasons of Circular Debt .. out of 1200 Billion the main contributor is energy crisis! Prev G","2018-09-03 12:20:47","TRUE","2","0","-3","Environment","Punjab","India",FALSE
"16","RT @i_hjavaid: Power and line losses are main reasons of Circular Debt .. out of 1200 Billion the main contributor is energy crisis! Prev G","2018-09-03 11:48:58","TRUE","2","0","-3","Environment","Punjab","India",TRUE
"17","Power and line losses are main reasons of Circular Debt .. out of 1200 Billion the main contributor is energy crisi  ","2018-09-03 11:47:55","FALSE","2","3","-2","Environment","Punjab","India",FALSE
"18","Waste to Energy Research Facility Opened at Punjab University, Lahore  ","2018-09-03 11:42:25","FALSE","0","0","-1","Environment","Punjab","India",FALSE
