"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","   18                         ","2018-09-05 13:08:46","FALSE","2","33","0","Environment","Rajasthan","India",FALSE
"2","      /    285                ","2018-09-05 13:08:21","FALSE","1","17","0","Environment","Rajasthan","India",FALSE
"3","RT @RooftopRays: We are encouraging people of Rajasthan to move towards clean energy one step at a time. We commissioned residential solar","2018-09-05 10:12:08","TRUE","1","0","2","Environment","Rajasthan","India",FALSE
"4","We are encouraging people of Rajasthan to move towards clean energy one step at a time. We commissioned residential  ","2018-09-05 10:02:41","FALSE","1","2","2","Environment","Rajasthan","India",FALSE
"5","RVUNL 2089 Helper Vacancy 2018 -  ","2018-09-05 09:47:13","FALSE","0","0","0","Environment","Rajasthan","India",FALSE
"6","RVUNL Recruitment 2018  2089 Helper IIVacancy @  ","2018-09-05 07:34:06","FALSE","0","0","0","Environment","Rajasthan","India",FALSE
"7","TILA International Moot Court Competition on Energy (TIMCCE), Scheduled on 02nd Oct - 2018 @ Banasthali Vidyapith,  ","2018-09-05 05:18:17","FALSE","0","0","-1","Environment","Rajasthan","India",FALSE
"8","RT @RGGupta9:              285       ","2018-09-04 18:04:48","TRUE","10","0","0","Environment","Rajasthan","India",FALSE
"9","HPCL to finalise 10 licensors this week for Rajasthan refinery HPCL is expanding the capacity at its flagship Mumba  ","2018-09-04 17:09:05","FALSE","0","0","0","Environment","Rajasthan","India",FALSE
"10","@sampitroda @RahulGandhi Have safe journey @RahulGandhi ,come with new positive energy because there was big  tough  ","2018-09-04 16:32:17","FALSE","0","0","3","Environment","Rajasthan","India",FALSE
"11","             285       ","2018-09-04 12:03:24","FALSE","10","109","0","Environment","Rajasthan","India",FALSE
"12","Energy Drinks Market To Witness Enhanced Growth Due To Rising Health Consciousness And Changing Food Preferences Ti  ","2018-09-04 09:51:08","FALSE","0","0","1","Environment","Rajasthan","India",FALSE
"13","@RGGupta9 sir aaj energy department ki website kese busy chal rhi h.
 ","2018-09-04 04:14:30","FALSE","0","0","0","Environment","Rajasthan","India",FALSE
"14","We give great thanks for this years monsoons, which came with much energy and filled the village naadis and taankas  ","2018-09-03 21:47:10","FALSE","0","0","1","Environment","Rajasthan","India",FALSE
"15","HPCL to finalise 10 licensors this week for Rajasthan refinery HPCL is expanding the capacity at its flagship Mumba  ","2018-09-03 21:30:09","FALSE","0","0","0","Environment","Rajasthan","India",TRUE
"16","A Story of Mishkin Energy Stone Game  ","2018-09-03 20:39:06","FALSE","0","0","0","Environment","Rajasthan","India",FALSE
"17","RT @s_kaushik13: @bbhavyabishnoi @BhajanGlobal Proud moment for you &amp; @bishnoikuldeep Golden opportunity to explore your talent &amp; share you","2018-09-03 07:55:05","TRUE","2","0","3","Environment","Rajasthan","India",FALSE
"18","RT @s_kaushik13: @bbhavyabishnoi @BhajanGlobal Proud moment for you &amp; @bishnoikuldeep Golden opportunity to explore your talent &amp; share you","2018-09-03 03:40:37","TRUE","2","0","3","Environment","Rajasthan","India",TRUE
