"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-05 13:23:10","FALSE","0","0","0","Environment","Uttar Pradesh","India",FALSE
"2","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 13:02:21","TRUE","2","0","0","Environment","Uttar Pradesh","India",FALSE
"3","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 11:00:08","FALSE","0","0","0","Environment","Uttar Pradesh","India",FALSE
"4","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 10:14:45","TRUE","1","0","0","Environment","Uttar Pradesh","India",TRUE
"5","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 09:08:38","FALSE","0","2","0","Environment","Uttar Pradesh","India",TRUE
"6","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-09-04 07:11:15","FALSE","1","3","-2","Environment","Uttar Pradesh","India",FALSE
"7","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-09-04 06:07:36","FALSE","0","0","0","Environment","Uttar Pradesh","India",FALSE
"8","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 04:54:40","TRUE","2","0","0","Environment","Uttar Pradesh","India",TRUE
"9","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 04:46:15","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"10","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 04:45:00","FALSE","2","9","0","Environment","Uttar Pradesh","India",TRUE
"11","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 04:14:37","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"12","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 03:35:14","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"13","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-09-04 03:34:21","FALSE","0","0","-2","Environment","Uttar Pradesh","India",TRUE
"14","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-09-04 03:32:56","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"15","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 03:32:19","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"16","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 03:32:19","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"17","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 03:32:11","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"18","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 03:32:06","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"19","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 03:31:35","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"20","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-09-04 03:31:26","FALSE","0","0","-2","Environment","Uttar Pradesh","India",TRUE
"21","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-09-04 03:31:19","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"22","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-04 03:27:20","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"23","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-04 03:27:11","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"24","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-04 03:21:06","FALSE","0","0","0","Environment","Uttar Pradesh","India",TRUE
"25","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-03 21:30:08","TRUE","17","0","0","Environment","Uttar Pradesh","India",TRUE
"26","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-03 17:16:12","TRUE","18","0","0","Environment","Uttar Pradesh","India",TRUE
"27","MPUVNL Issues Clarification on safeguard Duty on Rooftop Solar Tenders Madhya Pradesh Urja Vikas Nigam Limited  ","2018-09-03 15:46:07","TRUE","1","0","-2","Environment","Uttar Pradesh","India",TRUE
"28","""Energy is renewable but water is not. So, we found that there are cost-effective ways to deal with water distribut  ","2018-09-03 15:34:34","FALSE","1","1","0","Environment","Uttar Pradesh","India",TRUE
"29","RT @ehealthonline: @eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya Prades","2018-09-03 12:51:36","TRUE","17","0","0","Environment","Uttar Pradesh","India",TRUE
"30","@eletsonline welcomes @ManuSriNil, Principal Secretary, New and Renewable Energy Department, Government of Madhya P  ","2018-09-03 09:57:29","TRUE","17","0","0","Environment","Uttar Pradesh","India",TRUE
"31","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-03 07:24:32","TRUE","18","0","0","Environment","Uttar Pradesh","India",TRUE
"32","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-03 06:19:59","TRUE","18","0","0","Environment","Uttar Pradesh","India",TRUE
"33","DAE Recruitment 2018  Various Technician, Stipendiary Trainee Posts | Apply Online

Organisation Name: Department  ","2018-09-03 04:30:59","TRUE","7","0","0","Environment","Uttar Pradesh","India",TRUE
