"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-05 13:34:20","TRUE","20","0","-1","Environment","West Bengal","India",FALSE
"2","Question1- Which of the following state became top achiever in State Energy Efficiency Index-2018? (a)Kerala (b)Utt  ","2018-09-05 13:23:10","FALSE","0","0","1","Environment","West Bengal","India",FALSE
"3","West Bengal, where erosion leads to land loss - The Hindu  ","2018-09-05 08:56:17","FALSE","0","0","-1","Environment","West Bengal","India",FALSE
"4","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-05 04:42:32","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"5","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-05 04:36:58","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"6","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-05 03:51:08","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"7","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-05 00:31:26","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"8","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 18:56:22","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"9","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 17:35:50","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"10","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 16:58:42","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"11","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 15:11:52","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"12","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 15:11:15","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"13","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 15:03:58","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"14","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 14:04:05","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"15","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 13:47:27","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"16","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 13:43:24","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"17","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 13:40:07","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"18","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 13:24:38","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
"19","RT @JhaRahul_Bihar: Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deliveri","2018-09-04 13:21:16","TRUE","20","0","-1","Environment","West Bengal","India",TRUE
