"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-05 12:35:11","TRUE","751","0","-1","Environment","Andhra Pradesh","India",FALSE
"2","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-05 07:03:56","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"3","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-05 01:24:17","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"4","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-04 20:21:22","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"5","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-04 12:38:23","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"6","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-04 11:29:57","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"7","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-04 01:44:12","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"8","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-03 12:08:55","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"9","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-03 10:39:01","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"10","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-02 10:16:03","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"11","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-01 15:28:01","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"12","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-01 11:55:38","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"13","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-01 07:59:12","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"14","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-09-01 06:13:13","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"15","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-31 16:08:04","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"16","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-31 12:26:55","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"17","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-31 08:20:50","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"18","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-31 07:06:44","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"19","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-31 05:18:46","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"20","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-31 05:16:31","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"21","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-30 12:50:13","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"22","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-30 08:33:13","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"23","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-30 00:54:51","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"24","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-29 19:18:16","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"25","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-29 16:49:41","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"26","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-29 15:06:48","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"27","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-29 04:27:24","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"28","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-28 16:29:58","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"29","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-28 13:11:31","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"30","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-28 03:08:13","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"31","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-27 02:09:49","TRUE","751","0","-1","Environment","Andhra Pradesh","India",TRUE
"32","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-26 15:45:22","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
"33","RT @ncbn: Due to State governments initiatives for effective solid waste management, Andhra Pradesh became home to 3 of the Top 7 cleanest","2018-08-26 14:27:58","TRUE","751","0","0","Environment","Andhra Pradesh","India",TRUE
