"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","@stasac01 @ShahSujal70 @ashoktewari @AadhiraiP @Dostoyevesque @DrTamilisaiBJP @Ahmedshabbir20 BJP doesn't care abou  ","2018-09-05 10:57:53","FALSE","0","0","0","Environment","Tamil Nadu","India",FALSE
"2","RT @indianwindpower: India conducts first LiDAR-based wind profiling to set up offshore farms
A pre-feasibility report was prepared in whic","2018-09-04 08:09:35","TRUE","3","0","0","Environment","Tamil Nadu","India",FALSE
"3","RT @indianwindpower: India conducts first LiDAR-based wind profiling to set up offshore farms
A pre-feasibility report was prepared in whic","2018-09-04 07:30:50","TRUE","3","0","0","Environment","Tamil Nadu","India",TRUE
"4","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-09-04 06:17:59","TRUE","16","0","1","Environment","Tamil Nadu","India",FALSE
"5","RT @indianwindpower: India conducts first LiDAR-based wind profiling to set up offshore farms
A pre-feasibility report was prepared in whic","2018-09-04 06:05:02","TRUE","3","0","0","Environment","Tamil Nadu","India",TRUE
"6","India conducts first LiDAR-based wind profiling to set up offshore farms
A pre-feasibility report was prepared in w  ","2018-09-04 05:25:50","FALSE","3","5","0","Environment","Tamil Nadu","India",FALSE
"7","RT @misra_ias: Tamil Nadu would be a global leader in clean energy. It produces more wind energy than Sweden or Denmark and is third in Ind","2018-09-03 17:38:43","TRUE","1","0","1","Environment","Tamil Nadu","India",FALSE
"8","Tamil Nadu would be a global leader in clean energy. It produces more wind energy than Sweden or Denmark and is thi  ","2018-09-03 04:59:05","FALSE","1","2","1","Environment","Tamil Nadu","India",FALSE
"9","@Rossssk @wef The government of Tamil nadu generate around 7500-8200MW Electricity of power from wind energy in southern TN.","2018-09-02 13:46:12","FALSE","0","1","0","Environment","Tamil Nadu","India",FALSE
"10","@wef Ofcourse Tamil nadu concentrate on renewable energy for India's ambitious mission 
Credit goes to some good politicians","2018-09-02 13:41:10","FALSE","0","1","2","Environment","Tamil Nadu","India",FALSE
"11","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-09-02 03:05:19","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"12","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-09-01 05:50:44","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"13","RT @Greenubuntu1: How 2 Indian states vie to become the best in renewable energy: A @Greenubuntu1 Report on SolarEnergy india  ","2018-09-01 04:46:23","TRUE","3","0","1","Environment","Tamil Nadu","India",FALSE
"14","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-09-01 04:24:00","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"15","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 17:48:49","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"16","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 17:36:21","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"17","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 17:15:39","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"18","RT @ETEnergyWorld: ETEnergyworld | Secret of Tamil Nadus energy: Wind &amp; Water  ","2018-08-31 15:21:06","TRUE","2","0","0","Environment","Tamil Nadu","India",FALSE
"19","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 13:48:17","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"20","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 13:17:30","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"21","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 13:02:23","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"22","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 12:21:52","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"23","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 11:44:22","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"24","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 11:27:06","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"25","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 11:05:02","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"26","RT @AdaniOnline: With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil Nadu,","2018-08-31 10:52:17","TRUE","16","0","1","Environment","Tamil Nadu","India",TRUE
"27","With the capability of powering 2,65,000 homes through solar energy, the 648 MW SolarPower Plant in Kamuthi, Tamil  ","2018-08-31 10:51:46","FALSE","16","48","1","Environment","Tamil Nadu","India",FALSE
"28","  ...       ?  ","2018-08-31 10:43:31","FALSE","0","1","0","Environment","Tamil Nadu","India",FALSE
"29","  ","2018-08-31 07:35:06","FALSE","0","0","0","Environment","Tamil Nadu","India",FALSE
"30","      . kathiraamangalam    ","2018-08-31 04:38:53","FALSE","0","1","0","Environment","Tamil Nadu","India",FALSE
"31","           (18.5%)   ","2018-08-31 04:21:04","FALSE","0","0","0","Environment","Tamil Nadu","India",FALSE
"32","RT @JuniorVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-31 01:28:29","TRUE","11","0","0","Environment","Tamil Nadu","India",FALSE
"33","RT @vikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 18:37:48","TRUE","11","0","0","Environment","Tamil Nadu","India",FALSE
"34","RT @IndiaStatesCSIS: This week in Big News from India's States: Indian Oil announces it will invest nearly $1 billion in Tamil Nadu over th","2018-08-30 18:13:47","TRUE","3","0","0","Environment","Tamil Nadu","India",FALSE
"35","RT @IndiaStatesCSIS: This week in Big News from India's States: Indian Oil announces it will invest nearly $1 billion in Tamil Nadu over th","2018-08-30 17:02:49","TRUE","3","0","0","Environment","Tamil Nadu","India",TRUE
"36","RT @IndiaStatesCSIS: This week in Big News from India's States: Indian Oil announces it will invest nearly $1 billion in Tamil Nadu over th","2018-08-30 16:33:51","TRUE","3","0","0","Environment","Tamil Nadu","India",TRUE
"37","This week in Big News from India's States: Indian Oil announces it will invest nearly $1 billion in Tamil Nadu over  ","2018-08-30 16:30:42","FALSE","3","1","0","Environment","Tamil Nadu","India",FALSE
"38","RT @vikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 15:55:54","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"39","RT @TimBuckleyIEEFA: The benefits of a diversity in  generation: Tamil Nadu wind generation down, but offset by record hydro-electricity","2018-08-30 15:20:43","TRUE","5","0","1","Environment","Tamil Nadu","India",FALSE
"40","How Tamil Nadu Became One of the Worlds Leading Renewable Energy Markets  ","2018-08-30 14:46:11","FALSE","0","0","1","Environment","Tamil Nadu","India",FALSE
"41","A group of environmental activists have urged Tamil Nadu Chief Minister Edappadi K. Palaniswami to revoke the trans  ","2018-08-30 14:41:38","FALSE","0","2","-1","Environment","Tamil Nadu","India",FALSE
"42","RT @AnandaVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 13:29:05","TRUE","9","0","0","Environment","Tamil Nadu","India",FALSE
"43","RT @JuniorVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 13:26:50","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"44","RT @AnandaVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 12:26:05","TRUE","9","0","0","Environment","Tamil Nadu","India",TRUE
"45","RT @JuniorVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 12:04:27","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"46","RT @vikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 12:03:06","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"47","RT @AnandaVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 12:01:38","TRUE","9","0","0","Environment","Tamil Nadu","India",TRUE
"48","SolarToday T.N. to harness rooftops for solar energy  ","2018-08-30 11:43:12","FALSE","0","1","0","Environment","Tamil Nadu","India",FALSE
"49","RT @JuniorVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 11:35:49","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"50","RT @JuniorVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 11:34:40","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"51","RT @vikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 11:32:28","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
"52","RT @JuniorVikatan:   ...       ? | TamilNadu | RemewableEnergy |  ","2018-08-30 11:06:56","TRUE","11","0","0","Environment","Tamil Nadu","India",TRUE
