"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @2KanHaa: This picture is 32 years old.  Lalu Prasad Yadav &amp; family were residing in a Servant-Qauarter at *Government Veterinary Colleg","2018-07-28 11:47:19","TRUE","245","0","0","Real Estate Value","Bihar","India",FALSE
"2","RT @2KanHaa: This picture is 32 years old.  Lalu Prasad Yadav &amp; family were residing in a Servant-Qauarter at *Government Veterinary Colleg","2018-07-28 07:57:01","TRUE","245","0","0","Real Estate Value","Bihar","India",TRUE
"3","RT @2KanHaa: This picture is 32 years old.  Lalu Prasad Yadav &amp; family were residing in a Servant-Qauarter at *Government Veterinary Colleg","2018-07-28 07:55:02","TRUE","245","0","0","Real Estate Value","Bihar","India",TRUE
"4","Instead of developing Maharashtra they are interested in throwing stones and damaging public property of Maharashtr  ","2018-07-28 00:24:29","FALSE","0","0","-1","Real Estate Value","Bihar","India",FALSE
"5","@aajtak @rohit_manas Bhaiya ye Bihar hai yaha criminal ko unki jati dekhar saja milti Hai criminal ko political sup  ","2018-07-27 15:07:35","FALSE","0","0","-2","Real Estate Value","Bihar","India",FALSE
"6","@_NairFYI @RoshanKrRai @Aam_Nationalist @Popat_Patra @trollkikr @IamAlok_INC @dhruv_rathee @derekobrienmp  ","2018-07-27 10:51:56","FALSE","0","10","0","Real Estate Value","Bihar","India",FALSE
"7","@Dev_Fadnavis Instead of developing Maharashtra they are interested in throwing stones and damaging public property  ","2018-07-27 00:20:47","FALSE","0","1","-1","Real Estate Value","Bihar","India",FALSE
"8","RT @GabbbarSingh: When Nepal released waters and entire North Bihar was flooded, with loss of life and property, Laalu quipped during an se","2018-07-25 13:31:39","TRUE","2493","0","-1","Real Estate Value","Bihar","India",FALSE
"9","shabarimala So in short if someone in Bihar transgress his neighbours landed property, I can file law-suite in a  ","2018-07-25 10:30:56","FALSE","0","0","-1","Real Estate Value","Bihar","India",FALSE
"10","RT @ddpthorat: Hardik in Dock..Why are trouble makers of Delhi, Haryana, Chandigarh, Bihar, UP, Rajasthan, WB Pune and Mumbai roaming aroun","2018-07-25 09:43:00","TRUE","1","0","-1","Real Estate Value","Bihar","India",FALSE
"11","Hardik in Dock..Why are trouble makers of Delhi, Haryana, Chandigarh, Bihar, UP, Rajasthan, WB Pune and Mumbai roam  ","2018-07-25 06:35:48","FALSE","1","1","-1","Real Estate Value","Bihar","India",FALSE
"12","@PiyushGoyal @RahulGandhi Sir good morning 
Sir railway ki property pe ghar ( house ) banaya ja raha h so please ap  ","2018-07-25 05:45:01","FALSE","0","2","1","Real Estate Value","Bihar","India",FALSE
"13","                      ","2018-07-23 17:50:00","FALSE","0","1","0","Real Estate Value","Bihar","India",FALSE
"14","RT @yadavtejashwi: In rarest of rare case of rape in Bihar, 40 minor girls of 7 to 17 yrs were repeatedly RAPED under one roof for months i","2018-07-23 04:19:20","TRUE","1667","0","-2","Real Estate Value","Bihar","India",FALSE
"15","The reason why @Bihargovt ranked lowest in GoodGovernance .
I have a perfect example:- 
I am facing a problem sinc  ","2018-07-22 17:07:51","FALSE","0","0","0","Real Estate Value","Bihar","India",FALSE
"16","Bihar | One of the few amendments proposed is to do away with the provision of seizure of property if people were  ","2018-07-22 16:11:42","FALSE","0","0","0","Real Estate Value","Bihar","India",FALSE
"17","Reach us to build your future home.
We know you long for.
lakhanhomes property patna bihar realestate  ","2018-07-20 06:11:35","FALSE","0","0","0","Real Estate Value","Bihar","India",FALSE
"18","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-20 05:02:11","TRUE","28","0","0","Real Estate Value","Bihar","India",FALSE
"19","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-20 04:00:49","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"20","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-20 03:15:23","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"21","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-20 03:09:13","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"22","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-20 01:32:46","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"23","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 19:59:38","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"24","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 16:16:43","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"25","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 15:48:18","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"26","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 15:22:56","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"27","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 15:14:00","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"28","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 14:22:39","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"29","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 14:14:06","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"30","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 14:13:26","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"31","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 14:04:19","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"32","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 14:00:14","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"33","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 13:57:22","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"34","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 13:38:30","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"35","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 13:31:41","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"36","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 13:13:55","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"37","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 13:11:38","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"38","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 12:43:56","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"39","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 12:43:37","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"40","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 12:38:14","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"41","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 12:26:00","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"42","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 12:25:59","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"43","RT @kukk44: 5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report. Lal Babu Pr","2018-07-19 12:24:30","TRUE","28","0","0","Real Estate Value","Bihar","India",TRUE
"44","5. It Implicated Amit Shah for whom property was bought for Rs 60 lakh was bought in Lakhisarai, as per the report.  ","2018-07-19 12:23:27","FALSE","28","23","0","Real Estate Value","Bihar","India",FALSE
"45","RT @MongabayIndia: The @Indiametdept is developing a guidance system to predict flashfloods that will help to save lives and damages to pr","2018-07-19 06:59:38","TRUE","3","0","0","Real Estate Value","Bihar","India",FALSE
"46","RT @MongabayIndia: The @Indiametdept is developing a guidance system to predict flashfloods that will help to save lives and damages to pr","2018-07-19 06:31:12","TRUE","3","0","0","Real Estate Value","Bihar","India",TRUE
"47","RT @MongabayIndia: The @Indiametdept is developing a guidance system to predict flashfloods that will help to save lives and damages to pr","2018-07-19 06:00:11","TRUE","3","0","0","Real Estate Value","Bihar","India",TRUE
"48","The @Indiametdept is developing a guidance system to predict flashfloods that will help to save lives and damages  ","2018-07-19 05:51:06","FALSE","3","4","0","Real Estate Value","Bihar","India",FALSE
