"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @rodinhood: Logistics tycoons, European tax officers, lux marketers, real estate, finance experts &amp; entrepreneurs attended our Mumbai Ha","2018-07-29 11:10:29","TRUE","1","0","-1","Real Estate Value","Delhi","India",FALSE
"2","@dolly_seema @msisodia @AtishiMarlena @educat_reform @education_delhi @Delhi_Edu @AnuragKunduAK @DGNewsFlash  ","2018-07-29 09:48:24","FALSE","0","0","-1","Real Estate Value","Delhi","India",FALSE
"3","Logistics tycoons, European tax officers, lux marketers, real estate, finance experts &amp; entrepreneurs attended our  ","2018-07-29 08:12:44","FALSE","1","7","-1","Real Estate Value","Delhi","India",FALSE
"4","@ManojTiwariMP he takes salary from Delhi tax payers, work for real estate Land mafias from UP to Delhi to Mumbai,  ","2018-07-29 07:46:53","FALSE","0","0","0","Real Estate Value","Delhi","India",FALSE
"5",".@ArvindKejriwal Kejriwal will interact with representatives of RWAs, Market Associations over installation of CCTV  ","2018-07-29 07:06:38","FALSE","0","0","-1","Real Estate Value","Delhi","India",FALSE
"6","Large beautiful woman galleries
  ","2018-07-29 07:02:32","FALSE","0","1","3","Real Estate Value","Delhi","India",FALSE
"7","@XsecularRishub @mariawirth1 @SrijanFn Srijan Talk held at INTACH, 71 Lodhi Estate, New Delhi","2018-07-29 04:57:27","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"8","RT @SimplexDavis: Unsold inventory stock rose to 8 lac units of which residential properties &amp; commercial offices because of very huge unem","2018-07-28 21:47:57","TRUE","50","0","1","Real Estate Value","Delhi","India",FALSE
"9","DLF to invest Rs 500 crore on growing IT parks in Chennai NEW DELHI: Realty most important DLF will make investment  ","2018-07-28 21:35:16","FALSE","0","0","0","Real Estate Value","Delhi","India",FALSE
"10","DLF to invest Rs 500 crore on growing IT parks in Chennai NEW DELHI: Realty most important DLF will make investment  ","2018-07-28 21:35:15","FALSE","0","0","1","Real Estate Value","Delhi","India",TRUE
"11","DLF to invest Rs 500 crore on growing IT parks in Chennai NEW DELHI: Realty most important DLF will make investment  ","2018-07-28 21:35:12","FALSE","0","0","1","Real Estate Value","Delhi","India",TRUE
"12","DLF to invest Rs 500 crore on growing IT parks in Chennai NEW DELHI: Realty most important DLF will make investment  ","2018-07-28 21:35:11","FALSE","0","0","-2","Real Estate Value","Delhi","India",TRUE
"13","Shradha Saboori Real Estate Has Many More Options As Per Your Need and ur requirement,  
Shradha Saboori Real Estat  ","2018-07-28 19:20:53","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"14","contd..even after letters diercted by President estate to Delhi Govt no action by deptt of employee and deptt of He  ","2018-07-28 16:43:26","FALSE","0","0","0","Real Estate Value","Delhi","India",FALSE
"15","Contd...writing to Government of India President &amp; PM and even after letters diercted by President estate to Delhi  ","2018-07-28 16:11:41","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"16"," ","2018-07-28 13:15:27","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"17","Investment Opportunity in Delhi (India) on NH 8, with Guaranteed ROI for 2 yrs. The Price Starting as low as Rs 28,  ","2018-07-28 11:09:44","FALSE","0","0","0","Real Estate Value","Delhi","India",FALSE
"18","RT @pankaj30sharma: landpooling Farmers association such as Delhi Dehat vikas manch should engage people like Geetamber Anand from CREDAI","2018-07-28 10:06:11","TRUE","2","0","1","Real Estate Value","Delhi","India",FALSE
"19","ome prices Drop 3% Across 8 cities in India
mumbai pune delhi RealEstate  ","2018-07-28 09:31:40","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"20","RT @pankaj30sharma: landpooling Farmers association such as Delhi Dehat vikas manch should engage people like Geetamber Anand from CREDAI","2018-07-28 09:11:56","TRUE","2","0","0","Real Estate Value","Delhi","India",TRUE
"21","landpooling Farmers association such as Delhi Dehat vikas manch should engage people like Geetamber Anand from CRE  ","2018-07-28 05:30:13","FALSE","2","5","0","Real Estate Value","Delhi","India",FALSE
"22","Best Developer and Builder is one of the leading and premium real estate developers in Delhi &amp; Noida. Hometoppers O  ","2018-07-28 05:24:35","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"23","RT @rodinhood: OUR 1st Happ Program IN DELHI! Pls join me, @chhavi26 for 3 days learnin AMAZIN meditation, chatting &amp; LOTS of biz + dhandha","2018-07-28 03:09:59","TRUE","2","0","0","Real Estate Value","Delhi","India",FALSE
"24","RT @sr_usha: @TimesNow 25 acre of prime land in Delhi for a memorial = real estate grabbing by Sonia Gandhi clan.","2018-07-28 01:00:28","TRUE","1","0","1","Real Estate Value","Delhi","India",FALSE
"25","Rented Property Available in Netaji Subhash Place,  Exclusive Rented Deal Available Only @ Shradha Saboori Real Est  ","2018-07-27 16:37:52","FALSE","0","0","0","Real Estate Value","Delhi","India",FALSE
"26","@TimesNow 25 acre of prime land in Delhi for a memorial = real estate grabbing by Sonia Gandhi clan.","2018-07-27 15:47:32","FALSE","1","3","0","Real Estate Value","Delhi","India",FALSE
"27","Respected sir,I am sending you the Jansunwai complaint along with videos of the conditions of my flat G8,Ruby Heigh  ","2018-07-27 11:49:19","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
