"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @republic: Man copies '102 Not Out' story-line to cheat aged mother of her property

 ","2018-07-29 16:23:53","TRUE","3","0","-1","Real Estate Value","Delhi","India",FALSE
"2","RT @ndtv: Court rejects plea in property dispute, says it's copy of Bollywood film  ","2018-07-29 16:21:59","TRUE","1","0","-1","Real Estate Value","Delhi","India",FALSE
"3","Flat For Sale
New Friends colony, New Delhi
Third + Terrace
3 BHK
300 Sq.yd 
D&amp;D/ AC/ Lift/ Geyser/ inside th  ","2018-07-29 15:30:09","FALSE","0","0","-1","Real Estate Value","Delhi","India",FALSE
"4","RT @republic: Man copies '102 Not Out' story-line to cheat aged mother of her property

 ","2018-07-29 15:29:34","TRUE","3","0","0","Real Estate Value","Delhi","India",TRUE
"5","RT @republic: Man copies '102 Not Out' story-line to cheat aged mother of her property

 ","2018-07-29 14:30:27","TRUE","3","0","-1","Real Estate Value","Delhi","India",TRUE
"6","Man copies '102 Not Out' story-line to cheat aged mother of her property

 ","2018-07-29 14:20:03","FALSE","3","8","3","Real Estate Value","Delhi","India",FALSE
"7","@ArvindKejriwal  @AamAadmiParty       
   AAP  
       ?  ","2018-07-29 13:42:23","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"8","Flat For Sale
Friends colony East, New Delhi
Third + Terrace
3 BHK
250 Sq.yd 
D&amp;D/ SQ/ Balcony/ Rear Unit/ Ha  ","2018-07-29 12:30:03","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
"9","RT @MudgilAntariksh: Road of my home. In rain  we all facing  problembto reached the office and children is highly discomfort to go school.","2018-07-29 12:10:00","TRUE","1","0","0","Real Estate Value","Delhi","India",FALSE
"10","Road of my home. In rain  we all facing  problembto reached the office and children is highly discomfort to go scho  ","2018-07-29 12:05:15","FALSE","1","0","1","Real Estate Value","Delhi","India",FALSE
"11","Delhi HC dismisses son's plea in property dispute, says it's copy of film '102 Not Out'  ","2018-07-29 10:49:39","FALSE","0","0","1","Real Estate Value","Delhi","India",FALSE
