"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @mayabedi6: Hardik Patel, face of the Patidar campaign in Gujarat, has been sentenced to 2 years in jail after a court found him guilty","2018-07-28 19:26:02","TRUE","39","0","-1","Real Estate Value","Gujarat","India",FALSE
"2","RT @AlexMecwan: Gujarat police damaging public and private property, beating up women and children in charranager. I think it has been foll","2018-07-28 16:13:46","TRUE","1","0","-1","Real Estate Value","Gujarat","India",FALSE
"3","Gujarat police damaging public and private property, beating up women and children in charranager. I think it has b  ","2018-07-28 15:43:19","FALSE","1","1","-1","Real Estate Value","Gujarat","India",FALSE
"4","RT @mayabedi6: Hardik Patel, face of the Patidar campaign in Gujarat, has been sentenced to 2 years in jail after a court found him guilty","2018-07-28 14:58:27","TRUE","39","0","-1","Real Estate Value","Gujarat","India",TRUE
"5","RT @oldhandhyd: In Gujarat a daughter who converted to Islam and left the house 25 yrs ago came back at time of Hindu father's death and cl","2018-07-28 08:12:46","TRUE","3","0","-1","Real Estate Value","Gujarat","India",FALSE
"6","RT @oldhandhyd: In Gujarat a daughter who converted to Islam and left the house 25 yrs ago came back at time of Hindu father's death and cl","2018-07-28 07:00:24","TRUE","3","0","-1","Real Estate Value","Gujarat","India",TRUE
"7","In Gujarat a daughter who converted to Islam and left the house 25 yrs ago came back at time of Hindu father's deat  ","2018-07-28 06:58:41","FALSE","3","1","0","Real Estate Value","Gujarat","India",FALSE
"8","@Shivam4Nation Tell me 1 thing wt he did. Wtever u ask he ll reply I m a tea seller. Neither he hav a vision nor an  ","2018-07-28 06:24:21","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"9","RT @eTurboNews: Hotel group in India announces new property in key Gujarat city of Bharuch  ","2018-07-28 02:12:04","TRUE","2","0","0","Real Estate Value","Gujarat","India",FALSE
"10","RT @kuldeep_2105: Its mother of all land deals!

Read todays @ahmedabadmirror to read more or follow below link: 

 ","2018-07-27 13:09:10","TRUE","3","0","0","Real Estate Value","Gujarat","India",FALSE
"11","RT @kuldeep_2105: Its mother of all land deals!

Read todays @ahmedabadmirror to read more or follow below link: 

 ","2018-07-27 13:00:06","TRUE","3","0","0","Real Estate Value","Gujarat","India",TRUE
