"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","To know more about Coldwell Banker Gujarat - Real Estate Consultant visit our Website:  ","2018-07-28 10:56:28","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"2","@aparanjape Is it necessary priority in these times, to have 14 airports in Maharashtra! Resources are denied to 'r  ","2018-07-27 20:42:12","FALSE","0","0","-1","Real Estate Value","Gujarat","India",FALSE
"3","Get breathtaking views of the Himalayas &amp; experience unparallel luxury at Pacific Golf Estate,Dehradun, India.1/  ","2018-07-27 09:19:16","FALSE","0","1","2","Real Estate Value","Gujarat","India",FALSE
"4","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-27 09:01:13","TRUE","9","0","0","Real Estate Value","Gujarat","India",FALSE
"5","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-27 06:17:01","TRUE","9","0","0","Real Estate Value","Gujarat","India",TRUE
"6","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-26 13:59:11","TRUE","9","0","0","Real Estate Value","Gujarat","India",TRUE
"7","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-26 11:59:31","TRUE","9","0","0","Real Estate Value","Gujarat","India",TRUE
"8","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-26 11:27:53","TRUE","9","0","0","Real Estate Value","Gujarat","India",TRUE
"9","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-26 11:16:18","TRUE","9","0","0","Real Estate Value","Gujarat","India",TRUE
"10","RT @VibrantGujarat: Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the past","2018-07-26 11:10:25","TRUE","9","0","0","Real Estate Value","Gujarat","India",TRUE
"11","Gujarat Gov to develop a township for Japanese expats to further promote investment from Japan.Gujarat, has in the  ","2018-07-26 11:10:03","FALSE","9","23","0","Real Estate Value","Gujarat","India",FALSE
"12","This year, we have with us, Mr Khushru Jijina, MD of Piramal Capital &amp; Housing Finance as a guest speaker. A vision  ","2018-07-24 09:36:19","FALSE","0","1","0","Real Estate Value","Gujarat","India",FALSE
"13","@pauljohntoi @AhmedabadAMC @CollectorAhd Deputy TDO estate is not providing parking plan of orchid green girdhar na  ","2018-07-24 09:14:27","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"14","30000         ...
Gujarat Agriculture RealEstate  DholeraSIR,   ","2018-07-24 02:31:10","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"15","        
Gujarat RealEstate  KaushikPatel Revenue  ","2018-07-23 15:11:09","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"16","Join as Agent Affiliate by just spending Rs. 2000/- per month and get the benefits of MNC Company.
To know more, Ca  ","2018-07-21 06:29:14","FALSE","0","0","1","Real Estate Value","Gujarat","India",FALSE
"17","        
RealEstate Gujarat CentralGujarat  Ahmedabad Recession  ","2018-07-21 05:31:09","FALSE","0","1","-1","Real Estate Value","Gujarat","India",FALSE
"18","    162     
Gujarat Agriculture RealEstate  DholeraSIR,   ","2018-07-21 02:31:15","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"19","RT @jigneshmevani80: This is how real estate mafiyas in connivance with BJP leaders are building towers to permanently finish  river Ladbi","2018-07-20 09:22:35","TRUE","334","0","0","Real Estate Value","Gujarat","India",FALSE
"20","@UttarandhraG @BandaruAN_TDP @JaiTDP Gujarat was not developed by central funds. But by its owns state businessman.  ","2018-07-19 08:41:57","FALSE","0","0","0","Real Estate Value","Gujarat","India",FALSE
"21","3 Strong Reasons for Select Realty Buddy
*Smart Secure Affordable*
*Gujarat's Fastest Growing Real-Estate ERP*  ","2018-07-19 06:42:27","FALSE","0","1","3","Real Estate Value","Gujarat","India",FALSE
"22","3 Strong Reasons for Select Realty Buddy
Smart Secure Affordable
Gujarat's Fastest Growing Real-Estate ERP  ","2018-07-19 06:30:21","FALSE","0","0","3","Real Estate Value","Gujarat","India",FALSE
"23","RT @RaghuvirBuilder: Realty Plus, Indias leading real estate magazine announces Raghuvir Shell as the BEST ICONIC structure in Gujarat in","2018-07-19 03:28:42","TRUE","2","0","2","Real Estate Value","Gujarat","India",FALSE
"24","RT @RaghuvirBuilder: Realty Plus, Indias leading real estate magazine announces Raghuvir Shell as the BEST ICONIC structure in Gujarat in","2018-07-19 03:27:53","TRUE","1","0","2","Real Estate Value","Gujarat","India",TRUE
