"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @mithaleshd92: GuruPurnima

This is how justice prevails in India.
Where the supreme court orders are not obeyed by an IG of haryana.
W","2018-07-28 19:41:45","TRUE","2","0","1","Real Estate Value","Haryana","India",FALSE
"2","__, together with the Haryana Government, sells the government property...

This is the reaso  ","2018-07-28 18:27:10","FALSE","1","1","0","Real Estate Value","Haryana","India",FALSE
"3","RT @Daslokeshyadav2: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed ki","2018-07-28 18:04:28","TRUE","84","0","-1","Real Estate Value","Haryana","India",FALSE
"4","GuruPurnima

This is how justice prevails in India.
Where the supreme court orders are not obeyed by an IG of hary  ","2018-07-28 18:02:41","FALSE","2","2","1","Real Estate Value","Haryana","India",FALSE
"5","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 18:01:08","TRUE","57","0","-2","Real Estate Value","Haryana","India",FALSE
"6","RT @bharti201190: SaturdayMotivation 
This is how justice prevails in India.
Where the supreme court orders are not obeyed by an IG of har","2018-07-28 17:53:47","TRUE","2","0","1","Real Estate Value","Haryana","India",FALSE
"7","RT @bharti201190: SaturdayMotivation 
This is how justice prevails in India.
Where the supreme court orders are not obeyed by an IG of har","2018-07-28 17:34:25","TRUE","2","0","1","Real Estate Value","Haryana","India",TRUE
"8","SaturdayMotivation 
This is how justice prevails in India.
Where the supreme court orders are not obeyed by an IG  ","2018-07-28 17:18:34","FALSE","2","2","1","Real Estate Value","Haryana","India",FALSE
"9","RT @alka40894468: __
Jailor Shamsher Dahiya is selling the government property without any fear of Haryana Government.","2018-07-28 17:07:53","TRUE","26","0","-1","Real Estate Value","Haryana","India",FALSE
"10","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 17:04:11","TRUE","57","0","-2","Real Estate Value","Haryana","India",TRUE
"11","RT @BabliDassi: __, together with the Haryana Government, sells the government property...

This is the reason why it","2018-07-28 16:24:00","TRUE","3","0","0","Real Estate Value","Haryana","India",FALSE
"12","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 16:08:11","TRUE","57","0","-2","Real Estate Value","Haryana","India",TRUE
"13","RT @dash_ghan: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 15:38:48","TRUE","12","0","-2","Real Estate Value","Haryana","India",FALSE
"14","RT @BabliDassi: __, together with the Haryana Government, sells the government property...

This is the reason why it","2018-07-28 15:22:46","TRUE","3","0","0","Real Estate Value","Haryana","India",TRUE
"15","RT @BabliDassi: __, together with the Haryana Government, sells the government property...

This is the reason why it","2018-07-28 15:20:42","TRUE","3","0","0","Real Estate Value","Haryana","India",TRUE
"16","__, together with the Haryana Government, sells the government property...

This is the reaso  ","2018-07-28 15:11:10","FALSE","3","3","0","Real Estate Value","Haryana","India",TRUE
"17","RT @Daslokeshyadav2: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed ki","2018-07-28 13:47:00","TRUE","84","0","-1","Real Estate Value","Haryana","India",TRUE
"18","PROPERTY ALERT:
ADDRESS: Sector 7-Panchkula, Haryana.
DESCRIPTION: 1 k house available for rent sector 7 pkl A-Road  ","2018-07-28 13:04:53","FALSE","0","0","1","Real Estate Value","Haryana","India",FALSE
"19","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 12:58:38","TRUE","57","0","-2","Real Estate Value","Haryana","India",TRUE
"20","PROPERTY ALERT:
ADDRESS: Sector 2-Panchkula, Haryana.
DESCRIPTION: 10 m house available for sale sector 2 pkl corne  ","2018-07-28 12:43:13","FALSE","0","0","1","Real Estate Value","Haryana","India",FALSE
"21","RT @SunderLalDas1: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kill","2018-07-28 12:38:09","TRUE","14","0","-2","Real Estate Value","Haryana","India",FALSE
"22","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 12:29:04","TRUE","57","0","-2","Real Estate Value","Haryana","India",TRUE
"23","PROPERTY ALERT:
ADDRESS: Sector 16-Panchkula, Haryana.
DESCRIPTION: 10 m house available for sale sector 16 pkl sin  ","2018-07-28 12:12:58","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"24","PROPERTY ALERT:
ADDRESS: Sector 15-Panchkula, Haryana.
DESCRIPTION: 10 m house available for sale sector 15 pkl sin  ","2018-07-28 11:47:50","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"25","RT @alka40894468: __
Jailor Shamsher Dahiya is selling the government property without any fear of Haryana Government.","2018-07-28 11:35:48","TRUE","26","0","-1","Real Estate Value","Haryana","India",TRUE
"26","RT @alka40894468: __
Jailor Shamsher Dahiya is selling the government property without any fear of Haryana Government.","2018-07-28 11:17:25","TRUE","26","0","-1","Real Estate Value","Haryana","India",TRUE
"27","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 11:03:33","TRUE","57","0","-2","Real Estate Value","Haryana","India",TRUE
"28","RT @alka40894468: __
Jailor Shamsher Dahiya is selling the government property without any fear of Haryana Government.","2018-07-28 10:26:09","TRUE","26","0","-1","Real Estate Value","Haryana","India",TRUE
"29","RT @Daslokeshyadav2: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed ki","2018-07-28 09:36:58","TRUE","84","0","-1","Real Estate Value","Haryana","India",TRUE
"30","RT @UshaDasi9: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kills th","2018-07-28 09:15:48","TRUE","57","0","-2","Real Estate Value","Haryana","India",TRUE
"31","RT @SunderLalDas1: Today's FridayFeelings
The Hisar of Haryana's __  the official property of the prison jailed kill","2018-07-28 09:13:26","TRUE","14","0","-2","Real Estate Value","Haryana","India",TRUE
