"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Haryana real estate regulator to take strict action against defaulting builders..  ","2018-07-27 16:09:34","FALSE","0","0","-1","Real Estate Value","Haryana","India",FALSE
"2","Haryana real estate regulator to take strict action against defaulting builders  ","2018-07-27 16:00:12","FALSE","0","0","-1","Real Estate Value","Haryana","India",FALSE
"3","Haryana real estate regulator to take strict action against defaulting builders
 ","2018-07-27 15:40:51","FALSE","0","1","-1","Real Estate Value","Haryana","India",FALSE
"4","Haryana real estate regulator to take strict action against defaulting builders  ","2018-07-27 14:56:35","FALSE","0","0","-1","Real Estate Value","Haryana","India",TRUE
"5","RT @abhayksgurgaon: UNITECHHOMEBUYERS 
TakeOverUnitech 
UNITECHVISTASGURGAON 
@mlkhattar sir please don't invite NRIs to invest in real","2018-07-27 13:11:11","TRUE","39","0","0","Real Estate Value","Haryana","India",FALSE
"6","Get breathtaking views of the Himalayas &amp; experience unparallel luxury at Pacific Golf Estate,Dehradun, India.1/  ","2018-07-27 09:19:16","FALSE","0","1","2","Real Estate Value","Haryana","India",FALSE
"7","Interactive Session with Dr. K K Khandelwal, Chairman, Haryana Real Estate Regulatory Authority (HARERA).  ","2018-07-27 05:49:30","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"8","RT @abhayksgurgaon: UNITECHHOMEBUYERS 
TakeOverUnitech 
UNITECHVISTASGURGAON 
@mlkhattar sir please don't invite NRIs to invest in real","2018-07-27 04:34:16","TRUE","39","0","0","Real Estate Value","Haryana","India",TRUE
"9","RT @abhayksgurgaon: UNITECHHOMEBUYERS 
TakeOverUnitech 
UNITECHVISTASGURGAON 
@mlkhattar sir please don't invite NRIs to invest in real","2018-07-27 02:56:44","TRUE","39","0","0","Real Estate Value","Haryana","India",TRUE
"10","Haryana Real Estate Regulatory Authority Jobs 2018-19 Apply For 05 Steno Typist Posts  ","2018-07-26 14:20:21","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"11","Interactive Session with Dr. K K Khandelwal, Chairman, Haryana Real Estate Regulatory Authority (HARERA).  ","2018-07-26 08:13:07","FALSE","0","1","0","Real Estate Value","Haryana","India",TRUE
"12","From Haryana RERA serving a notice to @Supertechltd for cheating homebuyers to @PMOIndia inaugurating worlds lar  ","2018-07-26 07:20:18","FALSE","1","1","-1","Real Estate Value","Haryana","India",FALSE
"13","   : Guru Poornima 27July18
Empire Estate : 12-4pm
Bada Mandir : 4-10pm
All Sangat are Invited @ Gurgaon, H  ","2018-07-26 03:59:06","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"14","Raheja Developers | Top Real Estate Builders in Gurgaon  ","2018-07-25 06:49:35","FALSE","0","0","1","Real Estate Value","Haryana","India",FALSE
"15","SikanderpurGuru DronacharyaVidya School  ","2018-07-25 02:09:55","FALSE","0","1","0","Real Estate Value","Haryana","India",FALSE
"16","Haryana government sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon -  ","2018-07-24 17:58:18","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"17","Haryana government sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon -  ","2018-07-24 12:58:05","FALSE","0","0","0","Real Estate Value","Haryana","India",TRUE
"18","Give unique ID to 123 water bodies in Haryana: NGT..  ","2018-07-24 12:29:00","FALSE","0","0","0","Real Estate Value","Haryana","India",FALSE
"19","RT @moneycontrolcom: Haryana govt sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon
 ","2018-07-24 10:45:41","TRUE","18","0","0","Real Estate Value","Haryana","India",FALSE
"20","Haryana government sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon -  ","2018-07-24 09:43:38","FALSE","0","0","0","Real Estate Value","Haryana","India",TRUE
"21","RT @moneycontrolcom: Haryana govt sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon
 ","2018-07-24 04:24:48","TRUE","18","0","0","Real Estate Value","Haryana","India",TRUE
"22","RT @abhayksgurgaon: UNITECHHOMEBUYERS 
TakeOverUnitech 
UNITECHVISTASGURGAON 
@mlkhattar sir please don't invite NRIs to invest in real","2018-07-23 20:32:46","TRUE","39","0","0","Real Estate Value","Haryana","India",TRUE
"23","RT @moneycontrolcom: Haryana govt sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon
 ","2018-07-23 19:43:35","TRUE","18","0","0","Real Estate Value","Haryana","India",TRUE
"24","RT @moneycontrolcom: Haryana govt sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon
 ","2018-07-23 17:18:47","TRUE","18","0","0","Real Estate Value","Haryana","India",TRUE
"25","RT @moneycontrolcom: Haryana govt sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon
 ","2018-07-23 16:04:29","TRUE","18","0","0","Real Estate Value","Haryana","India",TRUE
"26","RT @abhayksgurgaon: UNITECHHOMEBUYERS 
TakeOverUnitech 
UNITECHVISTASGURGAON 
@mlkhattar sir please don't invite NRIs to invest in real","2018-07-23 15:45:45","TRUE","39","0","0","Real Estate Value","Haryana","India",TRUE
"27","RT @moneycontrolcom: Haryana govt sanctions Rs 25 crore for installation of CCTV cameras in Gurgaon
 ","2018-07-23 14:25:23","TRUE","18","0","0","Real Estate Value","Haryana","India",TRUE
