"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Welcome to MyBangalore Property Services!
Featured Elegant 3 BHK Apartment For Sale:
Ample 3 BHK Apartment For Sale  ","2018-07-28 02:29:42","FALSE","0","0","2","Real Estate Value","Karnataka","India",FALSE
"2","   ?   ?
UdupiKrishnaMutt ShiroorShri Gold Money property 
 ","2018-07-27 14:48:29","FALSE","0","1","1","Real Estate Value","Karnataka","India",FALSE
"3","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-27 08:25:12","TRUE","9","0","0","Real Estate Value","Karnataka","India",FALSE
"4","RT @sesa_sen: Two weeks before he died under mysterious circumstances, Lakshmivara Theertha seer of Shiroor Mutt in Udupi seemed to have be","2018-07-27 06:54:18","TRUE","1","0","-2","Real Estate Value","Karnataka","India",FALSE
"5","Welcome to MyBangalore Property Services!
Featured 130x80 BBMP Approved Plot For Sale:
BBMP Approved 130x80 NF A Kh  ","2018-07-27 04:19:08","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"6","DK Shivkumar,Karnataka's Powerful Minister belonging to Cong Party, under lense for high profile corruption. Arrest  ","2018-07-26 15:10:10","FALSE","0","1","0","Real Estate Value","Karnataka","India",FALSE
"7","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 13:54:53","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"8","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 12:45:28","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"9","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 10:29:35","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"10","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 09:51:23","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"11","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 09:50:40","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"12","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 09:49:22","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"13","RT @Vishysays: Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/above! Yet,t","2018-07-26 09:46:00","TRUE","9","0","0","Real Estate Value","Karnataka","India",TRUE
"14","Many of the legislators 4m North Karnataka are record breakers!They've reprsntd their seats 4 more than 5 terms/abo  ","2018-07-26 09:45:29","FALSE","9","24","0","Real Estate Value","Karnataka","India",FALSE
"15","    :  .   ","2018-07-26 08:36:44","FALSE","0","1","0","Real Estate Value","Karnataka","India",FALSE
"16","Welcome to MyBangalore Property Services!
Featured 4 BHK Duplex House For Sale:
4 BHK Duplex House Sale 30x40 BDA C  ","2018-07-26 01:15:46","FALSE","0","0","1","Real Estate Value","Karnataka","India",FALSE
"17","2BHK Apartment in Electronic City at Basapura Main Rd, Basapura, Bangalore, Karnataka 560068  ... :  ","2018-07-25 20:15:54","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"18","RT @shobha31433951: @SushmaSwaraj --Hello Madam-I really want you to take up this matter seriously.We live in U.K. but we are from Bengalur","2018-07-25 18:40:05","TRUE","1","0","0","Real Estate Value","Karnataka","India",FALSE
"19","RT @RV_Deshpande: I am delighted to announce Govt. of Karnataka is taking up drone based land and property survey in association with Surve","2018-07-25 15:19:58","TRUE","15","0","1","Real Estate Value","Karnataka","India",FALSE
"20","3BHK in Jayanagar,Bengaluru,Karnataka,India bangalore forsale for Rs 14,200,000,  ","2018-07-25 10:36:55","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"21","Public Property 
Public Post
Take Away-Personal Leisure 

Karnataka  ","2018-07-25 09:57:32","FALSE","1","3","0","Real Estate Value","Karnataka","India",FALSE
"22","RT @parasmal10: @CMofKarnataka @siddaramaiah Respected sir there is no ease of doing business in Karnataka for MSME No clarity regarding pr","2018-07-25 08:27:27","TRUE","1","0","2","Real Estate Value","Karnataka","India",FALSE
"23","Why no criminal case against this chor of @RahulGandhi 's @INCIndia  who stole public property in Karnataka.  ","2018-07-25 01:54:29","FALSE","0","0","-2","Real Estate Value","Karnataka","India",FALSE
"24","@NamoApp @IncomeTaxIndia @narendramodi @PiyushGoyal @Ra_THORe @JPNadda @smritiirani @nsitharaman @FinMinIndia  ","2018-07-24 16:35:17","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"25","Land for sale, Ideal for Colleges / Schools in Bangalore | Buy Sell Rent School Realestate   ","2018-07-24 10:00:29","FALSE","0","2","1","Real Estate Value","Karnataka","India",FALSE
"26","@abpnewshindi FOR THE LAST 4 YEARS OMLY BURNINGS OF PROPERTY IN GUJRAT RAJSTHAN HARAYANA UP KARNATAKA  NOW IN MAHAR  ","2018-07-24 08:58:36","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"27","Pontiff was looking to sell property: Realty agent. Read here:  ","2018-07-24 07:15:08","FALSE","0","2","0","Real Estate Value","Karnataka","India",FALSE
"28","Two weeks before he died under mysterious circumstances, Lakshmivara Theertha seer of Shiroor Mutt in Udupi seemed  ","2018-07-24 06:59:48","FALSE","1","1","-2","Real Estate Value","Karnataka","India",FALSE
"29"," ","2018-07-24 06:57:22","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"30","    :       ?  ","2018-07-24 06:49:51","FALSE","0","1","0","Real Estate Value","Karnataka","India",FALSE
"31","@SushmaSwaraj --Hello Madam-I really want you to take up this matter seriously.We live in U.K. but we are from Beng  ","2018-07-24 06:44:05","FALSE","1","0","0","Real Estate Value","Karnataka","India",FALSE
