"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@iam_juhi Wooowwww, reminds me of our coffee estate Amritasthanam in Madikeri CoorgKarnataka  ","2018-07-28 10:36:41","FALSE","0","10","0","Real Estate Value","Karnataka","India",FALSE
"2","Legal Executive Legal CRM: Hinduja Global Solutions Limited (HGS) - Bangalore, Karnataka - Hi, We have an opening f  ","2018-07-28 06:47:06","FALSE","0","0","-1","Real Estate Value","Karnataka","India",FALSE
"3","GEOCODE: WAP Factory Road, Hebbal Industrial Estate, Hebbal, Ilavala Hobli, Karnataka 570016, India  ","2018-07-28 04:51:26","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"4","I added a video to a @YouTube playlist  ","2018-07-28 02:55:41","FALSE","0","1","0","Real Estate Value","Karnataka","India",FALSE
"5","Get breathtaking views of the Himalayas &amp; experience unparallel luxury at Pacific Golf Estate,Dehradun, India.1/  ","2018-07-27 09:19:16","FALSE","0","1","2","Real Estate Value","Karnataka","India",FALSE
"6","Assistant Marketing manager for 1-3 work experience in real estate in Bengaluru, Karnataka, India: seo  ","2018-07-27 09:08:39","FALSE","0","1","1","Real Estate Value","Karnataka","India",FALSE
"7","Marketing executives in Bengaluru, Karnataka, India: estate, info, fluent, marketing, real estate  ","2018-07-27 08:28:36","FALSE","0","0","1","Real Estate Value","Karnataka","India",FALSE
"8","Post Classifieds, How You Can Own Leather Jackets For Men With Lower Cost. - Karnataka, India - Post Free Classifie  ","2018-07-27 05:45:39","FALSE","0","1","1","Real Estate Value","Karnataka","India",FALSE
"9","@sureshaputra He is from both Mandya and Shivamogga, so has a better perspective about North Karnataka region than  ","2018-07-27 03:59:49","FALSE","0","4","1","Real Estate Value","Karnataka","India",FALSE
"10","CRM Executive-Real Estate: GRC Infra Pvt. Ltd - Bangalore, Karnataka - 1) Handle the post sales functions. 2) All n  ","2018-07-26 06:08:04","FALSE","0","0","0","Real Estate Value","Karnataka","India",FALSE
"11","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-25 09:33:20","TRUE","15","0","-1","Real Estate Value","Karnataka","India",FALSE
"12","RT @goa365tv1: GOA365 SHORTS: CM Parrikar clarifies on 3 trucks that were taken to Cuncolim Ind Estate on Tue. Karnataka truck with 3 cont","2018-07-25 07:14:21","TRUE","1","0","0","Real Estate Value","Karnataka","India",FALSE
"13","GOA365 SHORTS: CM Parrikar clarifies on 3 trucks that were taken to Cuncolim Ind Estate on Tue. Karnataka truck wi  ","2018-07-25 07:13:49","FALSE","1","0","0","Real Estate Value","Karnataka","India",FALSE
"14","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-25 06:33:37","TRUE","15","0","-1","Real Estate Value","Karnataka","India",TRUE
"15","RT @Dreamzbuyers: Biggst Real Estate scams in Bengaluru by @DreamzGK, TGS &amp; Gruha Kalyan
 ","2018-07-25 04:42:13","TRUE","97","0","-1","Real Estate Value","Karnataka","India",FALSE
"16","RT @Dreamzbuyers: Biggst Real Estate scams in Bengaluru by @DreamzGK, TGS &amp; Gruha Kalyan
 ","2018-07-25 02:17:24","TRUE","97","0","-1","Real Estate Value","Karnataka","India",TRUE
