"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@shahid_siddiqui This must be made clear to the people of Uttar Pradesh. Because it's not their personal property.  ","2018-07-29 08:06:16","FALSE","0","0","-1","Real Estate Value","Uttar Pradesh","India",FALSE
"2","@RubikaLiyaquat  mam mera bhanja Pankaj Phatak gram naktapur tahsil inthyathok jilla Gonda Uttar Pradesh karahnewal  ","2018-07-28 08:42:38","FALSE","0","0","-1","Real Estate Value","Uttar Pradesh","India",FALSE
"3","RT @InsaafNGO:       ,     ...@narendramodisir give death penalty for FakeCases 

Male","2018-07-27 11:02:50","TRUE","63","0","-1","Real Estate Value","Uttar Pradesh","India",FALSE
"4","RT @tarunagra1984: :           ","2018-07-25 10:09:42","TRUE","1","0","0","Real Estate Value","Uttar Pradesh","India",FALSE
"5",":           ","2018-07-25 10:05:50","FALSE","1","5","-1","Real Estate Value","Uttar Pradesh","India",FALSE
"6","RT @WeUttarPradesh: Jaunpur :          . @jaunpurpolice @Uppolice @anupmajaisbjp @CMOffic","2018-07-25 10:05:02","TRUE","1","0","3","Real Estate Value","Uttar Pradesh","India",FALSE
"7","Jaunpur :          . @jaunpurpolice @Uppolice @anupmajaisbjp  ","2018-07-25 09:50:24","FALSE","0","0","1","Real Estate Value","Uttar Pradesh","India",FALSE
"8","Jaunpur :          . @jaunpurpolice @Uppolice @anupmajaisbjp  ","2018-07-25 09:47:08","FALSE","1","9","1","Real Estate Value","Uttar Pradesh","India",TRUE
"9","Ghaziabad Mob Assaults Muslim for Registering Marriage With Hindu Woman
*The Wire Staff*
Attack by right-wing goons  ","2018-07-25 08:05:38","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",FALSE
"10","Delhi-Haryana-Chandigarh or Uttar Pradesh, we can get you the best properties through bank auctions.  ","2018-07-24 07:45:10","FALSE","0","1","1","Real Estate Value","Uttar Pradesh","India",FALSE
"11","         -     ","2018-07-24 07:04:00","FALSE","0","0","1","Real Estate Value","Uttar Pradesh","India",FALSE
"12","  ,      ,        ","2018-07-23 12:30:06","FALSE","0","0","-2","Real Estate Value","Uttar Pradesh","India",FALSE
"13","Nataraj Sarovar Portico Jhansi, Sarovar Hotels &amp; Resorts latest property in Jhansi, is set to strengthen the grou  ","2018-07-23 12:30:06","FALSE","0","1","1","Real Estate Value","Uttar Pradesh","India",FALSE
"14"," :       ,      ","2018-07-23 08:30:07","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",FALSE
"15","   :      ,           ","2018-07-23 06:12:46","FALSE","0","0","1","Real Estate Value","Uttar Pradesh","India",FALSE
"16","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 15:25:40","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",FALSE
"17","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 12:01:14","TRUE","13","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"18","48        ,        - Amarujala  ","2018-07-22 07:20:33","FALSE","0","0","1","Real Estate Value","Uttar Pradesh","India",FALSE
"19","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 05:24:31","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"20","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 05:21:55","TRUE","13","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"21","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 03:41:23","TRUE","13","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"22","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 02:58:35","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"23","RT @TheHaryanavi: @ImplicatedH @VikramArora20 @rashtrapatibhvn @narendramodi @PMOIndia @HMOIndia @OfficeOfRSP @rsprasad @DeepikaBhardwaj @t","2018-07-22 02:58:33","TRUE","4","0","0","Real Estate Value","Uttar Pradesh","India",FALSE
"24","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 01:32:17","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"25","1 killed, 3 injured as armed assailants fire on property dealer's car in UP..  ","2018-07-21 21:02:10","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",FALSE
"26",". ","2018-07-21 18:21:38","FALSE","0","3","0","Real Estate Value","Uttar Pradesh","India",FALSE
"27","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-21 16:48:42","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"28","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-21 12:46:03","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"29","RT @TheHaryanavi: @ImplicatedH @VikramArora20 @rashtrapatibhvn @narendramodi @PMOIndia @HMOIndia @OfficeOfRSP @rsprasad @DeepikaBhardwaj @t","2018-07-21 12:26:54","TRUE","4","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"30","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-21 12:21:28","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"31","RT @TheHaryanavi: @ImplicatedH @VikramArora20 @rashtrapatibhvn @narendramodi @PMOIndia @HMOIndia @OfficeOfRSP @rsprasad @DeepikaBhardwaj @t","2018-07-21 12:21:23","TRUE","4","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"32","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-21 12:18:53","TRUE","13","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"33","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-21 11:27:17","TRUE","13","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"34","RT @TheHaryanavi: @ImplicatedH @VikramArora20 @rashtrapatibhvn @narendramodi @PMOIndia @HMOIndia @OfficeOfRSP @rsprasad @DeepikaBhardwaj @t","2018-07-21 11:24:14","TRUE","4","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"35","ShaatirBahu

     ,          ","2018-07-21 11:00:01","FALSE","13","5","0","Real Estate Value","Uttar Pradesh","India",FALSE
"36","@ImplicatedH @VikramArora20 @rashtrapatibhvn @narendramodi @PMOIndia @HMOIndia @OfficeOfRSP @rsprasad  ","2018-07-21 10:59:33","FALSE","4","2","1","Real Estate Value","Uttar Pradesh","India",FALSE
"37","    ,      ","2018-07-20 08:30:05","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",FALSE
"38","@shahid_siddiqui This must be made clear to the people of Uttar Pradesh. Because it's not their personal property.  ","2018-07-29 08:06:16","FALSE","0","0","-2","Real Estate Value","Uttar Pradesh","India",TRUE
"39","@RubikaLiyaquat  mam mera bhanja Pankaj Phatak gram naktapur tahsil inthyathok jilla Gonda Uttar Pradesh karahnewal  ","2018-07-28 08:42:38","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"40","RT @InsaafNGO:       ,     ...@narendramodisir give death penalty for FakeCases 

Male","2018-07-27 11:02:50","TRUE","63","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"41","RT @tarunagra1984: :           ","2018-07-25 10:09:42","TRUE","1","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"42",":           ","2018-07-25 10:05:50","FALSE","1","5","0","Real Estate Value","Uttar Pradesh","India",TRUE
"43","RT @WeUttarPradesh: Jaunpur :          . @jaunpurpolice @Uppolice @anupmajaisbjp @CMOffic","2018-07-25 10:05:02","TRUE","1","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"44","Jaunpur :          . @jaunpurpolice @Uppolice @anupmajaisbjp  ","2018-07-25 09:50:24","FALSE","0","0","-1","Real Estate Value","Uttar Pradesh","India",TRUE
"45","Jaunpur :          . @jaunpurpolice @Uppolice @anupmajaisbjp  ","2018-07-25 09:47:08","FALSE","1","9","0","Real Estate Value","Uttar Pradesh","India",TRUE
"46","Ghaziabad Mob Assaults Muslim for Registering Marriage With Hindu Woman
*The Wire Staff*
Attack by right-wing goons  ","2018-07-25 08:05:38","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"47","Delhi-Haryana-Chandigarh or Uttar Pradesh, we can get you the best properties through bank auctions.  ","2018-07-24 07:45:10","FALSE","0","1","0","Real Estate Value","Uttar Pradesh","India",TRUE
"48","         -     ","2018-07-24 07:04:00","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"49","  ,      ,        ","2018-07-23 12:30:06","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"50","Nataraj Sarovar Portico Jhansi, Sarovar Hotels &amp; Resorts latest property in Jhansi, is set to strengthen the grou  ","2018-07-23 12:30:06","FALSE","0","1","0","Real Estate Value","Uttar Pradesh","India",TRUE
"51"," :       ,      ","2018-07-23 08:30:07","FALSE","0","0","0","Real Estate Value","Uttar Pradesh","India",TRUE
"52","   :      ,           ","2018-07-23 06:12:46","FALSE","0","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
"53","RT @TheHaryanavi: ShaatirBahu

     ,          ","2018-07-22 15:25:40","TRUE","13","0","1","Real Estate Value","Uttar Pradesh","India",TRUE
