"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @4piyush: 50-year-old Karimul Haque is the Bike-Ambulance-Dada for the people of Dhalabari Village in Jalpaiguri district of West Beng","2018-07-26 00:13:11","TRUE","1","0","-1","Real Estate Value","West Bengal","India",FALSE
"2","@bajajsubir 

It is a surprised matter to the Gov.of India that without calling any tender how Defense Estate offic  ","2018-07-25 15:21:42","FALSE","0","0","-1","Real Estate Value","West Bengal","India",FALSE
"3","Nothing less than central RERA acceptable, West Bengal39;s HIRA can make RERA redundant, say homebuyers..  ","2018-07-23 09:29:51","FALSE","0","0","-1","Real Estate Value","West Bengal","India",FALSE
"4","RT @surbhiprasad4: @FightForRERAInd @abhaykol says West Bengal coming up with its own real estate rules HIRA, will make RERA redundant.  ","2018-07-22 18:24:06","TRUE","5","0","0","Real Estate Value","West Bengal","India",FALSE
"5","RT @dipakdashTOI: Homebuyers associations demand West Bengal to repeal its own real estate regulation law like Maharashtra and Kerala have","2018-07-22 16:52:30","TRUE","12","0","-1","Real Estate Value","West Bengal","India",FALSE
"6","Uncertainty looms over Bengal's long-awaited homebuyer-friendly real estate law, with the Centre raising questions  ","2018-07-22 08:05:03","FALSE","0","1","3","Real Estate Value","West Bengal","India",FALSE
"7","RT @DebashishHiTs: @hariomardbeg @BJP4India @DilipGhoshBJP @SuPriyoBabul @RoopaSpeaks @KailashOnline @AmitShah @me_locket @mssirsa @amitmal","2018-07-21 22:07:05","TRUE","11","0","1","Real Estate Value","West Bengal","India",FALSE
"8","RT @dipakdashTOI: Homebuyers associations demand West Bengal to repeal its own real estate regulation law like Maharashtra and Kerala have","2018-07-21 19:43:32","TRUE","12","0","1","Real Estate Value","West Bengal","India",TRUE
"9","RT @DebashishHiTs: @hariomardbeg @BJP4India @DilipGhoshBJP @SuPriyoBabul @RoopaSpeaks @KailashOnline @AmitShah @me_locket @mssirsa @amitmal","2018-07-21 09:35:11","TRUE","11","0","0","Real Estate Value","West Bengal","India",TRUE
"10","RT @DebashishHiTs: @hariomardbeg @BJP4India @DilipGhoshBJP @SuPriyoBabul @RoopaSpeaks @KailashOnline @AmitShah @me_locket @mssirsa @amitmal","2018-07-21 09:30:15","TRUE","11","0","1","Real Estate Value","West Bengal","India",TRUE
