"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ripunbora: Latest order of Home Ministry - allowing Pan Card, Aadhar Card and right to buy Property to the Persons coming from Pakistan","2018-07-27 05:49:14","TRUE","20","0","0","Real State Value","Assam","India",FALSE
"2",".@SaikiaPranjit @DY365 @NRCupdateAssam NRC Assam Drishtipat PLEASE DO NOT DELETE ALL NON-HINDUS FROM INDIA'S CIT  ","2018-07-23 15:22:24","FALSE","0","1","0","Real State Value","Assam","India",FALSE
"3","@narendramodi Sir, Kindly applaud teachers of MCD college, Sonai, Cachar, Assam (1)Sabbir Ahmed Choudhury for prese  ","2018-07-22 05:53:39","FALSE","0","0","2","Real State Value","Assam","India",FALSE
"4","RT @ripunbora: Latest order of Home Ministry - allowing Pan Card, Aadhar Card and right to buy Property to the Persons coming from Pakistan","2018-07-21 14:16:21","TRUE","20","0","0","Real State Value","Assam","India",TRUE
"5","RT @ripunbora: Latest order of Home Ministry - allowing Pan Card, Aadhar Card and right to buy Property to the Persons coming from Pakistan","2018-07-20 08:09:22","TRUE","20","0","0","Real State Value","Assam","India",TRUE
"6","@Natrani @ReallySwara @himantabiswa @SushmaSwaraj @antonioguterres @UN @NRCupdateAssam Assam is a place of lakhs of  ","2018-07-20 05:11:30","FALSE","0","0","0","Real State Value","Assam","India",FALSE
"7","RT @Aapteam2: A poor grl frm ASSAM with brain cancer don't get release by Vaidehi_hospital just for 15k rs, although they pay more than 3/","2018-07-20 04:09:51","TRUE","20","0","-2","Real State Value","Assam","India",FALSE
"8","RT @ripunbora: Latest order of Home Ministry - allowing Pan Card, Aadhar Card and right to buy Property to the Persons coming from Pakistan","2018-07-19 15:21:35","TRUE","20","0","0","Real State Value","Assam","India",TRUE
"9","Hindu B'deshi allowed and can buy property.. Do that Meghalaya and Mizoram if you have the guts. Assam is easy, sad  ","2018-07-19 14:49:45","FALSE","0","0","0","Real State Value","Assam","India",FALSE
"10","RT @Aapteam2: A poor grl frm ASSAM with brain cancer don't get release by Vaidehi_hospital just for 15k rs, although they pay more than 3/","2018-07-19 14:17:36","TRUE","20","0","-2","Real State Value","Assam","India",TRUE
