"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@rockyandmayur Chung Fa ( only for food, terrible decor)
Peshawari 
Parallel 22
Azure
Old School has a multi-cuisin  ","2018-07-28 17:39:00","FALSE","0","1","-1","Food","Gujarat","India",FALSE
"2","@meshivamahuja Go to Gujarat Bhavan Restaurant at Chanakypuri..You will get theplas there","2018-07-27 17:19:24","FALSE","0","2","0","Food","Gujarat","India",FALSE
"3","RT @ThyLyingLynx: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-27 06:27:48","TRUE","8","0","0","Food","Gujarat","India",FALSE
"4","Men will be Men (in Gujarat)
imperialblue @ Gloria The Restaurant &amp; Banquet  ","2018-07-27 05:41:45","FALSE","0","0","0","Food","Gujarat","India",FALSE
"5","@AhmedabadAMC @CMOGuj @MoHFW_GUJARAT @MoHFW_INDIA annakut restaurant situated on 100 ft ring road ,Prahladnagar Ahm  ","2018-07-26 10:33:07","FALSE","0","0","0","Food","Gujarat","India",FALSE
"6","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 08:57:00","TRUE","8","0","0","Food","Gujarat","India",FALSE
"7","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 08:13:54","TRUE","8","0","0","Food","Gujarat","India",TRUE
"8","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 07:23:16","TRUE","8","0","0","Food","Gujarat","India",TRUE
"9","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 07:16:35","TRUE","8","0","0","Food","Gujarat","India",TRUE
"10","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 06:53:58","TRUE","8","0","0","Food","Gujarat","India",TRUE
"11","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 06:46:29","TRUE","8","0","0","Food","Gujarat","India",TRUE
"12","RT @crypticwolff: Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions on a","2018-07-26 06:34:53","TRUE","8","0","0","Food","Gujarat","India",TRUE
"13","Next time someone comes up with a statement Gujarat model
Ask them to take you to
1. Any to any tourist attractions  ","2018-07-26 06:29:38","FALSE","8","16","0","Food","Gujarat","India",FALSE
"14","Indulge in exquisite meals and enticing beverages in Blue Coriander Restaurant at @Lordsbhavnagar
Book your table n  ","2018-07-26 03:30:00","FALSE","0","1","1","Food","Gujarat","India",FALSE
"15","Somnath Thal is a nice place to be with family and friends to enjoy best kathiyavadi food.

Address: G-12 devarum c  ","2018-07-25 09:09:36","FALSE","0","0","3","Food","Gujarat","India",FALSE
"16","         ?       ","2018-07-24 11:56:40","FALSE","1","3","0","Food","Gujarat","India",FALSE
"17","RT @shethricha: Visit our boutique and get your jewellery customized!
Venue :The imperial palace,besides courtyard restaurant 
Dr.Yagnik Ro","2018-07-23 16:04:52","TRUE","1","0","0","Food","Gujarat","India",FALSE
"18","Visit our boutique and get your jewellery customized!
Venue :The imperial palace,besides courtyard restaurant 
Dr.Y  ","2018-07-23 11:07:10","FALSE","1","3","0","Food","Gujarat","India",FALSE
"19","    

Somnath Thal
Address: G-12 devarum complex Anandnagar cross road Prahladnagar, Ah  ","2018-07-23 08:18:48","FALSE","0","0","-1","Food","Gujarat","India",FALSE
"20","Fastest growing hygienic chinese restaurant chain spreading wings in Gujarat &amp; Maharashtra. For free home delivery,  ","2018-07-23 08:09:37","FALSE","0","0","2","Food","Gujarat","India",FALSE
"21","Fastest growing hygienic chinese restaurant chain spreading wings in Gujarat &amp; Maharashtra. For free home delivery,  ","2018-07-23 08:09:14","FALSE","0","0","2","Food","Gujarat","India",TRUE
"22","Fastest growing hygienic chinese restaurant chain spreading wings in Gujarat &amp; Maharashtra. For free home delivery,  ","2018-07-23 08:08:48","FALSE","0","0","2","Food","Gujarat","India",TRUE
"23","Fastest growing hygienic chinese restaurant chain spreading wings in Gujarat &amp; Maharashtra. For free home delivery,  ","2018-07-23 08:08:13","FALSE","0","0","2","Food","Gujarat","India",TRUE
