"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Ladies n gentlemen please raise your glasses and join us in a toast - Long may mangaloreans love for ghee roast las  ","2018-07-28 06:33:43","FALSE","0","0","1","Food","Karnataka","India",FALSE
"2","@sagarikaghose Hmmm your hubby has done same thing to Karnataka guy who protest him in restaurant","2018-07-28 03:50:59","FALSE","0","0","-1","Food","Karnataka","India",FALSE
"3","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-27 10:08:28","FALSE","0","0","1","Food","Karnataka","India",FALSE
"4","@vjjan91 @gauravsabnis Soon as you agree to drop out and start a Michelin starred, gourmet Karnataka cuisine restau  ","2018-07-27 05:04:38","FALSE","1","3","0","Food","Karnataka","India",FALSE
"5","RT @Aaswadaa: Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar , Gachibo","2018-07-26 09:20:59","TRUE","1","0","1","Food","Karnataka","India",FALSE
"6","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-26 09:07:30","FALSE","1","0","1","Food","Karnataka","India",TRUE
"7","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-25 09:33:20","TRUE","15","0","-1","Food","Karnataka","India",FALSE
"8","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-25 06:33:37","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"9","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-25 06:16:04","FALSE","0","0","1","Food","Karnataka","India",TRUE
"10","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 23:26:55","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"11","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 19:47:09","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"12","Waiter said,Mutton Varuval try karo Butter Chicken bhul jaoge Challenge Accepted (@ Empire Restaurant - Bellandur  ","2018-07-24 18:17:06","FALSE","0","0","0","Food","Karnataka","India",FALSE
"13","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 17:11:12","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"14","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 16:12:45","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"15","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 13:35:41","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"16","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 13:11:02","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"17","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 13:10:05","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"18","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 12:54:40","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"19","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 12:44:26","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"20","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 12:42:00","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"21","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 12:41:38","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"22","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 12:41:23","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"23","RT @churumuri: Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing politics","2018-07-24 10:03:18","TRUE","15","0","-1","Food","Karnataka","India",TRUE
"24","Eating a Mysore Masala Dosa is a deadly serious business. A restaurant in Mysore bars customers from discussing  ","2018-07-24 10:00:34","FALSE","15","53","-1","Food","Karnataka","India",FALSE
"25","RT @Aaswadaa: Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar , Gachibo","2018-07-24 08:15:35","TRUE","1","0","1","Food","Karnataka","India",TRUE
"26","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-24 00:49:46","TRUE","7","0","-2","Food","Karnataka","India",FALSE
"27","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-23 17:15:07","TRUE","7","0","-2","Food","Karnataka","India",TRUE
"28","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-23 14:45:42","TRUE","7","0","-2","Food","Karnataka","India",TRUE
"29","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-23 14:24:35","TRUE","7","0","-2","Food","Karnataka","India",TRUE
"30","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-23 12:50:16","TRUE","7","0","-2","Food","Karnataka","India",TRUE
"31","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-23 12:44:27","TRUE","7","0","-2","Food","Karnataka","India",TRUE
"32","RT @avarakai: This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have such a pl","2018-07-23 12:43:29","TRUE","7","0","-2","Food","Karnataka","India",TRUE
"33","This Kamat Upachar has the worst toilet ever seen. Avoid &amp; save yourselves from diseases. Its a health risk to have  ","2018-07-23 12:42:22","FALSE","7","13","-2","Food","Karnataka","India",FALSE
"34","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-23 11:26:29","FALSE","1","1","1","Food","Karnataka","India",TRUE
"35","I'm at Adigas Veg Restaurant in bangalore, karnataka  ","2018-07-22 17:21:49","FALSE","0","0","0","Food","Karnataka","India",FALSE
"36","@AboutIndia This restaurant would have been a perfect fit in this list - well researched authentic food from all ov  ","2018-07-22 01:59:11","FALSE","0","3","3","Food","Karnataka","India",FALSE
"37"," :   -Vijaya Karnataka  ","2018-07-21 19:26:25","FALSE","0","0","0","Food","Karnataka","India",FALSE
"38","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-20 09:09:04","FALSE","0","0","1","Food","Karnataka","India",TRUE
"39","RT @Aaswadaa: Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar , Gachibo","2018-07-20 06:50:36","TRUE","1","0","1","Food","Karnataka","India",TRUE
"40","geetha bhavan, good restaurant once owned by karnataka migrant used to maintain the best quality in his term around  ","2018-07-19 15:35:07","FALSE","0","0","2","Food","Karnataka","India",FALSE
"41","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-19 09:21:23","FALSE","1","1","1","Food","Karnataka","India",TRUE
"42","Had idli dosa and coffee in different parts of India..but no state manages the taste of all these like  ","2018-07-19 06:45:04","FALSE","0","1","1","Food","Karnataka","India",FALSE
"43","Checking out another new place (@ aurfila restaurant - @aurfilarestrnt in Mangalore, Karntaka)  ","2018-07-18 15:17:53","FALSE","0","0","0","Food","Karnataka","India",FALSE
