"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Homeofspices1: Kerala cashews from land of spices and nuts.  ","2018-07-29 08:17:54","TRUE","1","0","-1","Food","Kerala","India",FALSE
"2","Kerala cashews from land of spices and nuts.  ","2018-07-29 08:15:12","FALSE","1","2","-1","Food","Kerala","India",FALSE
"3","RT @thejgold: Mayura surprisingly good, especially Kerala-style dishes. RT @EvaBehrend favorite Indian restaurant in Los Angeles?","2018-07-28 18:56:46","TRUE","6","0","-1","Food","Kerala","India",FALSE
"4","RT @shabeebrehman_c: Chelari India ig_india insta_india Kerala people portrait restaurant group food  ","2018-07-28 10:35:44","FALSE","0","0","0","Food","Kerala","India",FALSE
"5","Chelari India ig_india insta_india Kerala people portrait restaurant group food foodporn foodie  ","2018-07-28 09:20:26","FALSE","0","0","-1","Food","Kerala","India",FALSE
"6","@Indianrlyinfo A 20 year old 'swanky' DEMU is coming to Kerala to restore ERS CHTS route; that could be considered a mobile restaurant!!","2018-07-28 02:14:50","FALSE","0","1","3","Food","Kerala","India",FALSE
"7","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-27 10:08:28","FALSE","0","0","1","Food","Kerala","India",FALSE
"8","Maggi Dosa to Puttu Kadala : Mallu Couple's Kerala Konnect  restaurant  ","2018-07-27 05:39:06","FALSE","0","1","1","Food","Kerala","India",FALSE
"9","@SatishAnna2 @MasalaBai Lelo kya loge Goa Kerala Coimbatore north east we all eat sumptuous beef dishes balls to u  ","2018-07-27 03:15:46","FALSE","0","0","0","Food","Kerala","India",FALSE
"10","Maggi Dosa to Puttu Kadala : Mallu Couple's Kerala Konnect  restaurant  ","2018-07-26 17:20:38","FALSE","0","0","1","Food","Kerala","India",TRUE
"11","RT @MumbaiMirror: Do you eat for your heart? This Syrian Christian food festival in Mumbai is just for you! Go!! Check it out:  ","2018-07-26 14:21:28","TRUE","5","0","1","Food","Kerala","India",FALSE
"12","RT @MumbaiMirror: Do you eat for your heart? This Syrian Christian food festival in Mumbai is just for you! Go!! Check it out:  ","2018-07-26 12:14:24","TRUE","5","0","-2","Food","Kerala","India",TRUE
"13","RT @MumbaiMirror: Do you eat for your heart? This Syrian Christian food festival in Mumbai is just for you! Go!! Check it out:  ","2018-07-26 09:40:57","TRUE","5","0","1","Food","Kerala","India",TRUE
