"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @TimesandTech: [BUSTED] Synthetic milk racket uncovered in Morena, Madhya Pradesh, report @EconomicTimes. @BeveragesFood @myGFSI @FoodBe","2018-07-27 23:20:42","TRUE","8","0","-1","Food","Madhya Pradesh","India",FALSE
"2","             ","2018-07-27 11:37:00","FALSE","0","0","-1","Food","Madhya Pradesh","India",FALSE
"3","  :         55   
 ","2018-07-27 10:06:12","FALSE","0","0","-1","Food","Madhya Pradesh","India",FALSE
"4","RT @digvijaya_28:   -        ,      via @nc24x7  ","2018-07-27 08:01:01","TRUE","34","0","0","Food","Madhya Pradesh","India",FALSE
"5","RT @NGTIndia: Sponsored: Madhya Pradesh's capital boasts of a delicious food culture. MagnificentMP

 ","2018-07-27 03:45:21","TRUE","15","0","-1","Food","Madhya Pradesh","India",FALSE
"6","RT @Imdineshpurohit:   -        ,      via @nc24x7  ","2018-07-26 12:31:43","TRUE","6","0","3","Food","Madhya Pradesh","India",FALSE
"7","RT @NGTIndia: Sponsored: Madhya Pradesh's capital boasts of a delicious food culture. MagnificentMP

 ","2018-07-26 08:33:25","TRUE","15","0","1","Food","Madhya Pradesh","India",TRUE
"8","RT @NGTIndia: Sponsored: Madhya Pradesh's capital boasts of a delicious food culture. MagnificentMP

 ","2018-07-26 06:12:23","TRUE","15","0","1","Food","Madhya Pradesh","India",TRUE
"9","RT @dilipjain1979: Food Trail in Madhya Pradesh: 25 Must-Have Treats 

IncredibleIndia @MPTourism 
 ","2018-07-26 05:01:22","TRUE","3","0","0","Food","Madhya Pradesh","India",FALSE
"10","RT @dilipjain1979: Food Trail in Madhya Pradesh: 25 Must-Have Treats 

IncredibleIndia @MPTourism 
 ","2018-07-26 04:56:48","TRUE","3","0","1","Food","Madhya Pradesh","India",TRUE
"11","Food Trail in Madhya Pradesh: 25 Must-Have Treats 

IncredibleIndia @MPTourism 
 ","2018-07-26 04:52:31","FALSE","3","4","1","Food","Madhya Pradesh","India",FALSE
"12","RT @NGTIndia: Sponsored: Madhya Pradesh's capital boasts of a delicious food culture. MagnificentMP

 ","2018-07-26 04:19:41","TRUE","15","0","-2","Food","Madhya Pradesh","India",TRUE
"13","RT @NGTIndia: Sponsored: Madhya Pradesh's capital boasts of a delicious food culture. MagnificentMP

 ","2018-07-26 03:30:44","TRUE","15","0","1","Food","Madhya Pradesh","India",TRUE
"14","RT @digvijaya_28:   -        ,      via @nc24x7  ","2018-07-26 00:47:05","TRUE","34","0","0","Food","Madhya Pradesh","India",TRUE
"15","RT @digvijaya_28:   -        ,      via @nc24x7  ","2018-07-26 00:24:39","TRUE","34","0","1","Food","Madhya Pradesh","India",TRUE
"16","RT @digvijaya_28:   -        ,      via @nc24x7  ","2018-07-25 22:22:22","TRUE","34","0","1","Food","Madhya Pradesh","India",TRUE
"17","RT @Imdineshpurohit:   -        ,      via @nc24x7  ","2018-07-25 21:48:23","TRUE","6","0","0","Food","Madhya Pradesh","India",TRUE
"18","RT @digvijaya_28:   -        ,      via @nc24x7  ","2018-07-25 16:11:10","TRUE","34","0","1","Food","Madhya Pradesh","India",TRUE
"19","RT @digvijaya_28:   -        ,      via @nc24x7  ","2018-07-25 15:07:44","TRUE","34","0","1","Food","Madhya Pradesh","India",TRUE
