"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @dpradhanbjp: Also discussed on utilisation of damaged &amp; surplus food grains specially broken rice in Punjab under Biofuel Policy-2018.","2018-07-29 12:00:01","TRUE","27","0","-1","Food","Punjab","India",FALSE
"2","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 11:45:49","TRUE","5","0","-1","Food","Punjab","India",FALSE
"3","RT @HTPunjab: Two food delivery men nab robber, save victim in Chandigarh
 ","2018-07-29 11:36:49","TRUE","1","0","-1","Food","Punjab","India",FALSE
"4","@_anujsinghal There is another Tal known as Damyanti tal, there is large fish tank nearby , the fish crowd around t  ","2018-07-29 11:23:31","FALSE","0","0","0","Food","Punjab","India",FALSE
"5","RT @dpradhanbjp: Also discussed on utilisation of damaged &amp; surplus food grains specially broken rice in Punjab under Biofuel Policy-2018.","2018-07-29 11:09:29","TRUE","27","0","-1","Food","Punjab","India",TRUE
"6","                        ","2018-07-29 11:02:24","FALSE","0","0","3","Food","Punjab","India",FALSE
"7","Roots and spices: A saga of Punjabs food and culture | The Indian Express  ","2018-07-29 10:55:02","FALSE","0","0","1","Food","Punjab","India",FALSE
"8","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 10:40:21","TRUE","5","0","1","Food","Punjab","India",TRUE
"9","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 10:39:00","TRUE","5","0","0","Food","Punjab","India",TRUE
"10","RT @dpradhanbjp: Also discussed on utilisation of damaged &amp; surplus food grains specially broken rice in Punjab under Biofuel Policy-2018.","2018-07-29 09:58:48","TRUE","27","0","1","Food","Punjab","India",TRUE
"11","RT @dpradhanbjp: Also discussed on utilisation of damaged &amp; surplus food grains specially broken rice in Punjab under Biofuel Policy-2018.","2018-07-29 09:45:04","TRUE","27","0","1","Food","Punjab","India",TRUE
"12","RT @IndianExpress: SundayEYE | Food is the centrepiece of any journey that you associate with Punjab. It is a saga of Punjabs culture, he","2018-07-29 09:40:18","TRUE","8","0","-2","Food","Punjab","India",FALSE
"13"," !!      .    

Food pakistan Punjab  ","2018-07-29 09:23:00","FALSE","0","2","1","Food","Punjab","India",FALSE
"14","RT @IndianExpress: SundayEYE | Food is the centrepiece of any journey that you associate with Punjab. It is a saga of Punjabs culture, he","2018-07-29 09:18:06","TRUE","8","0","0","Food","Punjab","India",TRUE
"15","Here's some food for thought this lazy Sunday. 
Are we really what we eat ? 
Let's hear from you in the comments be  ","2018-07-29 09:02:12","FALSE","0","1","1","Food","Punjab","India",FALSE
"16","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 09:00:36","TRUE","5","0","1","Food","Punjab","India",TRUE
"17","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 08:58:41","TRUE","5","0","0","Food","Punjab","India",TRUE
"18","I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer.  ","2018-07-29 08:57:42","FALSE","5","8","1","Food","Punjab","India",FALSE
"19","@CMShehbaz What about legal right of each Pakistani.were u able to provide free health education job security clean  ","2018-07-29 08:32:10","FALSE","0","0","1","Food","Punjab","India",FALSE
"20","RT @IndianExpress: SundayEYE | Food is the centrepiece of any journey that you associate with Punjab. It is a saga of Punjabs culture, he","2018-07-29 08:02:04","TRUE","8","0","0","Food","Punjab","India",TRUE
"21","RT @dpradhanbjp: Also discussed on utilisation of damaged &amp; surplus food grains specially broken rice in Punjab under Biofuel Policy-2018.","2018-07-29 07:32:58","TRUE","27","0","0","Food","Punjab","India",TRUE
"22","Finding Punjabs food history, beyond the stereotypes. Food is the centrepiece of any journey that you associate wi  ","2018-07-29 06:38:39","FALSE","0","5","1","Food","Punjab","India",FALSE
"23","RT @CSEINDIA: CSE tested 64 processed food products bought from retail stores in Delhi-NCR, Punjab and Gujarat and one sample of crude cott","2018-07-29 05:08:08","TRUE","12","0","0","Food","Punjab","India",FALSE
