"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @AbolsITSol: Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food  ","2018-07-29 11:23:38","TRUE","3","0","-1","Food","Rajasthan","India",FALSE
"2","RT @AbolsITSol: Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food  ","2018-07-29 11:21:12","TRUE","3","0","-1","Food","Rajasthan","India",TRUE
"3","RT @1stIndiaNews: Rajasthan : dholpur        7     ","2018-07-29 11:02:29","TRUE","11","0","-1","Food","Rajasthan","India",FALSE
"4","RT @e_rajasthan: maheshwari wedding rituals  ","2018-07-29 10:00:34","TRUE","3","0","0","Food","Rajasthan","India",FALSE
"5","RT @e_rajasthan: Marwari Wedding Rituals    ","2018-07-29 10:00:31","TRUE","2","0","-1","Food","Rajasthan","India",FALSE
"6","RT @e_rajasthan: All About Royal Weddings in Rajasthan 
Marwari Wedding Rituals    ","2018-07-29 10:00:28","TRUE","5","0","3","Food","Rajasthan","India",FALSE
"7","RT @AbolsITSol: Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food  ","2018-07-29 10:00:05","TRUE","3","0","1","Food","Rajasthan","India",TRUE
"8","RT @1stIndiaNews: Rajasthan : dholpur        7     ","2018-07-29 09:59:51","TRUE","11","0","1","Food","Rajasthan","India",TRUE
"9","RT @SanrachnaSagar: The Very Graceful and Charming... Meena Kumari !

SanrachnSagar SanrachnaKnowlwdge BlogyWood MadhuriDixit blog He","2018-07-29 09:51:20","TRUE","3","0","0","Food","Rajasthan","India",FALSE
"10","RT @SanrachnaSagar: The Very Graceful and Charming... Meena Kumari !

SanrachnSagar SanrachnaKnowlwdge BlogyWood MadhuriDixit blog He","2018-07-29 09:50:44","TRUE","3","0","1","Food","Rajasthan","India",TRUE
"11","RT @SanrachnaSagar: The Very Graceful and Charming... Meena Kumari !

SanrachnSagar SanrachnaKnowlwdge BlogyWood MadhuriDixit blog He","2018-07-29 09:44:36","TRUE","3","0","1","Food","Rajasthan","India",TRUE
"12","The Very Graceful and Charming... Meena Kumari !

SanrachnSagar SanrachnaKnowlwdge BlogyWood MadhuriDixit blog  ","2018-07-29 09:44:20","FALSE","3","5","-2","Food","Rajasthan","India",FALSE
"13","RT @e_rajasthan: All About Royal Weddings in Rajasthan 
Marwari Wedding Rituals    ","2018-07-29 09:30:17","TRUE","5","0","1","Food","Rajasthan","India",TRUE
"14","RT @e_rajasthan: Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food |  ","2018-07-29 09:27:07","TRUE","3","0","0","Food","Rajasthan","India",FALSE
"15","Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food  ","2018-07-29 08:08:28","FALSE","3","3","1","Food","Rajasthan","India",FALSE
"16","The smile on my face had 2 reasons: I &lt;3 Rajasthani food and today, Chairman of ITC, Y C Deveswar spoke on televisi  ","2018-07-29 08:04:27","FALSE","0","1","1","Food","Rajasthan","India",FALSE
"17","RT @e_rajasthan: All About Royal Weddings in Rajasthan 
Marwari Wedding Rituals    ","2018-07-29 08:03:28","TRUE","5","0","0","Food","Rajasthan","India",TRUE
"18","RT @ashokgehlot51: People stuck in waters must be evacuated. Areas that are cut off, arrangements should be made to provide food n medicine","2018-07-29 07:52:37","TRUE","155","0","1","Food","Rajasthan","India",FALSE
"19","RT @ashokgehlot51: People stuck in waters must be evacuated. Areas that are cut off, arrangements should be made to provide food n medicine","2018-07-29 07:41:08","TRUE","155","0","1","Food","Rajasthan","India",TRUE
"20","RT @e_rajasthan: Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food |  ","2018-07-29 07:22:37","TRUE","3","0","0","Food","Rajasthan","India",TRUE
"21","RT @e_rajasthan: marwari agarwal wedding rituals  ","2018-07-29 07:22:29","TRUE","1","0","0","Food","Rajasthan","India",FALSE
"22","RT @e_rajasthan: marwari jain wedding rituals  ","2018-07-29 07:22:25","TRUE","1","0","1","Food","Rajasthan","India",FALSE
"23","RT @e_rajasthan: rajasthan marriage culture  ","2018-07-29 07:22:20","TRUE","1","0","0","Food","Rajasthan","India",FALSE
"24","RT @e_rajasthan: rajasthani marriage dress  ","2018-07-29 07:22:16","TRUE","1","0","1","Food","Rajasthan","India",FALSE
"25","RT @e_rajasthan: maheshwari wedding rituals  ","2018-07-29 07:22:12","TRUE","3","0","0","Food","Rajasthan","India",TRUE
"26","RT @e_rajasthan: Marwari Wedding Rituals    ","2018-07-29 07:22:09","TRUE","2","0","0","Food","Rajasthan","India",TRUE
"27","RT @e_rajasthan: All About Royal Weddings in Rajasthan 
Marwari Wedding Rituals    ","2018-07-29 07:22:04","TRUE","5","0","1","Food","Rajasthan","India",TRUE
"28","All About Royal Weddings in Rajasthan 
Marwari Wedding Rituals    ","2018-07-29 07:12:36","FALSE","5","5","1","Food","Rajasthan","India",FALSE
"29","Marwari Wedding Rituals    ","2018-07-29 07:12:26","FALSE","2","4","1","Food","Rajasthan","India",FALSE
"30","maheshwari wedding rituals  ","2018-07-29 07:12:06","FALSE","3","3","1","Food","Rajasthan","India",FALSE
"31","rajasthani marriage dress  ","2018-07-29 07:11:52","FALSE","1","3","1","Food","Rajasthan","India",FALSE
"32","rajasthan marriage culture  ","2018-07-29 07:11:41","FALSE","1","4","0","Food","Rajasthan","India",FALSE
"33","marwari jain wedding rituals  ","2018-07-29 07:11:29","FALSE","1","3","0","Food","Rajasthan","India",FALSE
"34","marwari agarwal wedding rituals  ","2018-07-29 07:11:08","FALSE","1","3","0","Food","Rajasthan","India",FALSE
"35","RT @e_rajasthan: Rajasthani Marwari Wedding - Rituals, Traditions, Dress, Food |  ","2018-07-29 07:08:34","TRUE","3","0","0","Food","Rajasthan","India",TRUE
