"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @InvestInUp: Uttar Pradesh is the largest producer of food grains and Milk Producing State in India and offers various investment opport","2018-07-29 15:08:09","TRUE","15","0","-1","Food","Uttar Pradesh","India",FALSE
"2","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:43:35","TRUE","24","0","-1","Food","Uttar Pradesh","India",FALSE
"3","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:41:33","TRUE","24","0","-1","Food","Uttar Pradesh","India",TRUE
"4","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:18:26","TRUE","24","0","0","Food","Uttar Pradesh","India",TRUE
"5","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:16:32","TRUE","24","0","-1","Food","Uttar Pradesh","India",TRUE
"6","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:13:38","TRUE","24","0","3","Food","Uttar Pradesh","India",TRUE
"7","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:07:40","TRUE","24","0","1","Food","Uttar Pradesh","India",TRUE
"8","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:03:52","TRUE","24","0","1","Food","Uttar Pradesh","India",TRUE
"9","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:02:05","TRUE","24","0","0","Food","Uttar Pradesh","India",TRUE
"10","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-29 14:01:11","TRUE","24","0","1","Food","Uttar Pradesh","India",TRUE
"11","RT @travelxptamil: Indulge into new cuisine from the northern Indian state of Uttar Pradesh, Lucknow ruled by Nawabs and the food here is m","2018-07-29 11:47:33","TRUE","3","0","1","Food","Uttar Pradesh","India",FALSE
"12","RT @travelxptamil: Indulge into new cuisine from the northern Indian state of Uttar Pradesh, Lucknow ruled by Nawabs and the food here is m","2018-07-29 10:59:12","TRUE","3","0","-2","Food","Uttar Pradesh","India",TRUE
"13","RT @travelxptamil: Indulge into new cuisine from the northern Indian state of Uttar Pradesh, Lucknow ruled by Nawabs and the food here is m","2018-07-29 10:58:18","TRUE","3","0","1","Food","Uttar Pradesh","India",TRUE
"14","Indulge into new cuisine from the northern Indian state of Uttar Pradesh, Lucknow ruled by Nawabs and the food here  ","2018-07-29 10:00:00","FALSE","3","17","0","Food","Uttar Pradesh","India",FALSE
"15","Uttar Pradesh is the largest producer f food grains and Milk Producing State in India and offers various investment  ","2018-07-29 07:46:19","FALSE","0","2","1","Food","Uttar Pradesh","India",FALSE
"16","RT @InvestInUp: Uttar Pradesh is the largest producer of food grains and Milk Producing State in India and offers various investment opport","2018-07-29 05:24:06","TRUE","15","0","1","Food","Uttar Pradesh","India",TRUE
"17","RT @InvestInUp: Uttar Pradesh is the largest producer of food grains and Milk Producing State in India and offers various investment opport","2018-07-28 17:53:06","TRUE","15","0","0","Food","Uttar Pradesh","India",TRUE
"18","RT @India_Policy: Tagging Uttar Pradesh as a priority growth state, Walmart India said it expects to create at least 30,000 local jobs by s","2018-07-28 13:33:41","TRUE","24","0","1","Food","Uttar Pradesh","India",TRUE
"19","RT @c_aashish: Walmart plans to create 30,000 jobs in Uttar Pradesh -

 ","2018-07-28 12:39:00","TRUE","19","0","1","Food","Uttar Pradesh","India",FALSE
"20"," ","2018-07-28 10:40:12","FALSE","0","2","0","Food","Uttar Pradesh","India",FALSE
"21","RT @c_aashish: Walmart plans to create 30,000 jobs in Uttar Pradesh -

 ","2018-07-28 05:52:09","TRUE","19","0","0","Food","Uttar Pradesh","India",TRUE
