"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @sudhanshulalan: Hue and cry over beef is not about right to choice of food but @_sabanaqvi ,@RahulGandhi and Co. from Kerala and West B","2018-07-29 10:10:51","TRUE","1","0","-1","Food","West Bengal","India",FALSE
"2","Hue and cry over beef is not about right to choice of food but @_sabanaqvi ,@RahulGandhi and Co. from Kerala and We  ","2018-07-29 08:44:55","FALSE","1","0","-1","Food","West Bengal","India",FALSE
"3","Smile Education Consultancy Helpline 9903-033-033
4 Lake West Road,
Arambagh Food Mart Building (3rd Floor),
(Near  ","2018-07-29 06:37:37","FALSE","0","1","-1","Food","West Bengal","India",FALSE
"4","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 17:06:13","TRUE","8","0","0","Food","West Bengal","India",FALSE
"5","@Bhuvan_Bam @Mivi_Official  hi,  am from West Bengal..  My question is _ are u interested in bengali food? ASKBB5","2018-07-28 16:33:45","FALSE","0","0","-1","Food","West Bengal","India",FALSE
"6","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:55:37","TRUE","8","0","3","Food","West Bengal","India",TRUE
"7","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:42:53","TRUE","8","0","1","Food","West Bengal","India",TRUE
"8","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:30:32","TRUE","8","0","1","Food","West Bengal","India",TRUE
"9","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:30:15","TRUE","8","0","0","Food","West Bengal","India",TRUE
"10","RT @NH_India: The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and West Beng","2018-07-28 09:00:58","TRUE","8","0","1","Food","West Bengal","India",TRUE
"11","The building in Mandawali where the three girls were found dead is home to 14 migrant families from Bihar, UP and  ","2018-07-28 08:59:59","FALSE","8","17","1","Food","West Bengal","India",FALSE
"12"," ","2018-07-28 06:58:56","FALSE","0","1","-2","Food","West Bengal","India",FALSE
"13","3 piece Paratha with Curry Only 20 rs | Street Food Digha West Bengal:  ","2018-07-28 06:34:44","FALSE","0","0","1","Food","West Bengal","India",FALSE
"14","I added a video to a @YouTube playlist  ","2018-07-28 06:33:57","FALSE","0","0","0","Food","West Bengal","India",FALSE
"15","Typical Bengali Saturday breakfast! ~ Luchi - Aloor torkari , feat. bonde!  . . Here in West Bengal.. breakfast an  ","2018-07-28 03:54:52","FALSE","0","1","1","Food","West Bengal","India",FALSE
"16","Please take immediate step about hawker strike in sec v,salt lake, here lot of employee depends daily food on food  ","2018-07-27 09:13:34","FALSE","0","0","1","Food","West Bengal","India",FALSE
"17","west bengal health recruitment board food safety officer:  ","2018-07-27 06:29:32","FALSE","0","0","0","Food","West Bengal","India",FALSE
"18","@PiyushGoyal Thank You sir.... ! I reacently almost across 1/4 of India via indian railways...! WEST BENGAL ( Howra  ","2018-07-26 17:48:46","FALSE","0","0","1","Food","West Bengal","India",FALSE
"19","Food same , culture same , location same , people are also same , economic growth as it is cause mentality is not c  ","2018-07-26 12:40:21","FALSE","0","0","1","Food","West Bengal","India",FALSE
"20","Breakfast with Muri Ghugni | Street Food Digha Sea Beach West Bengal:  ","2018-07-26 08:39:57","FALSE","0","1","0","Food","West Bengal","India",FALSE
"21","I added a video to a @YouTube playlist  ","2018-07-26 08:39:29","FALSE","0","0","0","Food","West Bengal","India",TRUE
"22","WBHRB Food Safety Officer Admit Card 2018 West Bengal FSO Exam Date at  ","2018-07-25 10:21:10","FALSE","0","0","1","Food","West Bengal","India",FALSE
"23","WBHRB Food Safety Officer Admit Card 2018 West Bengal FSO Exam Date at  ","2018-07-25 10:20:49","FALSE","0","0","0","Food","West Bengal","India",TRUE
"24","@crimesofbrits @Anamcara2015 Winston was responsible for one the worst genocide in the world when he diverted food  ","2018-07-25 06:45:20","FALSE","0","0","1","Food","West Bengal","India",FALSE
