"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @martindotorg: organicfood Bid to bring healthy food within the reach of people  ","2018-07-28 11:31:00","TRUE","0","0","1","Food","Andhra Pradesh","India",FALSE
"2","RT @ncbn: Inaugurated the AnnaCanteen at Vidyadharapuram, Vijayawada. 100 Anna Canteens across 35 cities in Andhra Pradesh will provide ov","2018-07-28 11:09:19","TRUE","642","0","0","Food","Andhra Pradesh","India",FALSE
"3","RT @ncbn: Inaugurated the AnnaCanteen at Vidyadharapuram, Vijayawada. 100 Anna Canteens across 35 cities in Andhra Pradesh will provide ov","2018-07-28 10:47:51","TRUE","642","0","0","Food","Andhra Pradesh","India",TRUE
"4","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 09:55:48","TRUE","639","0","-1","Food","Andhra Pradesh","India",FALSE
"5","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 09:55:17","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"6","RT @sailu: A simple Andhra meal yet most flavourful. The kind of food that satisfies my soul.  onmyplate 
.
Tomato pappu with a lot of g","2018-07-28 09:32:36","TRUE","1","0","1","Food","Andhra Pradesh","India",FALSE
"7","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 09:30:35","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"8","A simple Andhra meal yet most flavourful. The kind of food that satisfies my soul.  onmyplate 
.
Tomato pappu wi  ","2018-07-28 09:28:57","FALSE","1","0","1","Food","Andhra Pradesh","India",FALSE
"9","RT @kranthireddy146: Our All_Telangana_surya_Fans Andhra_Surya_fans yesterday @Suriya_offl   birthday celebrations in Hyderabad orphanag","2018-07-28 08:14:10","TRUE","178","0","0","Food","Andhra Pradesh","India",FALSE
"10","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 07:06:16","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"11","Adani hiring  ","2018-07-28 06:57:04","FALSE","0","0","0","Food","Andhra Pradesh","India",FALSE
"12","RT @ncbn: Inaugurated the AnnaCanteen at Vidyadharapuram, Vijayawada. 100 Anna Canteens across 35 cities in Andhra Pradesh will provide ov","2018-07-28 03:31:25","TRUE","642","0","0","Food","Andhra Pradesh","India",TRUE
"13","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 03:27:07","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"14","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 03:25:53","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"15","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 02:44:39","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"16","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 01:57:11","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"17","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 00:45:03","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"18","RT @ncbn: With a goal to offer hygienic and subsidised food to the poor, overall 203 Anna Canteens will be operating across Andhra Pradesh.","2018-07-28 00:45:01","TRUE","639","0","-1","Food","Andhra Pradesh","India",TRUE
"19","Please RT! recipes food kandi pachadi (Andhra Style)  - Easy  Paruppu thogayal - Toor dal Chutney  ","2018-07-27 23:03:06","FALSE","0","0","1","Food","Andhra Pradesh","India",FALSE
