"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@JpackJack @satyakunaparedd Morning Tiffins in Vinayaka Cafe/Kokila restaurant(Bhanugudi Jn),Some andhra sweets in Suruchi Foods,","2018-07-28 11:06:57","FALSE","0","1","0","Food","Andhra Pradesh","India",FALSE
"2","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-27 10:08:28","FALSE","0","0","1","Food","Andhra Pradesh","India",FALSE
"3","@SKNonline Anna madhapur lo manchi Andhra food restaurant suggest cheyava?","2018-07-27 05:26:15","FALSE","0","0","0","Food","Andhra Pradesh","India",FALSE
"4","@sairazesh @Ashik_Mummidi madhapur lo manchi Andhra food restaurant ento suggest cheyi anna?","2018-07-27 05:22:55","FALSE","0","0","0","Food","Andhra Pradesh","India",FALSE
"5","World Famous Best Amazing Andhra Meals Food Review Street Food NSM Family Restaurant Vijayawada:  ","2018-07-27 01:42:54","FALSE","0","0","3","Food","Andhra Pradesh","India",FALSE
"6","A Pure Vegetarian restaurant.
Offering South Indian Buffet Breakfast, Three varieties of Thali (South / North / And  ","2018-07-26 10:22:23","FALSE","0","0","1","Food","Andhra Pradesh","India",FALSE
"7","RT @Aaswadaa: Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar , Gachibo","2018-07-26 09:20:59","TRUE","1","0","1","Food","Andhra Pradesh","India",FALSE
"8","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-26 09:07:30","FALSE","1","0","1","Food","Andhra Pradesh","India",TRUE
"9","A floating restaurant in sea on the horizon..  ","2018-07-26 02:58:12","FALSE","0","0","0","Food","Andhra Pradesh","India",FALSE
"10","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-25 06:16:04","FALSE","0","0","1","Food","Andhra Pradesh","India",TRUE
"11","RT @Aaswadaa: Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar , Gachibo","2018-07-24 08:15:35","TRUE","1","0","1","Food","Andhra Pradesh","India",TRUE
"12","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-23 11:26:29","FALSE","1","1","1","Food","Andhra Pradesh","India",TRUE
"13","@ThEdAaSiNgH Andhra lo andhra restaurant undadhu bredarrrr","2018-07-23 09:12:05","FALSE","0","0","0","Food","Andhra Pradesh","India",FALSE
"14","Kphb lo curry points,andhra side street food excellent unnai kani..meals ki Kphb lo bagunde single restaurant ledu.  ","2018-07-22 07:53:43","FALSE","0","0","1","Food","Andhra Pradesh","India",FALSE
"15","Consistently good food to a packed restaurant is no small task and @SocialOffline it seems like such a breeze  Che  ","2018-07-20 11:53:28","FALSE","0","4","4","Food","Andhra Pradesh","India",FALSE
"16","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-20 09:09:04","FALSE","0","0","1","Food","Andhra Pradesh","India",TRUE
"17","RT @Aaswadaa: Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar , Gachibo","2018-07-20 06:50:36","TRUE","1","0","1","Food","Andhra Pradesh","India",TRUE
"18","RT @KaranjaExpress: Boss took me to restaurant, Andhra style it was he was like ""     "" These Gowdas","2018-07-20 03:05:11","TRUE","1","0","1","Food","Andhra Pradesh","India",FALSE
"19","Boss took me to restaurant, Andhra style it was he was like ""     "" These Gowdas I say","2018-07-19 16:17:40","FALSE","1","13","1","Food","Andhra Pradesh","India",FALSE
"20","Authentic Southindian Delicacies
Telangana , Andhra , kerala , Tamilnadu , Karnataka Food in IndiraNagar  ","2018-07-19 09:21:23","FALSE","1","1","1","Food","Andhra Pradesh","India",TRUE
