"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-28 16:45:38","TRUE","105","0","-1","Food","Arunachal Pradesh","India",FALSE
"2","RT @SanjeevaniPage: @Shehla_Rashid Oops! RSS has around 3,000 members in Arunachal Pradesh, many of whom do consume beef. This fact was sha","2018-07-28 12:19:57","TRUE","227","0","0","Food","Arunachal Pradesh","India",FALSE
"3","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-28 07:35:43","TRUE","105","0","-1","Food","Arunachal Pradesh","India",TRUE
"4","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-28 01:41:15","TRUE","105","0","-1","Food","Arunachal Pradesh","India",TRUE
"5","RT @SanjeevaniPage: @Shehla_Rashid Oops! RSS has around 3,000 members in Arunachal Pradesh, many of whom do consume beef. This fact was sha","2018-07-27 17:17:05","TRUE","227","0","0","Food","Arunachal Pradesh","India",TRUE
"6","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-27 17:16:50","TRUE","105","0","-1","Food","Arunachal Pradesh","India",TRUE
"7","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-27 13:41:21","TRUE","105","0","-1","Food","Arunachal Pradesh","India",TRUE
"8","RT @sujataanandan: If Narendra Modi is not defeated in 2019, far from RSS'  Akhand Bharat, he will hand over Kashmir to Pakistan, Arunachal","2018-07-27 13:19:04","TRUE","8","0","1","Food","Arunachal Pradesh","India",FALSE
"9","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-27 12:52:51","TRUE","105","0","-1","Food","Arunachal Pradesh","India",TRUE
"10","RT @SanjeevaniPage: 3) I eat beef, Im from Arunachal Pradesh, can somebody stop me? So let us not be touchy about somebodys practices :","2018-07-27 11:47:48","TRUE","105","0","-1","Food","Arunachal Pradesh","India",TRUE
