"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 17:54:10","TRUE","11","0","-3","Food","Assam","India",FALSE
"2","@narendramodi Food safety unit should work neutrally urgently in Assam","2018-07-28 17:10:35","FALSE","0","0","1","Food","Assam","India",FALSE
"3","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 16:09:25","TRUE","11","0","-3","Food","Assam","India",TRUE
"4","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 15:52:59","TRUE","11","0","-3","Food","Assam","India",TRUE
"5","RT @SriSri: .@ArtofLiving volunteers battled heavy rains and storms to distribute food and clothing to 400 tribal families scattered across","2018-07-28 15:47:27","TRUE","1795","0","0","Food","Assam","India",FALSE
"6","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 13:30:01","TRUE","11","0","-3","Food","Assam","India",TRUE
"7","The company's representative in an interview with the New York Times has said that people in Assam have ""bad habit  ","2018-07-28 13:11:37","FALSE","0","0","-1","Food","Assam","India",FALSE
"8","The infamous food and Ayurvedic products company set up by @yogrishiramdev after razing an elephant corridor to bui  ","2018-07-28 13:11:37","FALSE","0","0","-1","Food","Assam","India",FALSE
"9","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 12:46:09","TRUE","11","0","-3","Food","Assam","India",TRUE
"10","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 12:13:47","TRUE","65","0","0","Food","Assam","India",FALSE
"11","The people of Assam have bad habits, including eating non-vegetarian food &amp; a lack of proper respect for the nati  ","2018-07-28 12:04:27","FALSE","0","0","0","Food","Assam","India",FALSE
"12","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 11:58:34","TRUE","11","0","-3","Food","Assam","India",TRUE
"13","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 11:45:50","TRUE","11","0","-3","Food","Assam","India",TRUE
"14","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 11:17:45","TRUE","65","0","0","Food","Assam","India",TRUE
"15","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 10:45:07","TRUE","65","0","0","Food","Assam","India",TRUE
"16","@yogrishiramdev ji, do u agree with what ur manager of Assam unit has said about the state &amp; its people?Plz clear u  ","2018-07-28 10:21:05","FALSE","0","0","1","Food","Assam","India",FALSE
"17","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 10:08:45","TRUE","11","0","-3","Food","Assam","India",TRUE
"18","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 10:05:34","TRUE","11","0","-3","Food","Assam","India",TRUE
"19","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 09:33:40","TRUE","11","0","-3","Food","Assam","India",TRUE
"20","RT @NANDANPRATIM: Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits, includ","2018-07-28 09:32:04","TRUE","11","0","-3","Food","Assam","India",TRUE
"21","Rubbish! Irresponsible!! Baba Ramdev and Patanjali, you ask immediate apology. ""People of Assam have bad habits,  ","2018-07-28 09:26:41","FALSE","11","29","-3","Food","Assam","India",FALSE
"22","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 09:24:41","TRUE","65","0","0","Food","Assam","India",TRUE
"23","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 08:39:53","TRUE","65","0","0","Food","Assam","India",TRUE
"24","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 08:30:19","TRUE","65","0","0","Food","Assam","India",TRUE
"25","RT @quizzicalguy: Ramdev's Patanjali, which cut down an elephant forest, believes Assam's people have many ""bad habits"" like eating non-veg","2018-07-28 07:51:52","TRUE","65","0","0","Food","Assam","India",TRUE
