"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @News18CG: :            ","2018-07-28 14:56:43","TRUE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"2","RT @NICMeity: Honble State Agriculture Minister, Chhattisgarh, launched Oilseed Doctor &amp; Pulse Doctor Android Mobile Apps, developed by ","2018-07-28 11:54:34","TRUE","24","0","0","Health Care","Chhattisgarh","India",FALSE
"3",":            ","2018-07-28 09:54:50","FALSE","0","0","0","Health Care","Chhattisgarh","India",FALSE
"4",":            ","2018-07-27 12:11:38","FALSE","0","0","0","Health Care","Chhattisgarh","India",TRUE
"5","RT @Nai_Dunia:          ,   
 ","2018-07-27 04:27:30","TRUE","1","0","0","Health Care","Chhattisgarh","India",FALSE
"6","         ,   
 ","2018-07-27 04:25:45","FALSE","1","1","0","Health Care","Chhattisgarh","India",FALSE
"7","RT @NICMeity: Honble State Agriculture Minister, Chhattisgarh, launched Oilseed Doctor &amp; Pulse Doctor Android Mobile Apps, developed by ","2018-07-27 04:11:17","TRUE","24","0","0","Health Care","Chhattisgarh","India",TRUE
"8","RT @NICMeity: Honble State Agriculture Minister, Chhattisgarh, launched Oilseed Doctor &amp; Pulse Doctor Android Mobile Apps, developed by ","2018-07-27 03:22:30","TRUE","24","0","0","Health Care","Chhattisgarh","India",TRUE
"9","RT @NICMeity: Honble State Agriculture Minister, Chhattisgarh, launched Oilseed Doctor &amp; Pulse Doctor Android Mobile Apps, developed by ","2018-07-26 12:10:04","TRUE","24","0","0","Health Care","Chhattisgarh","India",TRUE
"10","RT @NICMeity: Honble State Agriculture Minister, Chhattisgarh, launched Oilseed Doctor &amp; Pulse Doctor Android Mobile Apps, developed by ","2018-07-26 11:41:46","TRUE","24","0","0","Health Care","Chhattisgarh","India",TRUE
