"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","ON 25TH DAY HOURS A PERSON HAD KILLED DUE TO CARELESSNESS OF RAM MANOHAR LOHIA HOSPITAL'S DOCTORS;.... EVEN I WAS A  ","2018-07-29 15:22:00","FALSE","0","0","-1","Health Care","Delhi","India",FALSE
"2","RT @trehan_barkha: 42 yr old woman from Delhi files falserape case on 80 yr old Doctor. 
Such women have made fil  ","2018-07-29 15:08:40","FALSE","0","0","-1","Health Care","Delhi","India",FALSE
"3","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-29 14:57:33","TRUE","14","0","-1","Health Care","Delhi","India",FALSE
"4","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 14:26:55","TRUE","258","0","0","Health Care","Delhi","India",FALSE
"5","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 13:39:36","TRUE","258","0","-1","Health Care","Delhi","India",TRUE
"6","@doctor_denmark 1. Busy, busy, busy  

2. All the pictures of Delhi please","2018-07-29 11:37:45","FALSE","0","1","3","Health Care","Delhi","India",FALSE
"7","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-29 10:34:25","TRUE","14","0","1","Health Care","Delhi","India",TRUE
"8","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-29 10:22:58","TRUE","14","0","1","Health Care","Delhi","India",TRUE
"9","RT @kavita_krishnan: @SirPareshRawal Yes. She was a child who just peeped outside her window. And you're a monster for asking such a questi","2018-07-29 09:40:29","TRUE","243","0","0","Health Care","Delhi","India",FALSE
"10","Best Dental Doctor in East of Kailash South Delhi.
DENTAL BLISS is k..For more info visit... ","2018-07-29 08:58:13","FALSE","0","0","1","Health Care","Delhi","India",FALSE
"11","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-29 08:10:25","TRUE","14","0","1","Health Care","Delhi","India",TRUE
"12","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 08:02:38","TRUE","258","0","-2","Health Care","Delhi","India",TRUE
"13","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-29 06:57:05","TRUE","14","0","1","Health Care","Delhi","India",TRUE
"14","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 06:46:06","TRUE","258","0","0","Health Care","Delhi","India",TRUE
"15","My Prime Minister Modi ji Jai Hind sir mera naam Rajkumar hai main Delhi mein Dwarka mein rehta hoon Mere Papa dada  ","2018-07-29 06:28:22","FALSE","0","0","1","Health Care","Delhi","India",FALSE
"16","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 06:19:45","TRUE","258","0","1","Health Care","Delhi","India",TRUE
"17","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 06:08:36","TRUE","258","0","0","Health Care","Delhi","India",TRUE
"18","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 06:04:23","TRUE","258","0","1","Health Care","Delhi","India",TRUE
"19","       Delhi   Doctor      Hospital...  ","2018-07-29 05:52:41","FALSE","0","0","1","Health Care","Delhi","India",FALSE
"20","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 05:50:18","TRUE","258","0","0","Health Care","Delhi","India",TRUE
"21","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 05:45:29","TRUE","258","0","0","Health Care","Delhi","India",TRUE
"22","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 05:41:59","TRUE","258","0","1","Health Care","Delhi","India",TRUE
"23","RT @MrBatty_: *Kids die in Delhi*
Manish Sisodia: Our government has failed.
*Kids die in UP*
Yogiji: Are ye doctor ki galti hai dalo ise j","2018-07-29 05:33:31","TRUE","258","0","0","Health Care","Delhi","India",TRUE
"24","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-29 05:20:02","TRUE","14","0","1","Health Care","Delhi","India",TRUE
"25","@bhak_sala @taapsee Tu bhi bata fir wo Delhi mai doctor jinhone mara tha wo musalman the how did come to that conclusion","2018-07-29 04:32:42","FALSE","0","0","0","Health Care","Delhi","India",FALSE
"26","DalerMehndi awarded the honorary doctorate  Doctor of Music by the Victoria Global University, United States of A  ","2018-07-29 02:39:12","FALSE","0","0","0","Health Care","Delhi","India",FALSE
"27","RT @ANI: 36 cows have died in last 2 days in a Gaushala in Delhi's Chhawla area. A worker at the cowshed says, 'water motor hasn't been wor","2018-07-29 01:47:16","TRUE","186","0","1","Health Care","Delhi","India",FALSE
"28","@MoHFW_INDIA 
As our Honorable Sir,
My younger brother Umesh17 facing throat problem from last 2-3 years and not g  ","2018-07-28 22:08:00","FALSE","0","0","1","Health Care","Delhi","India",FALSE
"29","RT @strive_health: Throw back to travelling to India for the Traditional Medicine Program where we learned from a pediatrician, ob/gyn, car","2018-07-28 21:44:00","TRUE","2","0","1","Health Care","Delhi","India",FALSE
"30","RT @strive_health: Throw back to travelling to India for the Traditional Medicine Program where we learned from a pediatrician, ob/gyn, car","2018-07-28 21:31:36","TRUE","2","0","1","Health Care","Delhi","India",TRUE
"31","RT @HospitalsApollo: Join our Fb LIVE Session on ""Hepatitis in Children"" Talk to our expert,  Dr Anupam Sibal, Senior Consultant Pediatric","2018-07-28 21:15:22","TRUE","2","0","1","Health Care","Delhi","India",FALSE
"32","RT @HospitalsApollo: Thank you, Dr Anupam Sibal, and to all those who tuned in for the LIVE Session. To book an appointment:  ","2018-07-28 21:14:45","TRUE","2","0","0","Health Care","Delhi","India",FALSE
"33","Throw back to travelling to India for the Traditional Medicine Program where we learned from a pediatrician, ob/gyn  ","2018-07-28 21:07:21","FALSE","2","1","0","Health Care","Delhi","India",FALSE
"34","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-28 20:37:25","TRUE","14","0","0","Health Care","Delhi","India",TRUE
"35","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-28 20:31:54","TRUE","14","0","0","Health Care","Delhi","India",TRUE
"36","RT @dalermehndi: Humbled and honoured to receive the degree of Doctor of Music, an honorary doctorate in Music by the Victoria Global Uni","2018-07-28 20:12:15","TRUE","14","0","1","Health Care","Delhi","India",TRUE
