"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","GSSSB Medical Officer Recruitment 2018 OJAS Gujarat MO, Staff Nurse Jobs Notification Apply  ","2018-07-28 08:08:51","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"2","GSSSB Medical Officer Recruitment 2018 OJAS Gujarat MO, Staff Nurse Jobs Notification Apply  ","2018-07-28 08:08:36","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"3","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-28 05:37:37","TRUE","2","0","2","Health Care","Gujarat","India",FALSE
"4","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-28 05:28:15","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"5","paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides  ","2018-07-28 05:18:48","FALSE","2","4","2","Health Care","Gujarat","India",FALSE
"6","BMC Gujarat Recruitment 2018 .Bhavnagar Municipal Corporation (BMC) Gujarat , invites online application for the  ","2018-07-27 07:10:07","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"7","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-27 05:09:18","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"8","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-27 04:55:37","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"9","paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides  ","2018-07-27 04:51:57","FALSE","2","2","2","Health Care","Gujarat","India",TRUE
"10"," ","2018-07-26 15:15:06","FALSE","0","1","0","Health Care","Gujarat","India",FALSE
"11"," ","2018-07-26 15:14:55","FALSE","0","1","0","Health Care","Gujarat","India",TRUE
"12"," ","2018-07-26 15:14:34","FALSE","0","1","0","Health Care","Gujarat","India",TRUE
"13"," ","2018-07-26 15:10:15","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"14","RT @kadikar_bhawin: @hominal_pvt provides best &amp; economical solutions for Alzheimer Care &amp; dementia care.
Also provides Doctors , nurse","2018-07-26 05:40:26","TRUE","2","0","2","Health Care","Gujarat","India",FALSE
"15","RT @kadikar_bhawin: @hominal_pvt provides best &amp; economical solutions for Alzheimer Care &amp; dementia care.
Also provides Doctors , nurse","2018-07-26 05:30:20","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"16","@hominal_pvt provides best &amp; economical solutions for Alzheimer Care &amp; dementia care.
Also provides Doctors ,  ","2018-07-26 05:28:36","FALSE","2","2","2","Health Care","Gujarat","India",FALSE
"17","RT @kadikar_bhawin: @hominal_pvt provides best &amp; economical solutions for Alzheimer Care &amp; dementia care.
Also provides Doctors , nurse","2018-07-25 07:13:28","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"18","BMC Gujarat Recruitment 2018 .Bhavnagar Municipal Corporation (BMC) Gujarat , invites online application for the  ","2018-07-25 06:45:06","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"19","RT @kadikar_bhawin: @hominal_pvt provides best &amp; economical solutions for Alzheimer Care &amp; dementia care.
Also provides Doctors , nurse","2018-07-25 05:12:33","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"20","@hominal_pvt provides best &amp; economical solutions for Alzheimer Care &amp; dementia care.
Also provides Doctors ,  ","2018-07-25 05:01:28","FALSE","2","2","2","Health Care","Gujarat","India",TRUE
"21","BMC Gujarat Recruitment 2018 .Bhavnagar Municipal Corporation (BMC) Gujarat , invites online application for the  ","2018-07-24 09:40:06","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"22","U.T. Administration of Daman &amp; Diu Recruitment 2018 for Various Posts (Advt. No. 302/2018)  ","2018-07-24 09:29:32","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"23","Gujarat BMC Staff Nurse PreviousPapers  ","2018-07-24 08:11:36","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"24","BMC Gujarat Staff Nurse Admit Card 2018 Download BMC Gujarat Laboratory Technician MO Hall Ticket  ","2018-07-24 07:25:12","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"25","BMC Gujarat Recruitment 2018  123 Medical Officer, Staff Nurse &amp; Various Vacancy @ ","2018-07-23 11:17:58","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"26","BMC Gujarat Recruitment 2018
Post Name - FHW, MO, Staff Nurse
No of Vacancies - 123 
Last Date - 2nd August 2018  ","2018-07-23 10:44:24","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"27","BMC_Gujarat_Recruitment_2018 for 123 Medical Officer, Staff Nurse and Other Posts
 ","2018-07-23 07:54:15","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"28","BMC Gujarat Recruitment 2018 .Bhavnagar Municipal Corporation (BMC) Gujarat , invites online application for the  ","2018-07-23 07:00:21","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"29","BMC Gujarat Recruitment 2018 .Bhavnagar Municipal Corporation (BMC) Gujarat , invites online application for the  ","2018-07-22 06:55:03","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"30","BMC Gujarat Recruitment 2018, Apply Online for 123 Medical Officer, Staff Nurse &amp; Various  ","2018-07-21 15:04:04","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"31","BMC Gujarat MO Model Papers
Get BMC Gujarat Staff Nurse Previous Papers
Download Here--&gt;&gt;
 ","2018-07-21 12:29:35","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"32","BMC Gujarat Medical Officer Syllabus 2018
Bhavnagar Municipal Corporation Staff Nurse Exam Pattern 
Click Here--&gt;&gt;
 ","2018-07-21 10:44:46","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"33","BMC Gujarat Recruitment 2018 .Bhavnagar Municipal Corporation (BMC) Gujarat , invites online application for the  ","2018-07-21 10:22:28","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"34","BMC Gujarat Recruitment 2018, Apply Online for 123 Medical Officer, Staff Nurse &amp; Various Posts  ","2018-07-21 10:17:14","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"35","I just published BMC Gujarat Recruitment 2018, Apply Online for 123 Medical Officer, Staff Nurse &amp; Various Posts  ","2018-07-21 10:15:37","FALSE","0","1","0","Health Care","Gujarat","India",FALSE
"36","BMC Gujarat Recruitment 2018, Apply Online for 123 Medical Officer, Staff Nurse &amp; VariousPosts  ","2018-07-21 10:13:44","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"37","BMC Gujarat Recruitment 2018  123 Medical Officer, Staff Nurse &amp; Various Vacancy @  ","2018-07-21 05:02:02","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"38","BMC Gujarat Recruitment 2018  123 Medical Officer, Staff Nurse &amp; Various Vacancy @  ","2018-07-21 04:54:13","FALSE","0","0","0","Health Care","Gujarat","India",TRUE
"39","BMC Gujarat Recruitment 2018, 123 Medical Officer, Staff Nurse and Other Posts - Apply Now  ","2018-07-20 12:09:59","FALSE","0","2","0","Health Care","Gujarat","India",FALSE
"40","BMC Gujarat Recruitment, 123 Health Worker, Staff Nurse &amp; Various Vacancies, apply @ www  ","2018-07-20 11:02:17","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
