"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","   ,      Gujarat Navsari FakeDoctor

 ","2018-07-28 12:54:38","FALSE","0","3","0","Health Care","Gujarat","India",FALSE
"2","@DrRutvij @BJYMAhmedabad @narendramodi @AmitShah @byadavbjp @vijayrupanibjp @jitu_vaghani @poonam_mahajan  ","2018-07-28 12:33:23","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"3","Doctor's token strike against NMC bill in Gujarat  ","2018-07-28 10:06:21","FALSE","0","0","-1","Health Care","Gujarat","India",FALSE
"4","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-28 05:37:37","TRUE","2","0","2","Health Care","Gujarat","India",FALSE
"5","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-28 05:28:15","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"6","paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides  ","2018-07-28 05:18:48","FALSE","2","4","2","Health Care","Gujarat","India",FALSE
"7","@Sam_Jags @ranjanp_indian @ZeeScorpio @Doctor_Sahiba @afghanfarzana1 @javerias @chintskap Kashmir for Kashmiris, Ta  ","2018-07-27 17:45:31","FALSE","0","1","0","Health Care","Gujarat","India",FALSE
"8","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-27 05:09:18","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"9","RT @kadikar_bhawin: paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides phar","2018-07-27 04:55:37","TRUE","2","0","2","Health Care","Gujarat","India",TRUE
"10","paralysis ,dementia ,Alzheimer,OldAgeHomes ,recovery ,Schizophrenia patient care at home ,
Also Provides  ","2018-07-27 04:51:57","FALSE","2","2","2","Health Care","Gujarat","India",TRUE
"11"," ","2018-07-26 15:10:15","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"12","Tribal Development Department Valsad Recruitment 2018 for Veterinary Doctor Post  ","2018-07-25 05:36:23","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"13","@dhume @sagarikaghose Bc itna gulami , went deep more deeper in vains or mixed with Blood , gosh u need doctor or s  ","2018-07-23 21:48:05","FALSE","0","1","0","Health Care","Gujarat","India",FALSE
"14","@theskindoctor13 @kunalkamra88 Doctor saab ka jaahir sammaan kiya jaana chahiye Gujarat ki sarkar ne @CMOGuj CM saa  ","2018-07-23 17:48:39","FALSE","0","36","0","Health Care","Gujarat","India",FALSE
"15","Neurosurgeon - MCH/DNB - Super Specialty Hospital (0-2 yrs) Gujarat/Rajkot (Doctor)...","2018-07-23 14:07:18","FALSE","0","0","1","Health Care","Gujarat","India",FALSE
"16","RT @santhemant: @abpnewstv @RahulGandhi No system where chaiwala can be a pm and ragpickers son a doctor engineer..see Gujarat admissions w","2018-07-22 20:35:02","TRUE","3","0","0","Health Care","Gujarat","India",FALSE
"17","RT @santhemant: @abpnewstv @RahulGandhi No system where chaiwala can be a pm and ragpickers son a doctor engineer..see Gujarat admissions w","2018-07-22 17:48:38","TRUE","3","0","0","Health Care","Gujarat","India",TRUE
"18","RT @santhemant: @abpnewstv @RahulGandhi No system where chaiwala can be a pm and ragpickers son a doctor engineer..see Gujarat admissions w","2018-07-22 15:19:09","TRUE","3","0","0","Health Care","Gujarat","India",TRUE
"19","@abpnewstv @RahulGandhi No system where chaiwala can be a pm and ragpickers son a doctor engineer..see Gujarat admi  ","2018-07-22 15:01:05","FALSE","3","11","0","Health Care","Gujarat","India",FALSE
"20","@jgdpalak @maulikdr @drgaurav09ias @JayantiRavi @abhisheksinghDP @kumarmanish9 @CollectorJamngr @UNinIndia  ","2018-07-22 09:28:53","FALSE","1","1","0","Health Care","Gujarat","India",FALSE
"21","RT @jgdpalak: 999 Children Vaccinated at our K.V.  School &amp; Sick Bay of  INSVALSURA - NAVALBASE by Our UHC-BEDI2 Vaccinators  at jamna","2018-07-22 09:28:31","TRUE","12","0","-1","Health Care","Gujarat","India",FALSE
"22","RT @apnnewsindia: Gujarat: MBBS doctor Hina Kumari takes 'diksha' to become a monk in Surat.  ","2018-07-22 08:55:33","TRUE","18","0","0","Health Care","Gujarat","India",FALSE
"23","Real Hero to Reduce MMR and Healthy Gujarat...Thank you doctor @CollectorDahod @WCDGujarat @MoHFW_GUJARAT  ","2018-07-22 04:21:12","FALSE","0","4","2","Health Care","Gujarat","India",FALSE
"24","Neurosurgeon - MCH/DNB - Super Specialty Hospital (0-2 yrs) Gujarat/Rajkot (Doctor)...","2018-07-21 22:35:23","FALSE","0","0","1","Health Care","Gujarat","India",TRUE
"25","Gujarat : MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.
surat","2018-07-21 10:57:16","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"26","RT @apnnewsindia: Gujarat: MBBS doctor Hina Kumari takes 'diksha' to become a monk in Surat.  ","2018-07-21 10:13:04","TRUE","18","0","0","Health Care","Gujarat","India",TRUE
"27","RT @apnnewsindia: Gujarat: MBBS doctor Hina Kumari takes 'diksha' to become a monk in Surat.  ","2018-07-21 08:33:16","TRUE","18","0","0","Health Care","Gujarat","India",TRUE
"28","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-21 03:32:53","TRUE","229","0","0","Health Care","Gujarat","India",FALSE
"29","RT @DeepakMishra30:  ","2018-07-21 02:55:55","TRUE","1","0","0","Health Care","Gujarat","India",FALSE
"30","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 17:12:20","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"31","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-20 16:34:28","TRUE","107","0","0","Health Care","Gujarat","India",FALSE
"32","RT @apnnewsindia: Gujarat: MBBS doctor Hina Kumari takes 'diksha' to become a monk in Surat.  ","2018-07-20 09:20:29","TRUE","18","0","0","Health Care","Gujarat","India",TRUE
"33","RT @pushpendramuni: _________
          ","2018-07-20 08:48:48","TRUE","3","0","0","Health Care","Gujarat","India",FALSE
"34","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-20 08:08:27","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"35","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-20 07:45:05","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"36","RT @DharmManch: Retweeted Zee News Hindi (@ZeeNewsHindi):

: MBBS        ,    ","2018-07-20 07:44:31","TRUE","1","0","0","Health Care","Gujarat","India",FALSE
"37","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 07:25:41","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"38","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 07:25:27","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"39","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 05:35:02","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"40","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 05:00:29","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"41","Retweeted Zee News Hindi (@ZeeNewsHindi):

: MBBS        ,     ","2018-07-20 04:54:17","FALSE","1","2","0","Health Care","Gujarat","India",FALSE
"42","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-20 04:54:12","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"43","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 03:28:38","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"44","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 02:49:07","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"45"," ","2018-07-20 02:42:49","FALSE","1","0","0","Health Care","Gujarat","India",TRUE
"46","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-20 01:35:21","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"47","RT @AmarUjalaNews:                Hina
 ","2018-07-19 22:01:40","TRUE","50","0","0","Health Care","Gujarat","India",FALSE
"48","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 19:35:46","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"49","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 17:10:52","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"50","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 16:21:47","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"51","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 16:16:16","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"52","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 16:09:13","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"53","RT @AmarUjalaNews:                Hina
 ","2018-07-19 15:48:53","TRUE","50","0","0","Health Care","Gujarat","India",TRUE
"54","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 15:30:22","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"55","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 15:24:10","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"56","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 15:21:21","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"57","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 15:21:06","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"58","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 15:16:52","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"59","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 14:54:54","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"60","RT @apnnewsindia: Gujarat: MBBS doctor Hina Kumari takes 'diksha' to become a monk in Surat.  ","2018-07-19 14:49:26","TRUE","18","0","0","Health Care","Gujarat","India",TRUE
"61","RT @AmarUjalaNews:                Hina
 ","2018-07-19 14:47:54","TRUE","50","0","0","Health Care","Gujarat","India",TRUE
"62","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 14:43:14","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"63","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 14:40:24","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"64"," : MBBS        ,      ","2018-07-19 14:27:00","FALSE","0","0","0","Health Care","Gujarat","India",FALSE
"65","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 14:21:21","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"66","Doctor becomes Sadhvi! Surat businessman's daughter leaves lavish life to adopt Monk life;  ","2018-07-19 14:13:15","FALSE","1","15","1","Health Care","Gujarat","India",FALSE
"67","RT @AmarUjalaNews:                Hina
 ","2018-07-19 14:07:24","TRUE","50","0","0","Health Care","Gujarat","India",TRUE
"68","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 14:06:30","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"69","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 14:02:01","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"70","RT @AmarUjalaNews:                Hina
 ","2018-07-19 13:33:48","TRUE","50","0","0","Health Care","Gujarat","India",TRUE
"71","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 13:19:34","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"72"," : MBBS        ,      ","2018-07-19 13:14:15","FALSE","0","1","0","Health Care","Gujarat","India",TRUE
"73","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 13:08:09","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"74","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 13:06:20","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"75","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 13:03:44","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"76","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 12:55:02","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"77","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 12:37:23","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"78","RT @ANI: Gujarat: MBBS doctor Hina Kumari took 'diksha' to become a monk, earlier today, in Surat.  ","2018-07-19 12:32:18","TRUE","229","0","0","Health Care","Gujarat","India",TRUE
"79","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 12:28:07","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"80","RT @ZeeNewsHindi: : MBBS        ,    

 ","2018-07-19 12:20:55","TRUE","107","0","0","Health Care","Gujarat","India",TRUE
"81","RT @AmarUjalaNews:                Hina
 ","2018-07-19 12:20:19","TRUE","50","0","0","Health Care","Gujarat","India",TRUE
