"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@Amit_IND_85 @CNBCTV18News @msisodia @ShereenBhan @AamAadmiParty Well said transformation of govt school or hospita  ","2018-07-28 18:10:39","FALSE","0","0","1","Health Care","Haryana","India",FALSE
"2","@myogiadityanath @SidharthNSingh R/sir, My elder brother died in Banaras on 13/07/2017 due to 11000 volt electric s  ","2018-07-28 14:52:10","FALSE","0","0","-1","Health Care","Haryana","India",FALSE
"3","RT @SaddamJE1: @SidharthNSingh R/sir, My elder brother died in Banaras on 13/07/2017 due to 11000 volt electric shock &amp; postmortem was done","2018-07-28 14:51:18","TRUE","1","0","-2","Health Care","Haryana","India",FALSE
"4","@SidharthNSingh R/sir, My elder brother died in Banaras on 13/07/2017 due to 11000 volt electric shock &amp; postmortem  ","2018-07-28 14:49:35","FALSE","1","0","-2","Health Care","Haryana","India",FALSE
"5","RT @ZeeNewsHindi: HIV          ,   

 ","2018-07-28 01:46:51","TRUE","8","0","0","Health Care","Haryana","India",FALSE
"6","RT @ZeeNewsHindi: HIV          ,   

 ","2018-07-27 18:42:57","TRUE","8","0","0","Health Care","Haryana","India",TRUE
"7","RT @ZeeNewsHindi: HIV          ,   

 ","2018-07-27 18:29:17","TRUE","8","0","0","Health Care","Haryana","India",TRUE
"8","RT @ZeeNewsHindi: HIV          ,   

 ","2018-07-27 18:26:55","TRUE","8","0","0","Health Care","Haryana","India",TRUE
"9","RT @ZeeNewsHindi: HIV          ,   

 ","2018-07-27 18:26:04","TRUE","8","0","0","Health Care","Haryana","India",TRUE
"10","RT @ZeeNewsHindi: HIV          ,   

 ","2018-07-27 18:25:37","TRUE","8","0","0","Health Care","Haryana","India",TRUE
"11","HIV          ,   

 ","2018-07-27 18:24:24","FALSE","8","13","0","Health Care","Haryana","India",FALSE
"12","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 18:13:57","TRUE","10","0","-2","Health Care","Haryana","India",FALSE
"13","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 18:11:48","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"14","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 18:07:16","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"15","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 18:07:03","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"16","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 17:57:27","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"17","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 17:56:54","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"18","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 17:56:13","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"19","RT @ndtv: HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 17:56:12","TRUE","10","0","-2","Health Care","Haryana","India",TRUE
"20","HIV-positive woman, allegedly denied entry into hospital at first, dies  ","2018-07-27 17:55:40","FALSE","10","35","-2","Health Care","Haryana","India",FALSE
"21"," ","2018-07-27 10:42:27","FALSE","0","0","0","Health Care","Haryana","India",FALSE
"22","news hindinews kaithalnews haryananews governmenthospital bribery latestupdates corruption

 ","2018-07-27 10:29:48","FALSE","0","2","-2","Health Care","Haryana","India",FALSE
"23","50           ,   -   
  ","2018-07-27 09:57:58","FALSE","0","0","0","Health Care","Haryana","India",FALSE
"24","RT @sambandhhealth: Here we are today, organising a workshop for psychiatrist and clinical psychologist from all districs of Haryana govern","2018-07-27 09:45:16","TRUE","1","0","0","Health Care","Haryana","India",FALSE
