"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:54:48","TRUE","913","0","-2","Health Care","Haryana","India",FALSE
"2","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:54:47","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"3","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:53:17","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"4","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:53:06","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"5","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:51:56","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"6","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:51:56","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"7","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:51:44","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"8","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:50:59","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"9","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:49:22","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"10","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:48:01","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"11","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:47:37","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"12","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:46:47","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"13","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:45:45","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"14","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:45:27","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"15","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:43:58","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"16","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:43:52","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"17","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:42:40","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"18","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:42:00","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"19","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:41:55","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"20","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:41:37","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"21","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:40:56","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
"22","RT @ANI: Haryana: Pregnant goat died a day after allegedly being raped by 8 men in Mewat. Goat's owner (in pic) registered a police complai","2018-07-28 19:38:54","TRUE","913","0","-2","Health Care","Haryana","India",TRUE
