"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @drtonythomas: Vision project in low-income schools in Karnataka by @tcfindia ","2018-07-28 18:05:33","TRUE","2","0","0","Health Care","Karnataka","India",FALSE
"2","RT @drtonythomas: Vision project in low-income schools in Karnataka by @tcfindia ","2018-07-28 14:43:12","TRUE","2","0","0","Health Care","Karnataka","India",TRUE
"3","Vision project in low-income schools in Karnataka by @tcfindia ","2018-07-28 14:30:13","FALSE","2","2","0","Health Care","Karnataka","India",FALSE
"4","@Sam_Jags @ranjanp_indian @ZeeScorpio @Doctor_Sahiba @afghanfarzana1 @javerias @chintskap Kashmir for Kashmiris, Ta  ","2018-07-27 17:45:31","FALSE","0","1","0","Health Care","Karnataka","India",FALSE
"5","Politics. Elections.
Just the thing the Doctor ordered.
To breakup the Nation even further.
At this rate, who needs  ","2018-07-27 16:12:20","FALSE","0","1","-1","Health Care","Karnataka","India",FALSE
"6","@kvnschakravart2 @GogineniBabu Hey dude he is made for that first he should be a human then humanist, he is a very  ","2018-07-27 06:00:20","FALSE","0","0","0","Health Care","Karnataka","India",FALSE
"7","RT @shivaashtagi: Saddened by the demise of Dr_G_Shivaprasad Ji.
He was a Doctor, Educationist and Secretary of the SiddharthaEducationSo","2018-07-27 05:55:13","TRUE","2","0","-1","Health Care","Karnataka","India",FALSE
"8","RT @shivaashtagi: Saddened by the demise of Dr_G_Shivaprasad Ji.
He was a Doctor, Educationist and Secretary of the SiddharthaEducationSo","2018-07-27 04:58:05","TRUE","2","0","-1","Health Care","Karnataka","India",TRUE
"9","Hot and Mean Lesbian Babes - My Lesbian Doctor with Alena Croft &amp;amp_ Val Dodds-free-video-01  ","2018-07-27 04:04:38","FALSE","0","0","1","Health Care","Karnataka","India",FALSE
"10","Saddened by the demise of Dr_G_Shivaprasad Ji.
He was a Doctor, Educationist and Secretary of the  ","2018-07-26 14:53:41","FALSE","2","2","-1","Health Care","Karnataka","India",FALSE
"11","    :   ","2018-07-26 11:34:53","FALSE","0","1","0","Health Care","Karnataka","India",FALSE
"12","VK:     :   ","2018-07-26 05:07:08","FALSE","0","2","0","Health Care","Karnataka","India",FALSE
"13","    : 
   young  ","2018-07-26 04:02:06","FALSE","0","10","0","Health Care","Karnataka","India",FALSE
