"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Sanginamby: Im at a hospital right now, and just heard an elderly man who required blood, request the nurse to get Christian blood o","2018-07-29 01:43:22","TRUE","1164","0","-1","Health Care","Kerala","India",FALSE
"2","RT @JimmyRehman: @y_postandspread @Bramha13745258 @SweetPoison2000 @MikeIndus @UKNirvana69 @Twomoons20 @Gurmeetk2020 @Nailart54815771 @sikh","2018-07-28 17:58:41","TRUE","1","0","-1","Health Care","Kerala","India",FALSE
"3","@y_postandspread @Bramha13745258 @SweetPoison2000 @MikeIndus @UKNirvana69 @Twomoons20 @Gurmeetk2020  ","2018-07-28 17:57:45","FALSE","1","1","-1","Health Care","Kerala","India",FALSE
"4","`  '-     ! | kerala's amirthamayi hospital waste  ","2018-07-28 16:34:48","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"5","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-28 14:59:10","TRUE","17","0","-1","Health Care","Kerala","India",FALSE
"6","Kerala takes stand against hospital acquired infections  ","2018-07-28 14:16:08","FALSE","0","0","3","Health Care","Kerala","India",FALSE
"7","RT @Sanginamby: Im at a hospital right now, and just heard an elderly man who required blood, request the nurse to get Christian blood o","2018-07-28 13:05:21","TRUE","1164","0","1","Health Care","Kerala","India",TRUE
"8","     
 ","2018-07-28 12:00:49","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"9","Amrita hospital have inserted a laser fibre into a 22-week-old foetus that had obstruction in its urine flow due to  ","2018-07-28 07:07:44","FALSE","0","1","0","Health Care","Kerala","India",FALSE
"10","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-28 06:18:17","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"11","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 22:50:49","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"12","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 21:04:25","TRUE","17","0","-2","Health Care","Kerala","India",TRUE
"13","hospitalsCardiologyDoctors JobsGynaecologyRadiologyGPPhysicianGeneralSurgery

Doctor Jobs - Thriss  ","2018-07-27 18:50:21","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"14","Doctor Jobs - Thrissur, Kerala, India

Our clients, well known hospital near Thrissur (Trichur), Kerala has the fol  ","2018-07-27 18:07:49","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"15","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:50:34","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"16","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:46:07","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"17","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:38:44","TRUE","17","0","0","Health Care","Kerala","India",TRUE
"18","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:33:32","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"19","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:32:39","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"20","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:29:31","TRUE","17","0","0","Health Care","Kerala","India",TRUE
"21","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:28:21","TRUE","17","0","0","Health Care","Kerala","India",TRUE
"22","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:28:04","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"23","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:26:01","TRUE","17","0","0","Health Care","Kerala","India",TRUE
"24","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:25:13","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"25","RT @bld4needy: Trivandrum Kerala 3 Units B+ve Blood need at KIMS Hospital July_27 Pls Call 9994060938 or 9488876051 via @BRh_ve cc @Sha","2018-07-27 16:24:46","TRUE","34","0","0","Health Care","Kerala","India",FALSE
"26","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:24:42","TRUE","17","0","0","Health Care","Kerala","India",TRUE
"27","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:24:20","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"28","RT @yaavarumkelir: Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Reason","2018-07-27 16:23:37","TRUE","17","0","1","Health Care","Kerala","India",TRUE
"29","Urgent Verified Palakkad              

Patient Name : Nithya
Age : 25
Blood group : AB +ve 
Units : 2 Units 
Re  ","2018-07-27 16:23:11","FALSE","17","0","1","Health Care","Kerala","India",FALSE
"30","RT @believersweb: In response to devastating floods in Kerala, Believers Church Medical College Hospital distributed rice kits to affected","2018-07-27 16:21:47","TRUE","5","0","1","Health Care","Kerala","India",FALSE
"31","RT @bld4needy: Trivandrum Kerala 3 Units B+ve Blood need at KIMS Hospital July_27 Pls Call 9994060938 or 9488876051 via @BRh_ve cc @Sha","2018-07-27 06:48:35","TRUE","34","0","1","Health Care","Kerala","India",TRUE
"32","RT @bld4needy: Trivandrum Kerala 3 Units B+ve Blood need at KIMS Hospital July_27 Pls Call 9994060938 or 9488876051 via @BRh_ve cc @Sha","2018-07-27 06:38:07","TRUE","34","0","0","Health Care","Kerala","India",TRUE
"33","Visiting a relative treating for Toxic and Higher BP ... (@ Paalana Hospital in Kannadi P O, Palakkad, Kerala)  ","2018-07-27 06:18:49","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"34","RT @bld4needy: Trivandrum Kerala 3 Units B+ve Blood need at KIMS Hospital July_27 Pls Call 9994060938 or 9488876051 via @BRh_ve cc @Sha","2018-07-27 05:22:06","TRUE","34","0","0","Health Care","Kerala","India",TRUE
"35","BREAKING: Accident on Kerala Highway kills 3 in Karur after vehicle collides with a lorry. The bodies have been t  ","2018-07-27 05:14:32","FALSE","1","1","0","Health Care","Kerala","India",FALSE
"36","RT @bld4needy: Trivandrum Kerala 3 Units B+ve Blood need at KIMS Hospital July_27 Pls Call 9994060938 or 9488876051 via @BRh_ve cc @Sha","2018-07-27 04:56:37","TRUE","34","0","1","Health Care","Kerala","India",TRUE
