"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Rural health centres in Keralaplagued byserious shortage of doctors:Governor P Sathasivam  ","2018-07-29 07:02:45","FALSE","0","0","-1","Health Care","Kerala","India",FALSE
"2","@wvxM7DkuHyDGjiy @akarthi_ Dumping medical waste from Kerala, it is suspecious that some officials or politicians m  ","2018-07-29 06:15:22","FALSE","0","0","-1","Health Care","Kerala","India",FALSE
"3"," ","2018-07-29 04:21:10","FALSE","0","0","-1","Health Care","Kerala","India",FALSE
"4","@tamildesiyamOff @NaamTamilarOrg @CMOKerala again and again Kerala is repeating the same. Dumping the medical waste in TN!","2018-07-28 19:52:10","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"5","RT @KeralaGovernor: With medical graduates of the Govt Medical College, ERNAKULAM on their graduation day. Exhorted young doctors to add st","2018-07-28 15:54:51","TRUE","1","0","-1","Health Care","Kerala","India",FALSE
"6","With medical graduates of the Govt Medical College, ERNAKULAM on their graduation day. Exhorted young doctors to ad  ","2018-07-28 15:53:19","FALSE","1","8","3","Health Care","Kerala","India",FALSE
"7","            ","2018-07-28 13:59:11","FALSE","0","1","1","Health Care","Kerala","India",FALSE
"8","    :   !  ","2018-07-28 12:35:47","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"9","@tamildesiyamOff @NaamTamilarOrg Policemen deployed at Aralvaimozhi and Kavalkinaru should take stern action agains  ","2018-07-28 12:01:03","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"10","@tamildesiyamOff @NaamTamilarOrg While he is earning money, the poor villagers residing nearby are living in const  ","2018-07-28 11:56:35","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"11","Medical waste from Kerala dumped in defunct quarries  ","2018-07-28 11:44:44","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"12","@CMOKerala Comrade, please look into this matter and a reasonable way to dispose our medical wastes might save our  ","2018-07-28 09:28:26","FALSE","0","0","-2","Health Care","Kerala","India",FALSE
"13","@CVijayaBaskarTN TNhealthministers. Sir, Kerela is using TN as garbage bin for disposing medical and poultry was  ","2018-07-28 08:37:30","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"14","@opaneerselvam @EPSTamilNadu Kerala medical waste in TN how it has reached in state border pl stop this  please arr  ","2018-07-28 07:04:01","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"15","Medical bill : Government doctors OP strike in Kerala  ","2018-07-28 05:07:04","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"16","Medical bill : Government doctors OP strike in Kerala

 ","2018-07-28 05:01:35","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"17","RT @MukundPuyad: @gopi20315 @richa_singh Adani power scam
BALCO scams 
Chikki scam
Dal scam
Rafale deal scam
UTI scam 
Tender scam
SSC scam","2018-07-27 23:40:20","TRUE","1","0","0","Health Care","Kerala","India",FALSE
"18","RT @saileenas: Only Kerala is different. The state offers free lodging,  Insurance and free medical treatment to migrant workers.","2018-07-27 17:01:04","TRUE","8","0","1","Health Care","Kerala","India",FALSE
"19","RT @believersweb: In response to devastating floods in Kerala, Believers Church Medical College Hospital distributed rice kits to affected","2018-07-27 16:21:47","TRUE","5","0","1","Health Care","Kerala","India",FALSE
"20","RT @MavesMDP_: Joint coalition campaign team meeting will be held with maldivians residing in Trivandrum  at 6:30pm. 
JazeeraRaajje
Bive","2018-07-27 15:36:47","TRUE","6","0","0","Health Care","Kerala","India",FALSE
"21","RT @saileenas: Only Kerala is different. The state offers free lodging,  Insurance and free medical treatment to migrant workers.","2018-07-27 15:29:39","TRUE","8","0","0","Health Care","Kerala","India",TRUE
"22","RT @saileenas: Only Kerala is different. The state offers free lodging,  Insurance and free medical treatment to migrant workers.","2018-07-27 15:22:33","TRUE","8","0","1","Health Care","Kerala","India",TRUE
"23","RT @AliHashimSmith1: Joint coalition campaign team meeting will be held with maldivians residing in Trivandrum  at 6:30pm. 
Biverah Hote","2018-07-27 14:26:54","TRUE","4","0","0","Health Care","Kerala","India",FALSE
"24","RT @MavesMDP_: Joint coalition campaign team meeting will be held with maldivians residing in Trivandrum  at 6:30pm. 
JazeeraRaajje
Bive","2018-07-27 14:22:30","TRUE","6","0","1","Health Care","Kerala","India",TRUE
"25","KMSCL Recruitment 2018 for 03 Assistant Manager Post 

Kerala Medical Services Corporation Ltd. (KMSCL), Thiruvanan  ","2018-07-27 13:34:31","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"26","Medical Office in Thrissur, Kerala, India: surgery, surgeon, medical office, medical  ","2018-07-27 12:43:56","FALSE","0","0","0","Health Care","Kerala","India",FALSE
"27","        ","2018-07-27 12:42:53","FALSE","1","2","1","Health Care","Kerala","India",FALSE
"28","RT @MavesMDP_: Joint coalition campaign team meeting will be held with maldivians residing in Trivandrum  at 6:30pm. 
JazeeraRaajje
Bive","2018-07-27 11:20:03","TRUE","6","0","1","Health Care","Kerala","India",TRUE
"29","RT @MavesMDP_: Joint coalition campaign team meeting will be held with maldivians residing in Trivandrum  at 6:30pm. 
JazeeraRaajje
Bive","2018-07-27 11:16:56","TRUE","6","0","1","Health Care","Kerala","India",TRUE
"30","RT @MavesMDP_: Joint coalition campaign team meeting will be held with maldivians residing in Trivandrum  at 6:30pm. 
JazeeraRaajje
Bive","2018-07-27 10:52:11","TRUE","6","0","1","Health Care","Kerala","India",TRUE
