"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","         
 ","2018-07-28 03:03:22","FALSE","1","0","-1","Health Care","Madhya Pradesh","India",FALSE
"2","RT @News18MP:                 ","2018-07-27 18:31:55","TRUE","2","0","-1","Health Care","Madhya Pradesh","India",FALSE
"3","RT @News18MP:                 ","2018-07-27 18:19:51","TRUE","2","0","-1","Health Care","Madhya Pradesh","India",TRUE
"4","Aai Madhya Pradesh Sarkar tum kya ESMA act lagaoge doctors par 
Doctor ki puri zindagi ESMA act mai gujar jati hai  ","2018-07-26 16:56:04","FALSE","0","0","0","Health Care","Madhya Pradesh","India",FALSE
"5","RT @anandrai177: Corrupt medical officer awarded as best doctor by higher edu minister on 26th jan@ChouhanShivraj@CMO Madhya Pradesh  ","2018-07-26 02:36:10","TRUE","188","0","-1","Health Care","Madhya Pradesh","India",FALSE
"6","RT @anandrai177: Corrupt medical officer awarded as best doctor by higher edu minister on 26th jan@ChouhanShivraj@CMO Madhya Pradesh  ","2018-07-25 19:29:57","TRUE","188","0","3","Health Care","Madhya Pradesh","India",TRUE
"7","RT @ankitkumar_jain: @ArvindKejriwal The shortage of doctor is not only with madhya pradesh. It is with whole country. The government new s","2018-07-25 19:26:08","TRUE","1","0","1","Health Care","Madhya Pradesh","India",FALSE
"8","@ArvindKejriwal The shortage of doctor is not only with madhya pradesh. It is with whole country. The government ne  ","2018-07-25 17:39:00","FALSE","1","1","1","Health Care","Madhya Pradesh","India",FALSE
"9","       ,             ..  ","2018-07-24 13:28:10","FALSE","0","1","0","Health Care","Madhya Pradesh","India",FALSE
"10","The doctor story . @anandrai177 @FordaIndia  ","2018-07-20 05:55:34","FALSE","0","0","1","Health Care","Madhya Pradesh","India",FALSE
"11","@pkmishra439 Doctor Shikharchand Lahri...he himself was medicals surgeon by profession... He was settled in Bhopal.. Madhya Pradesh","2018-07-19 10:47:24","FALSE","0","2","1","Health Care","Madhya Pradesh","India",FALSE
"12","         
 ","2018-07-28 03:03:22","FALSE","1","0","-2","Health Care","Madhya Pradesh","India",TRUE
"13","RT @News18MP:                 ","2018-07-27 18:31:55","TRUE","2","0","1","Health Care","Madhya Pradesh","India",TRUE
"14","RT @News18MP:                 ","2018-07-27 18:19:51","TRUE","2","0","0","Health Care","Madhya Pradesh","India",TRUE
"15","Aai Madhya Pradesh Sarkar tum kya ESMA act lagaoge doctors par 
Doctor ki puri zindagi ESMA act mai gujar jati hai  ","2018-07-26 16:56:04","FALSE","0","0","1","Health Care","Madhya Pradesh","India",TRUE
"16","RT @anandrai177: Corrupt medical officer awarded as best doctor by higher edu minister on 26th jan@ChouhanShivraj@CMO Madhya Pradesh  ","2018-07-26 02:36:10","TRUE","188","0","1","Health Care","Madhya Pradesh","India",TRUE
"17","RT @anandrai177: Corrupt medical officer awarded as best doctor by higher edu minister on 26th jan@ChouhanShivraj@CMO Madhya Pradesh  ","2018-07-25 19:29:57","TRUE","188","0","0","Health Care","Madhya Pradesh","India",TRUE
"18","RT @ankitkumar_jain: @ArvindKejriwal The shortage of doctor is not only with madhya pradesh. It is with whole country. The government new s","2018-07-25 19:26:08","TRUE","1","0","1","Health Care","Madhya Pradesh","India",TRUE
"19","@ArvindKejriwal The shortage of doctor is not only with madhya pradesh. It is with whole country. The government ne  ","2018-07-25 17:39:00","FALSE","1","1","1","Health Care","Madhya Pradesh","India",TRUE
"20","       ,             ..  ","2018-07-24 13:28:10","FALSE","0","1","0","Health Care","Madhya Pradesh","India",TRUE
"21","The doctor story . @anandrai177 @FordaIndia  ","2018-07-20 05:55:34","FALSE","0","0","0","Health Care","Madhya Pradesh","India",TRUE
"22","@pkmishra439 Doctor Shikharchand Lahri...he himself was medicals surgeon by profession... He was settled in Bhopal.. Madhya Pradesh","2018-07-19 10:47:24","FALSE","0","2","1","Health Care","Madhya Pradesh","India",TRUE
"23","         
 ","2018-07-28 03:03:22","FALSE","1","0","0","Health Care","Madhya Pradesh","India",TRUE
"24","RT @News18MP:                 ","2018-07-27 18:31:55","TRUE","2","0","1","Health Care","Madhya Pradesh","India",TRUE
"25","RT @News18MP:                 ","2018-07-27 18:19:51","TRUE","2","0","0","Health Care","Madhya Pradesh","India",TRUE
