"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-29 10:34:16","TRUE","14","0","-1","Health Care","Maharashtra","India",FALSE
"2","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-29 10:14:55","TRUE","14","0","-1","Health Care","Maharashtra","India",TRUE
"3","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-29 09:02:37","TRUE","14","0","-1","Health Care","Maharashtra","India",TRUE
"4","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-29 08:56:37","TRUE","14","0","0","Health Care","Maharashtra","India",TRUE
"5","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-29 08:11:24","TRUE","14","0","-1","Health Care","Maharashtra","India",TRUE
"6","*Swachhata Pakhwada-2018-2019*
*""Skill Se Sampurna Swachhata*{ Day-15} 29/7/2018 }
 Celebration By Jan Shikshan San  ","2018-07-29 08:06:18","FALSE","0","0","3","Health Care","Maharashtra","India",FALSE
"7","@narendramodi dear sir please do something for   in  if they go to hospital for medical em  ","2018-07-29 05:49:32","FALSE","0","0","1","Health Care","Maharashtra","India",FALSE
"8","RT @TimesNow: CM Devendra Fadnavis announced compensation of Rs four lakh for the kin of the deceased and also promised to bear the medical","2018-07-29 04:37:34","TRUE","1","0","1","Health Care","Maharashtra","India",FALSE
"9","CM Devendra Fadnavis announced compensation of Rs four lakh for the kin of the deceased and also promised to bear t  ","2018-07-29 04:30:00","FALSE","1","25","0","Health Care","Maharashtra","India",FALSE
"10","@vimalprakashdu4 @NeetFiles Eligibility decide karne ka rights MCI ne state director of medical education ko diya h  ","2018-07-28 18:54:35","FALSE","0","0","1","Health Care","Maharashtra","India",FALSE
"11","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 17:49:32","TRUE","14","0","1","Health Care","Maharashtra","India",TRUE
"12","@narendramodi Respected sir. Sir, We Temporary Asst Professors working Temporary since 4 yrs in Govt Medical Colle  ","2018-07-28 16:38:38","FALSE","0","1","-2","Health Care","Maharashtra","India",FALSE
"13","RT @timesofindia: JUSTIN | Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a","2018-07-28 16:18:35","TRUE","7","0","1","Health Care","Maharashtra","India",FALSE
"14","RT @apnnewsindia: Bombay HC upholds Maharashtra govt's state quota eligibility rules in 2018 for admissions to medical colleges under sta","2018-07-28 16:11:39","TRUE","15","0","0","Health Care","Maharashtra","India",FALSE
"15","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 15:50:30","TRUE","14","0","1","Health Care","Maharashtra","India",TRUE
"16","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 15:34:50","TRUE","14","0","1","Health Care","Maharashtra","India",TRUE
"17","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 15:31:47","TRUE","14","0","0","Health Care","Maharashtra","India",TRUE
"18","RT @Thinkerks: @BJP_ITCELL_Maha @Dev_Fadnavis @sambhajipatil77 @Pankajamunde @sujit_thakurmlc @SMungantiwar @ChDadaPatil @narendramodi @nit","2018-07-28 15:30:31","TRUE","2","0","1","Health Care","Maharashtra","India",FALSE
"19","Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mo  ","2018-07-28 15:26:06","FALSE","0","0","1","Health Care","Maharashtra","India",FALSE
"20","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 14:58:18","TRUE","14","0","0","Health Care","Maharashtra","India",TRUE
"21","RT @TOIMumbai: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain roa","2018-07-28 14:35:22","TRUE","2","0","0","Health Care","Maharashtra","India",FALSE
"22","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 13:51:55","TRUE","14","0","1","Health Care","Maharashtra","India",TRUE
"23","RT @ndtv: Maharashtra government announces ex-gratia of Rs. 4 lakh to the kin of all those killed in a bus accident after the bus fell dow","2018-07-28 13:50:40","TRUE","4","0","0","Health Care","Maharashtra","India",FALSE
"24","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 13:09:17","TRUE","14","0","1","Health Care","Maharashtra","India",TRUE
"25","RT @apnnewsindia: Maharashtra government announces an ex-gratia of Rs 4 lakh to the kin of those who died after a bus fell down a mountain","2018-07-28 13:05:34","TRUE","14","0","0","Health Care","Maharashtra","India",TRUE
