"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @wajid_joseph: @AndleebAbbas Its a very good news we want doctor Yasmin Rashid CM of punjab","2018-07-29 11:36:59","TRUE","1","0","-1","Health Care","Punjab","India",FALSE
"2","@AndleebAbbas Its a very good news we want doctor Yasmin Rashid CM of punjab","2018-07-29 11:29:09","FALSE","1","2","-1","Health Care","Punjab","India",FALSE
"3","Doctor Yasmeen Rashid is best for chief minister of punjab","2018-07-29 10:56:44","FALSE","0","1","-1","Health Care","Punjab","India",FALSE
"4","RT @Marufhussain21: @ImranKhanPTI @FaisalJavedKhan @AliHZaidiPTI @ChMSarwar @ShabazGil @iamhamzaabbasi 
@Dr_YasminRashid 
Doctor Yasmin Ras","2018-07-29 10:35:37","TRUE","1","0","0","Health Care","Punjab","India",FALSE
"5","@RanaMus19777153 @yaserhasankazmi @princesaedo @ABDULNA61030825 @Doctor_Sahiba @Hussain_NSharif Nothing to worry ab  ","2018-07-29 09:31:23","FALSE","0","2","-1","Health Care","Punjab","India",FALSE
"6","          
 ","2018-07-29 09:15:21","FALSE","0","0","3","Health Care","Punjab","India",FALSE
"7","       
 ","2018-07-29 09:13:24","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"8","Doctor S.K. BANSAL Neurosurgeon in Ludhiana Punjab India  ","2018-07-29 07:48:51","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"9","I think doctor Yasmin Rashid will be a best candidate for CM Punjab. She isn't involve in any scam and she is a tru  ","2018-07-29 07:13:13","FALSE","0","1","0","Health Care","Punjab","India",FALSE
"10","@AndleebAbbas totally agree ma'am, she a wonderful, educated and hard working lady, knowing problems of the area be  ","2018-07-29 05:59:47","FALSE","0","1","1","Health Care","Punjab","India",FALSE
"11","       

 ","2018-07-29 05:00:14","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"12","RT @AbvpDitt: ABVP            ","2018-07-29 04:45:37","TRUE","1","0","-2","Health Care","Punjab","India",FALSE
"13","@Shahidmasooddr Doctor sahab! Punjab ka kiya bany ga?","2018-07-29 01:03:08","FALSE","0","5","1","Health Care","Punjab","India",FALSE
"14","@naeemul_haque Ch Minister of Punjab should be a man of dominating good personality...should be tactful  intelligen  ","2018-07-28 21:52:55","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"15","As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chief Minister of Pu  ","2018-07-28 20:10:02","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"16","RT @HabibSulemani: @BhittaniKhannnn As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chief Mi","2018-07-28 19:54:39","TRUE","2","0","1","Health Care","Punjab","India",FALSE
"17","RT @HabibSulemani: @BhittaniKhannnn As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chief Mi","2018-07-28 19:49:46","TRUE","2","0","0","Health Care","Punjab","India",TRUE
"18","@BhittaniKhannnn As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chi  ","2018-07-28 19:45:22","FALSE","2","3","1","Health Care","Punjab","India",FALSE
"19","RT @Farrukh_Abbas12: Doctor Yasmeen Rashid to become CM Punjab. 

Huge if true. 

","2018-07-28 19:37:40","TRUE","5","0","1","Health Care","Punjab","India",FALSE
"20","@jang_akhbar We only want doctor yasmeen as CM Punjab.","2018-07-28 17:26:54","FALSE","0","1","0","Health Care","Punjab","India",FALSE
"21","@ArifAlvi Sir are you going to be health minister? Health minister should be a doctor. Plz solve problem of deficie  ","2018-07-28 16:13:04","FALSE","0","1","0","Health Care","Punjab","India",FALSE
"22","ASKBB5 BB except acting and singing in which field would you like to work? like doctor, engineer etc. And Plz come  ","2018-07-28 16:07:07","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"23","@Dr_YasminRashid should be Pakistan's new federal Health Minister. She is a doctor by profession and can reshape th  ","2018-07-28 15:36:31","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"24","RT @Asaddog80577361: Doctor Yasmeen Rashid is a best choice for C M Punjab","2018-07-28 15:30:50","TRUE","1","0","1","Health Care","Punjab","India",FALSE
"25","@AndleebAbbas No doubt she is brave kind and honest lady .my all best wishes are with u doctor Yasmin .really wana see u CM......punjab","2018-07-28 15:09:27","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"26","@anniesehar_1 @Dr_YasminRashid @ImranKhanPTI @AndleebAbbas But she told khan sab by kaha hy k Punjab assembly main  ","2018-07-28 14:43:43","FALSE","0","1","0","Health Care","Punjab","India",FALSE
"27","@Dr_YasminRashid is also another desering candidate for CM Puniab on reserve seat. She is a doctor n know the healt  ","2018-07-28 14:15:47","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"28","RT @khan_sarwat: @Dr_YasminRashid @ImranKhanPTI @AndleebAbbas U have to accept this offer mam we want to see first female CM of Punjab a wo","2018-07-28 13:35:58","TRUE","1","0","1","Health Care","Punjab","India",FALSE
"29","RT @KiranW_: This would be great for Punjab. Imagine the initiatives YasmeenRashid, being a doctor herself, can introduce for the betterme","2018-07-28 13:21:55","TRUE","1","0","1","Health Care","Punjab","India",FALSE
"30","@Dr_YasminRashid @ImranKhanPTI @AndleebAbbas U have to accept this offer mam we want to see first female CM of Punjab a working doctor .","2018-07-28 13:14:20","FALSE","1","22","1","Health Care","Punjab","India",FALSE
"31","This would be great for Punjab. Imagine the initiatives YasmeenRashid, being a doctor herself, can introduce for t  ","2018-07-28 12:30:27","FALSE","1","7","1","Health Care","Punjab","India",FALSE
"32","Doctor Yasmeen Rashid is a best choice for C M Punjab","2018-07-28 12:01:42","FALSE","1","0","0","Health Care","Punjab","India",FALSE
"33","@theRealYLH @AmberRShamsi If she becomes the CM Punjab, it'd be fascinating to see a lady doctor from a non-politic  ","2018-07-28 11:59:37","FALSE","0","3","0","Health Care","Punjab","India",FALSE
"34","@ImranKhanPTI @FaisalJavedKhan @AliHZaidiPTI @ChMSarwar @ShabazGil @iamhamzaabbasi 
@Dr_YasminRashid 
Doctor Yasmin  ","2018-07-28 11:44:15","FALSE","1","1","0","Health Care","Punjab","India",FALSE
"35","RT @Farrukh_Abbas12: Doctor Yasmeen Rashid to become CM Punjab. 

Huge if true. 

","2018-07-28 11:36:04","TRUE","5","0","0","Health Care","Punjab","India",TRUE
"36","@DunyaNews I am not a Pti supporter but this lady is a professional doctor and she has ability to  lead the Punjab.","2018-07-28 11:22:21","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"37","@PTIOfficialLHR @Dr_YasminRashid Bohat duk howa madam apky haarny pa but now inshallah cm punjab doctor YASMEEN","2018-07-28 11:12:24","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"38","RT @Farrukh_Abbas12: Doctor Yasmeen Rashid to become CM Punjab. 

Huge if true. 

","2018-07-28 11:10:30","TRUE","5","0","-2","Health Care","Punjab","India",TRUE
"39","RT @Farrukh_Abbas12: Doctor Yasmeen Rashid to become CM Punjab. 

Huge if true. 

","2018-07-28 10:46:56","TRUE","5","0","0","Health Care","Punjab","India",TRUE
"40","RT @Farrukh_Abbas12: Doctor Yasmeen Rashid to become CM Punjab. 

Huge if true. 

","2018-07-28 10:45:44","TRUE","5","0","0","Health Care","Punjab","India",TRUE
"41","Doctor Yasmeen Rashid to become CM Punjab. 

Huge if true. 

","2018-07-28 10:38:40","FALSE","5","45","0","Health Care","Punjab","India",FALSE
"42","Doctor Yasmin Rashid might be the next chief minister of Punjab
Imran khan has called her and asked her to come to  ","2018-07-28 09:04:10","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"43","Convicted Nawaz Sharif Personal Doctor Kicked Out From Punjab House, 
Neo TV Network.

 ","2018-07-28 08:37:43","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"44","@HamidMirPAK Doctor sahiba ko governor punjab to bana sakte hain naa...","2018-07-28 08:21:29","FALSE","0","0","-1","Health Care","Punjab","India",FALSE
"45","Doctor Yasmin Rashid might be the next chief minister of Punjab.
Imran khan has called her and asked her to come to  ","2018-07-28 07:35:16","FALSE","0","2","0","Health Care","Punjab","India",FALSE
"46","Consultant - Cardiologist - DNB/DM - Multi/Super Speciality Hospital - North India (0-10 yrs) Punjab/UP/Jalandhar/Meerut (Doctor)...","2018-07-28 03:07:26","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"47","RT @Abidin_Xain: Waisy Im happy that Yasmin Rashid lost. She had been pivotal in obstructing medical facilities to poor patients of Punjab","2018-07-27 19:39:19","TRUE","17","0","0","Health Care","Punjab","India",FALSE
"48","@Sam_Jags @ranjanp_indian @ZeeScorpio @Doctor_Sahiba @afghanfarzana1 @javerias @chintskap Kashmir for Kashmiris, Ta  ","2018-07-27 17:45:31","FALSE","0","1","0","Health Care","Punjab","India",FALSE
"49","RT @Abidin_Xain: Waisy Im happy that Yasmin Rashid lost. She had been pivotal in obstructing medical facilities to poor patients of Punjab","2018-07-27 17:22:37","TRUE","17","0","0","Health Care","Punjab","India",TRUE
"50","Picking Fawad over Dr. Yasmin now as opposed to my earlier stance is realizing that being a topnotch doctor herself  ","2018-07-27 16:41:25","FALSE","0","4","0","Health Care","Punjab","India",FALSE
"51","ABVP            ","2018-07-27 16:36:33","FALSE","1","5","0","Health Care","Punjab","India",FALSE
"52","RT @NavazMalik: Yes @Dr_YasminRashid is a true face of ImranKhan and Naya Pakistan brand. If she becomes Chief Minister of Punjab just ima","2018-07-27 15:24:22","TRUE","6","0","1","Health Care","Punjab","India",FALSE
"53","RT @MadihaAbidAli: A big change in Punjab companies after ElectionPakistan2018, all officers who used to get high salaries, will get pays","2018-07-27 15:21:49","TRUE","223","0","1","Health Care","Punjab","India",FALSE
"54","@HniaziISF @javerias @Dr_YasminRashid @ChMSarwar @Asad_Umar @ArifAlvi @zubairniazi @HamidMirPAK @Xadeejournalist  ","2018-07-27 15:05:58","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"55","If it is true that Pakistans soon to be Prime minister Imran Khan &amp; PTI thinking &amp; considering Doctor Yasmin Rashi  ","2018-07-27 14:14:00","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"56","@ImranKhanPTI  doctor yasmeen rashid for cm punjab????? o khan sahab luvv uuu","2018-07-27 14:10:28","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"57","RT @NavazMalik: Yes @Dr_YasminRashid is a true face of ImranKhan and Naya Pakistan brand. If she becomes Chief Minister of Punjab just ima","2018-07-27 14:09:39","TRUE","6","0","0","Health Care","Punjab","India",TRUE
