"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@DunyaNews 2great sadiq &amp; ameen catching Mpas of Punjab with air ambulance of pti to form govt. In Punjab.","2018-07-29 04:07:13","FALSE","0","0","-1","Health Care","Punjab","India",FALSE
"2","Punjab Govt. isn't fulfilling their commitments.Patiala Sirhind Highway Near Landran Chownk leads to traffic jam of  ","2018-07-28 10:03:00","FALSE","0","0","-1","Health Care","Punjab","India",FALSE
"3","@dailyajitnews Punjab Govt. isn't fulfilling their commitments.Patiala Sirhind Highway Near Landran Chownk leads to  ","2018-07-28 09:56:25","FALSE","0","0","-1","Health Care","Punjab","India",FALSE
"4","Punjab Govt. isn't fulfilling their commitments.Patiala Sirhind Highway Near Landran Chownk leads to traffic jam of  ","2018-07-28 08:01:10","FALSE","0","0","0","Health Care","Punjab","India",TRUE
"5","@sanasumbalmajed @moaxamqureshi No takay Punjab ki halat again choro kay hatho may chala jae so No sirf unho nay am  ","2018-07-28 07:32:13","FALSE","0","0","-1","Health Care","Punjab","India",FALSE
"6","RT @irmnchnp: Rural Ambulance Service at your door step: Please call 1034 in case of pregnancy relate emergency.
@GovtOfPunjab @PSHDept @Dg","2018-07-28 07:24:49","TRUE","2","0","3","Health Care","Punjab","India",FALSE
"7","RT @irmnchnp: Rural Ambulance Service at your door step: Please call 1034 in case of pregnancy relate emergency.
@GovtOfPunjab @PSHDept @Dg","2018-07-25 05:30:33","TRUE","2","0","1","Health Care","Punjab","India",TRUE
"8","RT @ZainabNaeem7: . @etribune (30th September 2017) says that looking at the traffic congestion, the Punjab chief minister launched a motor","2018-07-24 11:49:12","TRUE","4","0","1","Health Care","Punjab","India",FALSE
"9","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 09:06:51","TRUE","6","0","0","Health Care","Punjab","India",FALSE
"10","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-24 09:05:15","TRUE","51","0","1","Health Care","Punjab","India",FALSE
"11","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 07:01:14","TRUE","6","0","1","Health Care","Punjab","India",TRUE
"12","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 06:51:57","TRUE","6","0","-2","Health Care","Punjab","India",TRUE
"13","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 06:44:31","TRUE","6","0","1","Health Care","Punjab","India",TRUE
"14","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 06:28:27","TRUE","6","0","0","Health Care","Punjab","India",TRUE
"15","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 06:19:54","TRUE","6","0","1","Health Care","Punjab","India",TRUE
"16","Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 06:12:08","FALSE","6","7","1","Health Care","Punjab","India",FALSE
"17","Rural Ambulance Service at your door step: Please call 1034 in case of pregnancy relate emergency.
@GovtOfPunjab  ","2018-07-24 05:29:34","FALSE","2","3","0","Health Care","Punjab","India",FALSE
"18","RT @ZainabNaeem7: . @etribune (30th September 2017) says that looking at the traffic congestion, the Punjab chief minister launched a motor","2018-07-24 04:54:40","TRUE","4","0","1","Health Care","Punjab","India",TRUE
"19","Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-24 03:30:00","FALSE","0","1","1","Health Care","Punjab","India",TRUE
"20","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-23 22:44:03","TRUE","1","0","0","Health Care","Punjab","India",TRUE
"21","RT @HTPunjab: Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-23 22:42:12","TRUE","1","0","0","Health Care","Punjab","India",TRUE
"22","kuch din pehli khan pur punjab mien mere ambulance rokegaie jis mien patient t tha ambulance ko roka  or boli kharc  ","2018-07-23 20:35:00","FALSE","0","0","1","Health Care","Punjab","India",FALSE
"23","RT @Eligible_Guy: The condition of zirakpur, punjab in just an hour of rain. Life is hard, but, such situations make it harder. I often p","2018-07-23 19:50:41","TRUE","1","0","0","Health Care","Punjab","India",FALSE
"24","RT @htTweets: Newborn dies after ambulance driver leaves mother, infant on road outside hospital  ","2018-07-23 17:43:17","TRUE","2","0","1","Health Care","Punjab","India",FALSE
"25","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-23 17:07:30","TRUE","51","0","0","Health Care","Punjab","India",TRUE
"26","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-23 17:02:56","TRUE","51","0","0","Health Care","Punjab","India",TRUE
"27","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-23 17:00:26","TRUE","51","0","1","Health Care","Punjab","India",TRUE
"28","RT @ZainabNaeem7: . @etribune (30th September 2017) says that looking at the traffic congestion, the Punjab chief minister launched a motor","2018-07-23 16:15:09","TRUE","4","0","1","Health Care","Punjab","India",TRUE
"29","RT @ZainabNaeem7: . @etribune (30th September 2017) says that looking at the traffic congestion, the Punjab chief minister launched a motor","2018-07-23 16:14:10","TRUE","4","0","1","Health Care","Punjab","India",TRUE
"30",". @etribune (30th September 2017) says that looking at the traffic congestion, the Punjab chief minister launched a  ","2018-07-23 16:11:05","FALSE","4","3","1","Health Care","Punjab","India",FALSE
"31","The condition of zirakpur, punjab in just an hour of rain. Life is hard, but, such situations make it harder. I o  ","2018-07-23 14:47:04","FALSE","1","2","1","Health Care","Punjab","India",FALSE
"32","Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-23 14:21:00","FALSE","1","0","0","Health Care","Punjab","India",TRUE
"33","@RahulGandhi Congress governed punjab

 ","2018-07-23 08:29:37","FALSE","0","0","0","Health Care","Punjab","India",FALSE
"34","Newborn dies after ambulance driver leaves mother, infant on road outside hospital
 ","2018-07-23 07:12:22","FALSE","1","2","0","Health Care","Punjab","India",TRUE
"35","RT @htTweets: Newborn dies after ambulance driver leaves mother, infant on road outside hospital  ","2018-07-23 07:08:35","TRUE","2","0","0","Health Care","Punjab","India",TRUE
"36","Newborn dies after ambulance driver leaves mother, infant on road outside hospital  ","2018-07-23 07:07:12","FALSE","2","6","1","Health Care","Punjab","India",FALSE
"37","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-23 00:27:33","TRUE","51","0","0","Health Care","Punjab","India",TRUE
"38","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-22 22:33:24","TRUE","51","0","-2","Health Care","Punjab","India",TRUE
"39","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-22 21:30:17","TRUE","51","0","0","Health Care","Punjab","India",TRUE
"40","RT @Omaroglu_: 150 New and Upgraded Hospitals

State of the Art Punjab Kidney &amp; Liver Institute (PKLI)

Recruitment of 13000 Doctors &amp; Nurs","2018-07-22 21:01:12","TRUE","51","0","0","Health Care","Punjab","India",TRUE
