"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Concerned about the irregularities in West Bengal Medical Council election.Doctors are receiving envelops empty No ballot paper inside.","2018-07-29 16:19:24","FALSE","0","0","-1","Health Care","West Bengal","India",FALSE
"2","@PritishNandy @MamataOfficial Why are you feeling so laid down or trying to comprehend some underlying cause ? Why  ","2018-07-29 16:17:04","FALSE","0","0","-1","Health Care","West Bengal","India",FALSE
"3","Associate Professor - Ophthalmology - MD - Hospital (5-10 yrs) Durgapur/West Bengal (Medical Faculty)...","2018-07-29 15:09:06","FALSE","0","0","-1","Health Care","West Bengal","India",FALSE
"4","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-29 09:10:19","TRUE","22","0","0","Health Care","West Bengal","India",FALSE
"5","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-29 07:11:38","TRUE","22","0","-1","Health Care","West Bengal","India",TRUE
"6","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-29 06:46:02","TRUE","22","0","3","Health Care","West Bengal","India",TRUE
"7","Smile Education Consultancy Helpline 9903-033-033
4 Lake West Road,
Arambagh Food Mart Building (3rd Floor),
(Near  ","2018-07-29 06:37:37","FALSE","0","1","1","Health Care","West Bengal","India",FALSE
"8","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-29 05:42:13","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"9","RT @arin_chanda: NEET2018
Colleges in West Bengal starting from 1st August. Are medical students expected to study or be tensed with couns","2018-07-29 05:06:46","TRUE","2","0","0","Health Care","West Bengal","India",FALSE
"10","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-29 03:57:40","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"11","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-29 01:32:45","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"12","RT @arin_chanda: NEET2018
Colleges in West Bengal starting from 1st August. Are medical students expected to study or be tensed with couns","2018-07-28 19:08:11","TRUE","2","0","-2","Health Care","West Bengal","India",TRUE
"13","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 18:03:41","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"14","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 17:30:48","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"15","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 17:30:27","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"16","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 17:26:26","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"17","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 17:24:00","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"18","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 16:38:48","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"19","NEET2018
Colleges in West Bengal starting from 1st August. Are medical students expected to study or be tensed wit  ","2018-07-28 16:16:38","FALSE","2","4","1","Health Care","West Bengal","India",FALSE
"20","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 14:23:18","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"21","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 14:00:02","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"22","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:50:11","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"23","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:41:59","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"24","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:40:51","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"25","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:38:56","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"26","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:38:51","TRUE","22","0","0","Health Care","West Bengal","India",TRUE
"27","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:38:10","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"28","RT @Satyanewshi: Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA SABHA","2018-07-28 13:37:49","TRUE","22","0","1","Health Care","West Bengal","India",TRUE
"29","Farce of West Bengal  Medical Council elections - empty envelopes, misspelled names and addresses.  TRINAMOOL RAJYA  ","2018-07-28 13:36:04","FALSE","22","17","1","Health Care","West Bengal","India",FALSE
"30","     ","2018-07-27 16:21:03","FALSE","0","0","1","Health Care","West Bengal","India",FALSE
"31","Halt time of East coast train @ Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 mins &amp; not s  ","2018-07-26 20:07:42","FALSE","0","0","1","Health Care","West Bengal","India",FALSE
"32","@RailMinIndia Halt time of East coast at Sec'bd station should be atleast 15-20 minutes. Hardly stops for 5 - 7 min  ","2018-07-26 20:04:15","FALSE","0","0","0","Health Care","West Bengal","India",FALSE
"33"," ","2018-07-26 15:14:34","FALSE","0","1","0","Health Care","West Bengal","India",FALSE
"34","RT @SUNDARmyth: Secular India*Brand West Bengal*
Trinamool Congress is trying to manipulate the upcoming election in West Bengal Medical","2018-07-26 11:09:35","TRUE","6","0","0","Health Care","West Bengal","India",FALSE
"35","RT @SUNDARmyth: Secular India*Brand West Bengal*
Trinamool Congress is trying to manipulate the upcoming election in West Bengal Medical","2018-07-26 09:03:13","TRUE","6","0","0","Health Care","West Bengal","India",TRUE
"36","The West Bengal Medical Council Election is plagued with irregular and non-transparent activities-an act of commiss  ","2018-07-26 06:40:21","FALSE","1","1","1","Health Care","West Bengal","India",FALSE
"37","RT @SUNDARmyth: Secular India*Brand West Bengal*
Trinamool Congress is trying to manipulate the upcoming election in West Bengal Medical","2018-07-26 04:52:00","TRUE","6","0","0","Health Care","West Bengal","India",TRUE
"38","RT @basak_basab: LeftWillResist Progressive students &amp; civil society members celebrating victory of the maverick fight of the Calcutta Med","2018-07-26 02:52:50","TRUE","5","0","-2","Health Care","West Bengal","India",FALSE
