"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-28 12:40:24","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",FALSE
"2","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-28 11:13:01","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",FALSE
"3","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-28 04:41:27","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"4","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-27 16:37:18","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"5","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-27 14:01:26","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"6","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-27 00:42:06","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"7","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-26 11:20:13","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"8","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-26 01:53:39","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"9","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-26 01:46:28","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"10","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 18:44:54","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"11","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 17:42:41","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"12","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 16:57:02","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"13","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 16:07:43","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"14","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 14:58:17","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"15","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 14:34:33","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"16","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 14:24:49","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"17","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 14:22:16","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"18","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 13:23:25","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"19","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 12:51:09","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"20","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 12:44:23","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"21","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 12:44:00","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"22","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 12:40:48","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"23","RT @PemaKhanduBJP: Launched a web portal  ","2018-07-25 12:39:28","TRUE","18","0","0","HealthCare","Arunachal Pradesh","India",TRUE
"24","Launched a web portal  ","2018-07-25 12:39:14","FALSE","18","59","0","HealthCare","Arunachal Pradesh","India",FALSE
"25","RT @ArunachalNhm: Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya swasthy","2018-07-25 09:58:50","TRUE","6","0","1","HealthCare","Arunachal Pradesh","India",TRUE
"26","Glimpse of Soft launch of Chief Minister Arogya Arunachal Yojna CMAAY &amp; Ayushman Bharat Pradhan Mantri Rashtriya s  ","2018-07-25 09:16:58","FALSE","6","10","1","HealthCare","Arunachal Pradesh","India",FALSE
