"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @thewire_in: Pregnant women are unable to easily access medicines and nutritional supplements which are due to them under various govern","2018-07-28 18:34:01","TRUE","30","0","-1","Health","Assam","India",FALSE
"2","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:23:39","TRUE","4","0","0","Health","Assam","India",FALSE
"3","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:22:24","TRUE","4","0","0","Health","Assam","India",TRUE
"4","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:14:13","TRUE","4","0","0","Health","Assam","India",TRUE
"5","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:13:02","TRUE","4","0","0","Health","Assam","India",TRUE
"6","At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospita  ","2018-07-28 18:11:11","FALSE","4","4","0","Health","Assam","India",FALSE
"7","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 17:36:21","TRUE","4","0","-1","Health","Assam","India",FALSE
"8","Executive Member of Public Health Engineering of Basic Training Centre Launches Swachh Survekshan Grameen in Kokraj  ","2018-07-28 11:07:11","FALSE","0","0","0","Health","Assam","India",FALSE
"9","RT @pratidintime: PRATIDIN EXCLUSIVE | Bacteria infected delivery kit supplied to government hospital in Assam; Itas G pharma continue to l","2018-07-28 09:30:34","TRUE","2","0","-1","Health","Assam","India",FALSE
"10","RT @nanglucky: Today Sri Shripad Yesso Naik, Hon'ble Union MoS(Independent), Ministry of AYUSH,GoI laid foundation stone of 'Canteen &amp; Gues","2018-07-28 08:38:37","TRUE","2","0","0","Health","Assam","India",FALSE
"11","RT @nanglucky: Today Sri Shripad Yesso Naik, Hon'ble Union MoS(Independent), Ministry of AYUSH,GoI laid foundation stone of 'Canteen &amp; Gues","2018-07-28 06:28:41","TRUE","2","0","0","Health","Assam","India",TRUE
"12","Jaise achi sehat k liye health khana sahi hai, investments k liye Mutual Funds sahi hai.
For best investment advice  ","2018-07-28 06:28:14","FALSE","0","0","1","Health","Assam","India",FALSE
"13","Today Sri Shripad Yesso Naik, Hon'ble Union MoS(Independent), Ministry of AYUSH,GoI laid foundation stone of 'Cante  ","2018-07-28 06:21:59","FALSE","2","13","0","Health","Assam","India",FALSE
"14","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 05:52:46","TRUE","4","0","-1","Health","Assam","India",TRUE
"15","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 05:48:57","TRUE","4","0","-1","Health","Assam","India",TRUE
"16","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 05:36:53","TRUE","4","0","-1","Health","Assam","India",TRUE
"17","People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health  ","2018-07-28 05:16:17","FALSE","4","12","-1","Health","Assam","India",FALSE
"18","@arijit135 You cherry pick lol. Didn't u see my RT on Assam lynching or death of kids in Del. Blind faith, rooted i  ","2018-07-27 19:44:40","FALSE","0","1","-1","Health","Assam","India",FALSE
"19","RT @pratidintime: PRATIDIN EXCLUSIVE | Bacteria infected delivery kit supplied to government hospital in Assam; Itas G pharma continue to l","2018-07-27 15:36:38","TRUE","2","0","-1","Health","Assam","India",TRUE
"20","PRATIDIN EXCLUSIVE | Bacteria infected delivery kit supplied to government hospital in Assam; Itas G pharma continu  ","2018-07-27 15:19:37","FALSE","2","2","-1","Health","Assam","India",FALSE
"21","RT @hayatghy: Your well being is our priority. Which is why at Hayat Heart Centre, its our sincere attempt to make exceptional cardiac trea","2018-07-27 13:45:37","TRUE","1","0","3","Health","Assam","India",FALSE
"22","Your well being is our priority. Which is why at Hayat Heart Centre, its our sincere attempt to make exceptional ca  ","2018-07-27 12:37:18","FALSE","1","0","3","Health","Assam","India",FALSE
"23","InDepth | PRANAM Act to come into force from Oct 2, announces Assam Finance &amp; Health Minister @himantabiswa  ","2018-07-27 11:33:40","FALSE","0","1","0","Health","Assam","India",FALSE
"24","Chief Ministers Arogya Arunachal Yojana (CMAAY) to replace Chief Minister Universal Health Insurance Scheme (CMUHI  ","2018-07-27 07:24:05","FALSE","0","0","0","Health","Assam","India",FALSE
"25","RT @BizResponsible: Maternal mortality burden on Adivasi workers in Assam tea plantations: Report  ","2018-07-27 06:51:29","TRUE","1","0","-1","Health","Assam","India",FALSE
"26","Maternal mortality burden on Adivasi workers in Assam tea plantations: Report  ","2018-07-27 06:06:00","FALSE","1","1","-1","Health","Assam","India",FALSE
"27"," ","2018-07-27 05:56:57","FALSE","0","0","0","Health","Assam","India",FALSE
"28","An Awareness Program on mental health &amp; tuberculosis @ Assam Lingzey SS School organized by Assam Lingzey GPU &amp; SIR  ","2018-07-26 13:01:40","FALSE","0","2","0","Health","Assam","India",FALSE
"29","Assamjob National Health Mission, Assam Recruitment 2018 : Consultant/ Manager/ Hospital Administrator [28 Posts]  ","2018-07-26 12:41:29","FALSE","0","0","0","Health","Assam","India",FALSE
"30","@himantabiswa 100 bed Homoeopathic Hospital of Govt Homoeopathic Medical College inaugurated by honourable health m  ","2018-07-26 09:16:57","FALSE","0","0","0","Health","Assam","India",FALSE
"31","100 bed Homoeopathic Hospital of Govt Homoeopathic Medical College inaugurated by honourable health minister Ramesh  ","2018-07-26 09:02:11","FALSE","0","0","0","Health","Assam","India",FALSE
"32","Meghalaya CM Conrad K Sangma Emphasized for Upgrading Skills of Health Workers
ImprovementofHealthSector  ","2018-07-26 08:58:34","FALSE","0","2","0","Health","Assam","India",FALSE
