"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:23:39","TRUE","4","0","0","Health","Assam","India",FALSE
"2","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:22:24","TRUE","4","0","0","Health","Assam","India",TRUE
"3","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:14:13","TRUE","4","0","0","Health","Assam","India",TRUE
"4","RT @ripunbora: At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospital to enqu","2018-07-28 18:13:02","TRUE","4","0","0","Health","Assam","India",TRUE
"5","At the end of the day Sri @harishrawatcmuk ji General Secretary AICC incharge Assam PCC visited Health City Hospita  ","2018-07-28 18:11:11","FALSE","4","4","0","Health","Assam","India",FALSE
"6","@Jitumoni28 @guwahatiplus @MoHFW_INDIA @JPNadda @himantabiswa @sarbanandsonwal @Pijush_hazarika What happened to th  ","2018-07-28 16:01:58","FALSE","0","0","0","Health","Assam","India",FALSE
"7","RT @BloodAid: Dibrugarh Assam Need O+ blood @ Assam Medical College Hospital, children's ward. Call 6000452528 BloodAid via @phukan_abh","2018-07-28 15:05:19","TRUE","29","0","0","Health","Assam","India",FALSE
"8","RT @BloodAid: Dibrugarh Assam Need O+ blood @ Assam Medical College Hospital, children's ward. Call 6000452528 BloodAid via @phukan_abh","2018-07-28 11:14:20","TRUE","29","0","0","Health","Assam","India",TRUE
"9","RT @Dipankar_cpiml: Comrade DP Bakshi (70), senior leader of @cpimlliberation passed away early this morning in Kolkata SSKM hospital. Sinc","2018-07-28 10:14:01","TRUE","46","0","0","Health","Assam","India",FALSE
"10","RT @BloodAid: Dibrugarh Assam Need O+ blood @ Assam Medical College Hospital, children's ward. Call 6000452528 BloodAid via @phukan_abh","2018-07-28 09:32:14","TRUE","29","0","0","Health","Assam","India",TRUE
