State/UT Code,India/State/Union Territory #,Total population,Hospitals,Area
35,A & N Islands,379944,144,8249
28,Andhra Pradesh,84665533,18932,"1,60,205"
12,Arunachal Pradesh,1382611,432,83743
18,Assam,31169272,5106,78438
10,Bihar,103804637,10532,94163
4,Chandigarh #,1054686,63,114
22,Chhattisgarh,25540196,6270,135191
26,Dadra & Nagar Haveli,342853,84,491
25,Daman & Diu,242911,34,112
7,Delhi,16753235,767,11297
30,Goa,1457723,253,3702
24,Gujarat,60383628,10596,196024
6,Haryana,25353081,3382,44212
2,Himachal Pradesh,6856509,2747,55673
1,Jammu & Kashmir,12548926,3388,222236
20,Jharkhand,32966238,4419,79714
29,Karnataka,61130704,12192,191791
32,Kerala,33387677,7053,38863
31,Lakshadweep,64429,20,32
23,Madhya Pradesh,72597565,12964,308245
27,Maharashtra,112372972,13760,307713
14,Manipur,2721756,529,22327
17,Meghalaya,2964007,633,22429
15,Mizoram,1091014,453,21081
13,Nagaland,1980602,534,16579
21,Orissa,41947358,8432,155707
34,Puducherry,1244464,133,479
3,Punjab,27704236,3704,50362
8,Rajasthan,68621012,16538,342239
11,Sikkim,607688,184,7096
33,Tamil Nadu,72138958,11292,130058
16,Tripura,3671032,1153,114840
9,Uttar Pradesh,199581477,24136,240928
5,Uttarakhand,10116752,21826,53438
19,West Bengal,91347736,11698,88752
