STATNAME,OVERALL_LITERACY RATE,FEMALE_LITERACY RATE,MALE_LITERACY RATE
A & N ISLANDS,86.27,81.84,90.11
ANDHRA PRADESH,67.66,59.74,75.56
ARUNACHAL PRADESH,66.95,59.57,73.69
ASSAM,73.18,67.27,78.81
BIHAR,63.82,53.33,73.39
CHANDIGARH,86.43,81.38,90.54
CHHATTISGARH,71.04,60.59,81.45
DADRA & NAGAR HAVELI,77.65,65.93,86.46
DAMAN & DIU,87.07,79.59,91.48
DELHI,86.34,80.93,91.03
GOA,87.4,81.84,92.81
GUJARAT,79.31,70.73,87.23
HARYANA,76.64,66.77,85.38
HIMACHAL PRADESH,83.78,76.6,90.83
JAMMU & KASHMIR,68.74,58.01,78.26
JHARKHAND,67.63,56.21,78.45
KARNATAKA,75.6,68.13,82.85
KERALA,93.91,91.98,96.02
LAKSHADWEEP,92.28,88.25,96.11
MADHYA PRADESH,70.63,60.02,80.53
MAHARASHTRA,82.91,75.48,89.82
MANIPUR,79.85,73.17,86.49
MEGHALAYA,75.48,73.78,77.17
MIZORAM,91.58,89.4,93.72
NAGALAND,80.11,76.69,83.29
ODISHA,73.45,64.36,82.4
PUDUCHERRY,86.55,81.22,92.12
PUNJAB,76.68,71.34,81.48
RAJASTHAN,67.06,52.66,80.51
SIKKIM,82.2,76.43,87.29
TAMIL NADU,80.3,73.86,86.81
TELANGANA,66.46,57.92,74.95
TRIPURA,87.75,83.15,92.18
UTTAR PRADESH,69.72,59.26,79.24
UTTARAKHAND,79.63,70.7,88.33
WEST BENGAL,77.08,71.16,82.67
