SUBDIVISION,YEAR,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,,,,,,
ANDAMAN & NICOBAR ISLANDS,1901,3373.2,136.3,560.3,1696.3,980.3,,,,,,
ANDAMAN & NICOBAR ISLANDS,1902,3520.7,159.8,458.3,2185.9,716.7,,,,,,
ANDAMAN & NICOBAR ISLANDS,1903,2957.4,156.7,236.1,1874,690.6,,,,,,
ANDAMAN & NICOBAR ISLANDS,1904,3079.6,24.1,506.9,1977.6,571,,,,,,
ANDAMAN & NICOBAR ISLANDS,1905,2566.7,1.3,309.7,1624.9,630.8,,,,,,
ANDAMAN & NICOBAR ISLANDS,1906,2534.4,36.6,556.1,1465.8,475.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1907,3347.9,110.7,751.2,1327.1,1158.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1908,3576.4,106,591,2303.7,575.7,,,,,,
ANDAMAN & NICOBAR ISLANDS,1910,2899.4,49.3,520.1,1701,629,,,,,,
ANDAMAN & NICOBAR ISLANDS,1911,2687.2,8.4,449.8,1553.6,675.4,,,,,,
ANDAMAN & NICOBAR ISLANDS,1912,2960.5,584.5,162.6,1775.2,438.2,,,,,,
ANDAMAN & NICOBAR ISLANDS,1913,2365.8,85.3,194.5,1596.7,489.3,,,,,,
ANDAMAN & NICOBAR ISLANDS,1914,2957.8,0,336.5,2007.4,613.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1915,2741.3,101.7,244.4,1350.7,1044.5,,,,,,
ANDAMAN & NICOBAR ISLANDS,1916,2937.5,0,487.9,1753.6,696,,,,,,
ANDAMAN & NICOBAR ISLANDS,1917,2612.4,11.6,412.4,1605.1,583.3,,,,,,
ANDAMAN & NICOBAR ISLANDS,1918,3275,84.3,751.4,1670.4,768.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1919,2352.1,28.2,319.4,1219.5,785,,,,,,
ANDAMAN & NICOBAR ISLANDS,1920,2943.2,129.7,253.5,1814.1,745.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1921,2606.4,16.3,388.7,1681,520.4,,,,,,
ANDAMAN & NICOBAR ISLANDS,1922,3554.2,279.6,628.4,1751,895.2,,,,,,
ANDAMAN & NICOBAR ISLANDS,1923,NA,79.5,NA,2188,399.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1924,NA,28.7,295.7,1296.6,NA,,,,,,
ANDAMAN & NICOBAR ISLANDS,1925,2480.5,36.6,341.2,1385.7,717,,,,,,
ANDAMAN & NICOBAR ISLANDS,1926,3282.2,122.1,198.9,1808.3,1152.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1927,2442.9,20.5,630.5,1124.8,667.1,,,,,,
ANDAMAN & NICOBAR ISLANDS,1928,2998.3,118.5,709.5,1612.8,557.5,,,,,,
ANDAMAN & NICOBAR ISLANDS,1929,2926.6,192.6,515.6,1540.4,678,,,,,,
ANDAMAN & NICOBAR ISLANDS,1930,3075.1,192.8,373.6,1975.4,533.3,,,,,,
ANDAMAN & NICOBAR ISLANDS,1931,2357.7,25.3,210.4,1548.2,573.8,,,,,,
ANDAMAN & NICOBAR ISLANDS,1932,NA,5.3,548,NA,NA,,,,,,
ANDAMAN & NICOBAR ISLANDS,1933,2987.5,16.2,431.9,1973.9,565.5,,,,,,
ANDAMAN & NICOBAR ISLANDS,1934,3722.8,180.2,200.3,2717.9,624.4,,,,,,
ANDAMAN & NICOBAR ISLANDS,1935,3154,6.6,860.9,1733.3,553.2,,,,,,
ANDAMAN & NICOBAR ISLANDS,1936,NA,31.8,NA,2109.8,586.3,,,,,,
ANDAMAN & NICOBAR ISLANDS,1937,3591.1,32.3,442.5,1863.8,1252.5,,,,,,
ANDAMAN & NICOBAR ISLANDS,1938,3264.4,70.6,521,1930.6,742.2,,,,,,
ANDAMAN & NICOBAR ISLANDS,1939,2782.5,55.6,573.9,1591.9,561.1,,,,,,
ANDAMAN & NICOBAR ISLANDS,1940,3007.5,3.3,380.1,1970.2,653.9,,,,,,
ANDAMAN & NICOBAR ISLANDS,1941,2898.2,12.8,329.7,1627.4,928.3,,,,,,
ANDAMAN & NICOBAR ISLANDS,1942,NA,46.6,NA,NA,NA,,,,,,
ANDAMAN & NICOBAR ISLANDS,1946,2791.6,88,465.4,1570.6,667.6,,,,,,
