"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@INOXSupport Kindly expand your screen in Darbhanga (Bihar).Movie goers are hungry for a best cinema experience.The  ","2018-07-28 04:35:36","FALSE","0","0","2","Transportation","Bihar","India",FALSE
"2","@sureshpprabhu What about Darbhanga airport Bihar","2018-07-28 01:56:37","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"3","@sureshpprabhu And Bihar government failed even to have third airport. In whole Bihar there is only 2 and in worst condition.","2018-07-27 16:27:44","FALSE","0","0","-2","Transportation","Bihar","India",FALSE
"4","@sureshpprabhu Disappointed on union govt's vision for Ind as a nation. I see govt in Delhi is govt of Maharashtra.  ","2018-07-27 13:12:58","FALSE","0","1","-1","Transportation","Bihar","India",FALSE
"5","RT @GabbbarSingh: I grew up in Laalu's Bihar

When Laalu's daughter was getting married in Patna, Laalu's brother in law Sadhu yadav forcef","2018-07-25 17:04:40","TRUE","11150","0","0","Transportation","Bihar","India",FALSE
"6","RT @GabbbarSingh: I grew up in Laalu's Bihar

When Laalu's daughter was getting married in Patna, Laalu's brother in law Sadhu yadav forcef","2018-07-25 13:31:29","TRUE","11150","0","0","Transportation","Bihar","India",TRUE
"7","@sureshpprabhu Sir muzaffarpur is a biggest city of north bihar and also big commercial hub so why do you ignore mu  ","2018-07-25 05:21:25","FALSE","0","0","-1","Transportation","Bihar","India",FALSE
"8","@Bihar_BJP  Dear Sir Please let us know when will Sabiyah airstrip and saran airport will be operational","2018-07-25 02:56:47","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"9","RT @kryadav_vishal: Patna airport se utr kr helicopter se bihar me khi jana kitna asan hota hai kbhi aam admi ki trh bus me gandhi setu par","2018-07-24 23:52:17","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"10","Patna airport se utr kr helicopter se bihar me khi jana kitna asan hota hai kbhi aam admi ki trh bus me gandhi setu  ","2018-07-24 15:23:01","FALSE","1","2","0","Transportation","Bihar","India",FALSE
"11","@sureshpprabhu Sir, Kushinagar (U.P.) airport mentioned in Ur list of Green field airports be connected with Buddha  ","2018-07-24 12:59:09","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"12","VIDEO :            ","2018-07-24 11:47:09","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"13","RT @News18Bihar:        ,       
 ","2018-07-24 10:10:53","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"14","       ,       
 ","2018-07-24 09:20:18","FALSE","1","13","0","Transportation","Bihar","India",FALSE
"15","And selling ""Shiv Vada Paav"".
N also advising to use Bhangra dancers instead of Cheer leaders in IPL.
N also warnin  ","2018-07-23 09:12:23","FALSE","0","0","1","Transportation","Bihar","India",FALSE
"16","@MoCA_GoI @AAI_Official @jayantsinha @sureshpprabhu @ushapadhee1996 @PIB_India @MIB_India Airport construction work  ","2018-07-22 06:26:10","FALSE","0","0","1","Transportation","Bihar","India",FALSE
"17","@sureshpprabhu @narendramodi @MoCA_GoI Personal Experience UDAN campaign should be also start from Delhi to Dharbhanga Airport (Bihar).","2018-07-21 08:10:13","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"18","loknayak jay Prakash international airport patna Bihar, India  ","2018-07-20 19:06:15","FALSE","0","1","0","Transportation","Bihar","India",FALSE
"19","-:      ,      ","2018-07-20 04:55:33","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"20","@jhasushant @SanjayJhaBihar @NitishKumar @narendramodi Darbhanga has already an Airport of National importance@Sanj  ","2018-07-19 20:59:30","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"21","-:      ,      ","2018-07-19 18:40:42","FALSE","0","0","0","Transportation","Bihar","India",TRUE
"22","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 18:06:27","TRUE","8","0","0","Transportation","Bihar","India",FALSE
"23"," ","2018-07-19 17:52:51","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"24","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 17:35:32","TRUE","8","0","0","Transportation","Bihar","India",TRUE
"25","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 17:01:06","TRUE","8","0","0","Transportation","Bihar","India",TRUE
"26","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 16:37:25","TRUE","8","0","0","Transportation","Bihar","India",TRUE
"27","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 16:31:28","TRUE","8","0","0","Transportation","Bihar","India",TRUE
"28","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 16:29:17","TRUE","8","0","0","Transportation","Bihar","India",TRUE
"29","RT @ZeeNewsHindi: -:      ,    

 ","2018-07-19 16:25:56","TRUE","8","0","0","Transportation","Bihar","India",TRUE
"30","-:      ,    

 ","2018-07-19 16:24:31","FALSE","8","64","0","Transportation","Bihar","India",FALSE
"31","Bihar government proposes to develop a new runway parallel to the existing one at Patna airport, but @AAI_Official  ","2018-07-19 10:45:08","FALSE","0","2","0","Transportation","Bihar","India",FALSE
"32","@jayantsinha We absolutely lost hope to see any substantive change on ground. Patna airport is a mess nd a shame on  ","2018-07-18 15:02:42","FALSE","0","0","-2","Transportation","Bihar","India",FALSE
