"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @MDMAHFO85764605: @PiyushGoyal my exam centre is Indore and I live in Gaya Bihar 1300 km is far from here and ticket is not  ","2018-07-28 18:38:22","TRUE","2","0","0","Transportation","Bihar","India",FALSE
"2","@PiyushGoyalOffc respected sir I m from samstipur Bihar. Sir my alp exam center goes to very long distance it goes  ","2018-07-28 18:38:11","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"3","RT @rajshekhar0003: @PiyushGoyal  
Sir, i am Raj appearing for apl and technician exam from Gaya Bihar. I got to know that On 21 Aug my cen","2018-07-28 18:38:04","TRUE","2","0","0","Transportation","Bihar","India",FALSE
"4","RT @Jitendr06859605: Sir main Khagaria Bihar se Hain sir mere exam center Bhopal Gaya Hain  weekly train Hain sir aggar","2018-07-28 18:37:20","TRUE","2","0","0","Transportation","Bihar","India",FALSE
"5","@RailMinIndia @PiyushGoyal @PiyushGoyalOffc @PMOIndia 
RRB ALP Techanician exam 2018
From GAYA Bihar
Exam city Cent  ","2018-07-28 18:34:19","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"6","RT @mrish_a: @narendramodi Definitely sir..YOU ARE DOING WELL..
But what about the far centers of CBT EXAM OF ALP AND RAILWAY .
I AM FROM B","2018-07-28 18:29:59","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"7","RT @SibulSingh: @PiyushGoyalArmy main bihar ke gopalganj district se hoon.mera alp/tech ka exam indore aur mera bhai ka raipur chala gaya h","2018-07-28 18:21:38","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"8","@PiyushGoyalOffc aadarniye  rail minister gi 
Ye kaisa aannya hai ghar mera MADHEPURA Bihar hai aur centre Indore d  ","2018-07-28 18:13:37","FALSE","0","0","-1","Transportation","Bihar","India",FALSE
"9","@PiyushGoyalArmy main bihar ke gopalganj district se hoon.mera alp/tech ka exam indore aur mera bhai ka raipur chal  ","2018-07-28 18:05:52","FALSE","1","1","0","Transportation","Bihar","India",FALSE
"10","RT @SurajRa76750383: @PiyushGoyal @PiyushGoyalOffc Sir mai Sheikhpura Bihar ka rahne wala hu mera Railway ALP &amp; Technicians ka center Bhopa","2018-07-28 17:58:35","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"11","RT @rajshekhar0003: @PiyushGoyalOffc  sir I am Raj from Gaya Bihar, appearing for ALP &amp; technician Exam.I got centre in Indore, MP which is","2018-07-28 17:57:54","TRUE","2","0","0","Transportation","Bihar","India",FALSE
"12","RT @Chandan87805890: @PiyushGoyal respected sir,
Main ara bihar ka rahne wala hu maine alp ka form fill up kiya hai aur mera exam center te","2018-07-28 17:57:18","TRUE","0","0","0","Transportation","Bihar","India",FALSE
"13","@narendramodi Definitely sir..YOU ARE DOING WELL..
But what about the far centers of CBT EXAM OF ALP AND RAILWAY .  ","2018-07-28 17:54:08","FALSE","1","1","0","Transportation","Bihar","India",FALSE
"14","RT @amitsinha3396: @PiyushGoyal 
Sahab bihar k gaya se mp k indore 1350km h mere pass paisa bhi nahi ki my train ki ticket le saku kya karo","2018-07-28 17:45:37","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"15","@ravishndtv Sir main bihar ke Ek chote se gao Akbarpur Rohtas se hu Sir mere trf se koi train be Nhi chlta hm ko ex  ","2018-07-28 17:42:59","FALSE","0","0","0","Transportation","Bihar","India",FALSE
"16","RT @SashankShekhar7: @PiyushGoyal sir mai gaya (Bihar) se hun or mera rrb ka center indore gya h, or gaya se indore k liy sirf ek train h,","2018-07-28 17:42:37","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"17","RT @SarunSingh6: @PiyushGoyal sir mera exam centre Madurai Gaya h jo ki Bihar se1500km h or Baha Jane ke liye sapthah m ek hi day train h o","2018-07-28 17:42:12","TRUE","1","0","0","Transportation","Bihar","India",FALSE
"18","RT @601cc8c82ecf4a5: @RailMinIndia 
Samastipur bihar se hu..
Alp ka exam hyderabad 30 august ko diya gaya h.
Weekly yaha s train h.. fair 9","2018-07-28 17:38:28","TRUE","1","0","1","Transportation","Bihar","India",FALSE
