"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@MakkhiDesigner @IamStubron @kuchbhi_tweet Ji sadkay...main airport par haar lekar kharri rahungi. Aap aayiye toh !  ","2018-07-26 16:13:25","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"2","RT @aajtak:       ,          -  
 ","2018-07-26 10:15:05","TRUE","11","0","0","Transportation","Chhattisgarh","India",FALSE
"3","RT @aajtak:       ,          -  
 ","2018-07-26 03:05:07","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"4","RT @aajtak:       ,          -  
 ","2018-07-26 03:02:50","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"5","RT @aajtak:       ,          -  
 ","2018-07-26 02:42:42","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"6","RT @aajtak:       ,          -  
 ","2018-07-26 02:34:38","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"7","RT @aajtak:       ,          -  
 ","2018-07-25 19:26:01","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"8","RT @aajtak:       ,          -  
 ","2018-07-25 19:06:05","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"9","RT @aajtak:       ,          -  
 ","2018-07-25 18:39:28","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"10","RT @aajtak:       ,          -  
 ","2018-07-25 18:37:47","TRUE","11","0","0","Transportation","Chhattisgarh","India",TRUE
"11","      ,          -  
 ","2018-07-25 18:28:51","FALSE","11","120","0","Transportation","Chhattisgarh","India",FALSE
"12","    ,         PRESIDENTINBASTAR Bastar  ","2018-07-25 05:59:48","FALSE","0","5","0","Transportation","Chhattisgarh","India",FALSE
"13","SwamiVivekanandaAirport
Transformation literally means going beyond the limits.
Raipur Airport, The transforming  ","2018-07-24 12:22:22","FALSE","0","1","0","Transportation","Chhattisgarh","India",FALSE
"14","5 more airports - Khajuraho (MP), Raipur (Chhattisgarh), Jorhat (Assam), Dimapur (Nagaland) and Shillong (Megh  ","2018-07-24 08:05:32","FALSE","0","2","0","Transportation","Chhattisgarh","India",FALSE
"15","VIDEO:            
 ","2018-07-23 05:11:04","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"16","RT @ProgressiveCg:            
            ","2018-07-22 04:24:11","TRUE","2","0","0","Transportation","Chhattisgarh","India",FALSE
"17","        ,  ''    ,    :  ","2018-07-21 14:44:54","FALSE","0","3","0","Transportation","Chhattisgarh","India",FALSE
"18","-     3         :  ","2018-07-21 03:59:18","FALSE","0","0","0","Transportation","Chhattisgarh","India",FALSE
"19","RT @attorneybharti: DON IS NO MORE!..landed at airport 4m 2 days long Chhattisgarh trip 4 party work, reached home at 12 midnight, straight","2018-07-20 09:59:29","TRUE","146","0","1","Transportation","Chhattisgarh","India",FALSE
"20","RT @attorneybharti: DON IS NO MORE!..landed at airport 4m 2 days long Chhattisgarh trip 4 party work, reached home at 12 midnight, straight","2018-07-19 22:01:54","TRUE","146","0","1","Transportation","Chhattisgarh","India",TRUE
"21","RT @attorneybharti: DON IS NO MORE!..landed at airport 4m 2 days long Chhattisgarh trip 4 party work, reached home at 12 midnight, straight","2018-07-19 18:40:31","TRUE","146","0","1","Transportation","Chhattisgarh","India",TRUE
"22","RT @attorneybharti: DON IS NO MORE!..landed at airport 4m 2 days long Chhattisgarh trip 4 party work, reached home at 12 midnight, straight","2018-07-18 11:48:34","TRUE","146","0","1","Transportation","Chhattisgarh","India",TRUE
