"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Gujarat Parcel Service Transport ID GSTNO.24ALMPB3970D1ZE","2018-07-28 08:03:58","FALSE","0","0","0","Transportaion","Gujarat","India",FALSE
"2","        
-       ","2018-07-28 04:00:36","FALSE","0","3","0","Transportaion","Gujarat","India",FALSE
"3","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 22:10:28","TRUE","9","0","-2","Transportaion","Gujarat","India",FALSE
"4","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 20:07:13","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"5","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 18:21:46","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"6","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 16:58:51","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"7","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 16:39:39","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"8","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 15:58:40","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"9","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 15:46:51","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"10","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 15:42:34","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"11","RT @TOIAhmedabad: Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in accorda","2018-07-27 15:32:39","TRUE","9","0","-2","Transportaion","Gujarat","India",TRUE
"12","Akhil GUJARAT  Transport Association issues a circular, stating the transport strike has been called off, in accor  ","2018-07-27 15:27:39","FALSE","0","2","-2","Transportaion","Gujarat","India",FALSE
"13","Akhil Gujarat Truck Transport Association issues a circular, stating the transport strike has been called off, in a  ","2018-07-27 15:23:01","FALSE","9","18","-2","Transportaion","Gujarat","India",FALSE
"14","GSRTC Recruitment 2018.Gujarat State Road Transport Corporation Limited (GSRTC), Amdavad invites online applicatio  ","2018-07-27 07:00:15","FALSE","0","1","-1","Transportaion","Gujarat","India",FALSE
