"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 18:57:11","TRUE","129","0","1","Transportaion","Gujarat","India",FALSE
"2","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 18:24:43","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"3","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 16:48:11","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"4","@suresh372016 @MajorSimhan @Aatreyaa @kuruviyaar @SaffronDalit @isitso15 @itz_katti @HLKodo @nbmayuran @Symbianian  ","2018-07-28 13:57:51","FALSE","0","1","0","Transportaion","Gujarat","India",FALSE
"5","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 08:55:08","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"6","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 07:29:24","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"7","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 06:50:58","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"8","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 06:20:41","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"9","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 04:57:46","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"10","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 04:30:57","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"11","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 01:04:29","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"12","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-27 23:38:33","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
"13","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-27 20:52:51","TRUE","129","0","1","Transportaion","Gujarat","India",TRUE
