"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@NRRPF @drmdelhi          ,        ","2018-07-28 15:12:21","FALSE","0","3","0","Transportation","Haryana","India",FALSE
"2","This skill development centre for PwDs is being implemented in partnership with SARTHAK Educational Trust and suppo  ","2018-07-28 13:20:04","FALSE","0","1","2","Transportation","Haryana","India",FALSE
"3","@RailMinIndia @PiyushGoyalOffc Sir kindly provide one stoppage of Nagpur Amritsar Ac express (22125) between new de  ","2018-07-28 08:23:24","FALSE","0","0","1","Transportation","Haryana","India",FALSE
"4","1 bullet train cost = 1200 shatabdi trains.           ?
SochSeSochKiLadaai","2018-07-28 07:17:13","FALSE","14","11","0","Transportation","Haryana","India",FALSE
"5","I travelled from Karnal to New Delhi today. I took Haryana roadways &amp; Delhi metro for my journey till airport. I go  ","2018-07-28 06:36:14","FALSE","0","5","0","Transportation","Haryana","India",FALSE
"6","R/ Sir i am Pardeep kumar live in haryana in Dist. Sirsa . There is no any facility for travailing for Varanshi &amp; A  ","2018-07-28 04:12:00","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"7","R/ Sir i am Pardeep kumar live in haryana in Dist. Sirsa . There is no any facility for travailing for Varanshi &amp; A  ","2018-07-28 04:07:17","FALSE","0","0","0","Transportation","Haryana","India",TRUE
"8","RT @himachal_abhi:      ,    @himachal_abhi  ","2018-07-27 14:25:38","TRUE","1","0","0","Transportation","Haryana","India",FALSE
"9","     ,    @himachal_abhi  ","2018-07-27 14:05:10","FALSE","1","1","0","Transportation","Haryana","India",FALSE
"10","@PiyushGoyal hisar haryana to kolkatta west bangal via varanasi kanpur train please start very soon, thanks","2018-07-27 06:48:08","FALSE","0","0","0","Transportation","Haryana","India",FALSE
"11","RT @mhonenews:     ,    -     
 ","2018-07-26 07:54:24","TRUE","43","0","0","Transportation","Haryana","India",FALSE
"12","RT @mhonenews:     ,    -     
 ","2018-07-26 07:10:42","TRUE","43","0","0","Transportation","Haryana","India",TRUE
"13","RT @mhonenews:     ,    -     
 ","2018-07-26 04:26:09","TRUE","43","0","0","Transportation","Haryana","India",TRUE
"14","RT @RAJIV1959: @AmolSiddham @neerangautam @_ankahi @devyanidilli @RishiMishra_ @bhav2406 @diwakarkhetan @desertfox61I @madskak @kapil_kausi","2018-07-26 02:35:48","TRUE","8","0","0","Transportation","Haryana","India",FALSE
