"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1"," ,    :   -Vijaya Karnataka  ","2018-07-28 18:56:59","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"2","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 17:52:52","TRUE","32","0","-2","Transportation","Karnataka","India",FALSE
"3","@drmmumbaicr is the 02.35 am train from Karnataka to cstm cancelled as many long distance trains have been diverted to thane via panvel.","2018-07-28 17:22:50","FALSE","0","0","0","Transportation","Karnataka","India",FALSE
"4","RT @ak9507068027: @ravishndtv sir hum Amit Kumar   Saran BIHAR se hu .sir mera ALP ka exam centre  Karnataka( Bengaluru)me para hai .sir ko","2018-07-28 17:16:08","TRUE","2","0","-1","Transportation","Karnataka","India",FALSE
"5","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 17:05:44","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"6","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 17:00:31","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"7","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 16:59:38","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"8","RT @ak9507068027: @ravishndtv sir hum Amit Kumar   Saran BIHAR se hu .sir mera ALP ka exam centre  Karnataka( Bengaluru)me para hai .sir ko","2018-07-28 16:59:00","TRUE","2","0","-1","Transportation","Karnataka","India",TRUE
"9","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 16:56:56","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"10","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 16:55:53","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"11","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 16:21:08","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"12","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 16:18:04","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"13","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:57:23","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"14","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:53:08","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"15","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:50:28","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"16","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:37:45","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"17","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:36:15","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"18","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:32:23","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"19","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:31:57","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"20","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:28:34","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"21","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:27:34","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"22","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:27:23","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"23","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:23:25","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"24","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:11:42","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"25","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:08:25","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"26","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:07:54","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
"27","RT @karthin800: Karnataka express is massively delayed in Manmad Daund Section, pls give this train some priority to run without delay to e","2018-07-28 15:04:19","TRUE","32","0","-2","Transportation","Karnataka","India",TRUE
