"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","kannurairport, keralanews ...   :     ","2018-07-29 08:45:52","FALSE","0","0","-1","Transportation","Kerala","India",FALSE
"2","RT @kadakampalli: UN Champion of the Earth Prize to CIAL. Congrats to the whole team of CIAL for this proud achievement. Kerala Cochin","2018-07-29 07:14:03","TRUE","8","0","-1","Transportation","Kerala","India",FALSE
"3","        ","2018-07-29 06:43:04","FALSE","0","0","-1","Transportation","Kerala","India",FALSE
"4","RT @kadakampalli: UN Champion of the Earth Prize to CIAL. Congrats to the whole team of CIAL for this proud achievement. Kerala Cochin","2018-07-29 06:40:54","TRUE","8","0","0","Transportation","Kerala","India",TRUE
"5","travelling to Cochin International Airport, Kerala, India from King Fahd International Airport  ","2018-07-29 06:31:34","FALSE","0","0","-1","Transportation","Kerala","India",FALSE
"6","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-29 06:12:35","TRUE","81","0","3","Transportation","Kerala","India",FALSE
"7","RT @kadakampalli: UN Champion of the Earth Prize to CIAL. Congrats to the whole team of CIAL for this proud achievement. Kerala Cochin","2018-07-29 06:05:03","TRUE","8","0","1","Transportation","Kerala","India",TRUE
"8","RT @kadakampalli: UN Champion of the Earth Prize to CIAL. Congrats to the whole team of CIAL for this proud achievement. Kerala Cochin","2018-07-29 05:56:12","TRUE","8","0","1","Transportation","Kerala","India",TRUE
"9","RT @kadakampalli: UN Champion of the Earth Prize to CIAL. Congrats to the whole team of CIAL for this proud achievement. Kerala Cochin","2018-07-29 05:43:01","TRUE","8","0","0","Transportation","Kerala","India",TRUE
"10","UN Champion of the Earth Prize to CIAL. Congrats to the whole team of CIAL for this proud achievement. Kerala  ","2018-07-29 05:37:00","FALSE","8","11","1","Transportation","Kerala","India",FALSE
"11","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-29 05:10:24","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"12","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-29 00:42:19","TRUE","81","0","-2","Transportation","Kerala","India",TRUE
"13","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 22:09:25","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"14","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 18:57:11","TRUE","129","0","0","Transportation","Kerala","India",FALSE
"15","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 18:24:43","TRUE","129","0","1","Transportation","Kerala","India",TRUE
"16","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 16:56:55","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"17","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 16:48:11","TRUE","129","0","0","Transportation","Kerala","India",TRUE
"18","karippurairport, fog ;      ","2018-07-28 16:04:23","FALSE","0","0","1","Transportation","Kerala","India",FALSE
"19","RT @Vijaysm_Kerala: Exclusive - Thalapathy @Actorvijay 's Sarkar Shooting Spot Pics "" Assistant Director "" at Chennai International airpor","2018-07-28 15:58:32","TRUE","55","0","1","Transportation","Kerala","India",FALSE
"20"," ","2018-07-28 15:32:16","FALSE","0","0","0","Transportation","Kerala","India",FALSE
"21","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 15:21:54","TRUE","81","0","0","Transportation","Kerala","India",TRUE
"22","@yogashar99 @CMOKerala @UN @AAI_Official @sureshpprabhu Kerala has 4 international airports and 2 are in PPP. Ask y  ","2018-07-28 15:14:27","FALSE","0","0","1","Transportation","Kerala","India",FALSE
"23","@yogashar99 @CMOKerala @UN @AAI_Official @sureshpprabhu No it does not come under AAI, Its the first airport built  ","2018-07-28 15:12:34","FALSE","0","0","0","Transportation","Kerala","India",FALSE
"24","RT @Kerala_ghilli: Sarkar 
lowqualitystill
From chennai international airport  ","2018-07-28 13:48:08","TRUE","1","0","1","Transportation","Kerala","India",FALSE
"25","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 12:35:22","TRUE","81","0","0","Transportation","Kerala","India",TRUE
"26","RT @Vijaysm_Kerala: Sarkar Shooting Spot Pic ""Assistant Director"" at Chennai International Airport !! VijaysmKerala SarkarDiwali

Pic Ta","2018-07-28 12:34:58","TRUE","28","0","0","Transportation","Kerala","India",FALSE
"27","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 11:01:38","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"28","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 10:47:20","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"29","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 09:57:38","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"30","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 09:05:38","TRUE","81","0","1","Transportation","Kerala","India",TRUE
"31","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 08:55:08","TRUE","129","0","1","Transportation","Kerala","India",TRUE
"32","INDIA - World 1st Solar Powered Airport || Kochi || Kerala | 2018 | Full Details | Debdut Youtube:  ","2018-07-28 08:44:17","FALSE","0","0","0","Transportation","Kerala","India",FALSE
"33","Customs sleuths at the international airport in Kozhikode have foiled a bid to smuggle gold weighing 1 kg, conceale  ","2018-07-28 08:18:59","FALSE","0","0","0","Transportation","Kerala","India",FALSE
"34","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 07:29:24","TRUE","129","0","0","Transportation","Kerala","India",TRUE
"35","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 07:22:17","TRUE","81","0","0","Transportation","Kerala","India",TRUE
"36","RT @Vijaysm_Kerala: Sarkar Shooting Spot Pic ""Assistant Director"" at Chennai International Airport !! VijaysmKerala SarkarDiwali

Pic Ta","2018-07-28 07:19:59","TRUE","28","0","1","Transportation","Kerala","India",TRUE
"37","RT @geetv79: UN Honours Solar-Powered Kochi Airport 
with ""Champion of Earth"" Award 

Luckily, Kerala NEVER Had a BJP-RSS Govt to Stop Dev","2018-07-28 07:19:45","TRUE","81","0","0","Transportation","Kerala","India",TRUE
"38","RT @jamewils: A proud moment for Kerala. 

For me its so special as I am very glad for my boss Sri. V. J. Kurian IAS Retd, MD of Kochi Inte","2018-07-28 06:56:57","TRUE","31","0","-2","Transportation","Kerala","India",FALSE
"39","RT @jamewils: A proud moment for Kerala. 

For me its so special as I am very glad for my boss Sri. V. J. Kurian IAS Retd, MD of Kochi Inte","2018-07-28 06:55:26","TRUE","31","0","0","Transportation","Kerala","India",TRUE
"40","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 06:50:58","TRUE","129","0","0","Transportation","Kerala","India",TRUE
"41","RT @jamewils: A proud moment for Kerala. 

For me its so special as I am very glad for my boss Sri. V. J. Kurian IAS Retd, MD of Kochi Inte","2018-07-28 06:49:38","TRUE","31","0","0","Transportation","Kerala","India",TRUE
"42","RT @jamewils: A proud moment for Kerala. 

For me its so special as I am very glad for my boss Sri. V. J. Kurian IAS Retd, MD of Kochi Inte","2018-07-28 06:47:31","TRUE","31","0","0","Transportation","Kerala","India",TRUE
"43","RT @SanjeevaniPage: Kerala has influenced UN to bag 'Champion of Earth' award for CIAL Kochi, the first solar powered airport.

No doubt tr","2018-07-28 06:20:41","TRUE","129","0","0","Transportation","Kerala","India",TRUE
