"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@situationsarah @PTIofficial An urban design policy is in order. We need to formalise Urban design and Landscape Ar  ","2018-07-29 06:56:46","FALSE","0","0","-1","Transportation","Punjab","India",FALSE
"2","RT @ArunaC_Official: PUNJAB ROADWAYS/PUNBUS FLEET TO BE STRENGTHENED WITH 333 ORDINARY &amp; 31 AC VOLVO BUSES: ARUNA CHAUDHARY

TRANSPORT MINI","2018-07-28 08:12:27","TRUE","7","0","-1","Transportation","Punjab","India",FALSE
"3","RT @ArunaC_Official: RADICAL TRANSFORMATION IN ROAD SAFETY METHODS NEED OF HOUR: ARUNA CHAUDHARY

TRANSPORT MINISTER BATS FOR EDUCATING MAS","2018-07-28 08:06:24","TRUE","1","0","-1","Transportation","Punjab","India",FALSE
"4","RT @ArunaC_Official: PUNJAB ROADWAYS/PUNBUS FLEET TO BE STRENGTHENED WITH 333 ORDINARY &amp; 31 AC VOLVO BUSES: ARUNA CHAUDHARY

TRANSPORT MINI","2018-07-28 08:05:43","TRUE","7","0","0","Transportation","Punjab","India",TRUE
"5","                ","2018-07-28 07:13:12","FALSE","0","0","-1","Transportation","Punjab","India",FALSE
"6","RT @ArunaC_Official: PUNJAB ROADWAYS/PUNBUS FLEET TO BE STRENGTHENED WITH 333 ORDINARY &amp; 31 AC VOLVO BUSES: ARUNA CHAUDHARY

TRANSPORT MINI","2018-07-27 16:18:59","TRUE","7","0","3","Transportation","Punjab","India",TRUE
"7","Punjab will have no Mega Projects of Infrastructure, Transport, Education and IT for next 5 years.  Mark my words. That's tabdeeli!","2018-07-27 13:22:07","FALSE","0","2","1","Transportation","Punjab","India",FALSE
"8","RT @ArunaC_Official: PUNJAB ROADWAYS/PUNBUS FLEET TO BE STRENGTHENED WITH 333 ORDINARY &amp; 31 AC VOLVO BUSES: ARUNA CHAUDHARY

TRANSPORT MINI","2018-07-27 12:58:59","TRUE","7","0","1","Transportation","Punjab","India",TRUE
"9","RT @ArunaC_Official: PUNJAB ROADWAYS/PUNBUS FLEET TO BE STRENGTHENED WITH 333 ORDINARY &amp; 31 AC VOLVO BUSES: ARUNA CHAUDHARY

TRANSPORT MINI","2018-07-27 11:44:49","TRUE","7","0","0","Transportation","Punjab","India",TRUE
"10","@govindermittal1 @AAPPunjab @ArvindKejriwal @HarpalCheemaMLA @AamAdmiPartyFBD @RubyAap @jastej @AamAadmiParty  ","2018-07-27 06:02:06","FALSE","0","0","1","Transportation","Punjab","India",FALSE
